
[00:00:00.000 --> 00:00:07.480]   [MUSIC PLAYING]
[00:20:21.400 --> 00:20:24.240]   An image in general, you can really see it typically
[00:20:24.240 --> 00:20:26.960]   as a 2D signal.
[00:20:26.960 --> 00:20:30.000]   It's a function depending on some variable
[00:20:30.000 --> 00:20:32.680]   with physical meaning.
[00:20:32.680 --> 00:20:36.560]   So typically, the variables are x, y coordinates.
[00:20:36.560 --> 00:20:39.040]   Could also be x, y plus time.
[00:20:39.040 --> 00:20:41.160]   You could also have in medical scanning,
[00:20:41.160 --> 00:20:45.880]   you could have x, y, z, and then potentially x, y, z plus time.
[00:20:45.880 --> 00:20:50.080]   So of course, this will lead to varying amounts of data.
[00:20:50.080 --> 00:20:51.840]   Mostly in the lecture, we'll mostly
[00:20:51.840 --> 00:20:55.280]   look at the situation of two variables,
[00:20:55.280 --> 00:21:01.400]   so a two-dimensional space in which for every value,
[00:21:01.400 --> 00:21:06.480]   at the conceptual level, for the analog image--
[00:21:06.480 --> 00:21:09.200]   so the original function that we will then
[00:21:09.200 --> 00:21:11.320]   sample and represent digitally--
[00:21:11.320 --> 00:21:13.200]   but the original signal will consider it
[00:21:13.200 --> 00:21:18.480]   as a continuous function in two dimensions typically
[00:21:18.480 --> 00:21:20.800]   that represents a physical variable.
[00:21:20.800 --> 00:21:26.440]   So typically, this will be the intensity, the light intensity
[00:21:26.440 --> 00:21:28.080]   that hits the sensor.
[00:21:28.080 --> 00:21:33.880]   But these can be other things like temperature, pressure,
[00:21:33.880 --> 00:21:34.560]   et cetera.
[00:21:34.560 --> 00:21:36.920]   Here's a few examples.
[00:21:36.920 --> 00:21:41.320]   Ultrasound, an ultrasound image.
[00:21:41.320 --> 00:21:44.720]   This is actually with essentially light,
[00:21:44.720 --> 00:21:48.560]   but in the far infrared when it actually really corresponds
[00:21:48.560 --> 00:21:49.360]   to temperature.
[00:21:49.360 --> 00:21:54.640]   As we can have cameras that actually directly measure
[00:21:54.640 --> 00:21:56.880]   temperature, for example, of the surfaces
[00:21:56.880 --> 00:21:58.800]   that you look at.
[00:21:58.800 --> 00:22:02.400]   Normal camera image or here, CT, computational tomography,
[00:22:02.400 --> 00:22:04.200]   that's typically 3D volumes.
[00:22:04.200 --> 00:22:05.880]   It's often also measured in slices,
[00:22:05.880 --> 00:22:08.760]   but you often measure many slices.
[00:22:08.760 --> 00:22:11.960]   So there, you have 3D volumes typically.
[00:22:11.960 --> 00:22:14.720]   So those are just a few examples of possible images.
[00:22:14.720 --> 00:22:19.200]   Mostly in this lecture, we'll look at just classical images,
[00:22:19.200 --> 00:22:23.480]   either grayscale, just a single light in general,
[00:22:23.480 --> 00:22:27.000]   or color within three channels, red, green, and blue.
[00:22:27.000 --> 00:22:33.400]   It's also important to understand what we mean by images.
[00:22:33.400 --> 00:22:35.720]   We'll mostly talk about natural images,
[00:22:35.720 --> 00:22:39.520]   so images like this one, for example.
[00:22:39.520 --> 00:22:42.120]   This looks like a random image.
[00:22:42.120 --> 00:22:45.440]   Could be anything like a random image from the web or so.
[00:22:45.440 --> 00:22:48.800]   But actually, this is really not the random image in a strict,
[00:22:48.800 --> 00:22:50.080]   let's say, mathematical sense.
[00:22:50.080 --> 00:22:53.160]   So this would be mathematically a random image.
[00:22:53.160 --> 00:22:56.840]   Just randomly draw every pixel independently
[00:22:56.840 --> 00:23:00.800]   from some Gaussian distribution or from a uniform distribution.
[00:23:00.800 --> 00:23:02.520]   Then you get something like this here
[00:23:02.520 --> 00:23:05.800]   with essentially no correlation between neighboring pixels.
[00:23:05.800 --> 00:23:08.640]   This pixel and the next one are as correlated as this pixel
[00:23:08.640 --> 00:23:10.240]   and a pixel somewhere completely different.
[00:23:10.240 --> 00:23:11.720]   They're all independent.
[00:23:11.720 --> 00:23:14.920]   That you could call a random image.
[00:23:14.920 --> 00:23:17.880]   When we talk about images, essentially all the images
[00:23:17.880 --> 00:23:21.480]   we look at, natural images, they have already
[00:23:21.480 --> 00:23:23.160]   a lot of structure.
[00:23:23.160 --> 00:23:24.720]   We can make a lot of assumptions.
[00:23:24.720 --> 00:23:28.840]   There's a lot of statistics in the random natural image,
[00:23:28.840 --> 00:23:29.920]   an image of the real world.
[00:23:30.920 --> 00:23:34.280]   Maybe a question, why is that?
[00:23:34.280 --> 00:23:37.000]   Why is there already, what is the structure,
[00:23:37.000 --> 00:23:40.600]   what's different in natural images
[00:23:40.600 --> 00:23:43.160]   than something that looks like this here?
[00:23:43.160 --> 00:23:46.760]   >> [inaudible]
[00:23:46.760 --> 00:23:51.520]   >> Yes. So essentially,
[00:23:51.520 --> 00:23:54.040]   these textures, they are essentially expressing
[00:23:54.040 --> 00:23:57.720]   a certain, these patterns are essentially
[00:23:57.720 --> 00:24:00.280]   a certain correlation or if I see this over here,
[00:24:00.280 --> 00:24:03.360]   then there's a good chance if I have this texture going on,
[00:24:03.360 --> 00:24:07.840]   that I see, that implies some statistics on the neighbors
[00:24:07.840 --> 00:24:09.800]   if they follow that pattern.
[00:24:09.800 --> 00:24:12.360]   Also just in general,
[00:24:12.360 --> 00:24:16.120]   you see that essentially if I take a pixel here, for example,
[00:24:16.120 --> 00:24:19.080]   well many of the neighbors have roughly the same value.
[00:24:19.080 --> 00:24:22.240]   So one of the patterns is just constant, for example.
[00:24:22.240 --> 00:24:27.040]   So if you look at natural images at all the different scales,
[00:24:27.040 --> 00:24:30.680]   you see that there's a lot of correlation between neighbors.
[00:24:30.680 --> 00:24:33.400]   Both very close neighbors are very correlated,
[00:24:33.400 --> 00:24:36.200]   further away neighbors are more weakly correlated,
[00:24:36.200 --> 00:24:37.320]   but they still correlated.
[00:24:37.320 --> 00:24:38.680]   So at all the different scales,
[00:24:38.680 --> 00:24:41.160]   you have some level of correlation going on and so on.
[00:24:41.160 --> 00:24:44.240]   These are things that we'll come back to when we'll discuss
[00:24:44.240 --> 00:24:46.120]   about compressing images.
[00:24:46.120 --> 00:24:50.040]   Compressing this image, okay, it's actually impossible.
[00:24:50.040 --> 00:24:55.840]   You cannot compress this image and this is full information,
[00:24:55.840 --> 00:25:01.040]   random, like you are definitely losing signal when, you know,
[00:25:01.040 --> 00:25:03.760]   it will start like you cannot really compress this
[00:25:03.760 --> 00:25:06.480]   because it's every number, you know,
[00:25:06.480 --> 00:25:09.400]   one pixel doesn't, is not correlated with previous pixels.
[00:25:09.400 --> 00:25:11.440]   So knowing one pixel doesn't tell you anything
[00:25:11.440 --> 00:25:13.360]   about the next pixel.
[00:25:13.360 --> 00:25:16.240]   But however, because there's a lot of correlation
[00:25:16.240 --> 00:25:18.600]   in the image here, you know, here you have an orange pixel,
[00:25:18.600 --> 00:25:21.800]   well there's a lot of orange pixels around it, right, et cetera.
[00:25:21.800 --> 00:25:25.360]   So here there's shadow, well many pixels are also
[00:25:25.360 --> 00:25:26.800]   in the shadow next to it.
[00:25:26.800 --> 00:25:30.200]   All these correlations, they will give us an opportunity
[00:25:30.200 --> 00:25:34.040]   to compress images, to leverage that,
[00:25:34.040 --> 00:25:37.280]   to compress images in ways that we barely notice, okay?
[00:25:37.280 --> 00:25:44.800]   Okay, so a bit more formally, images really,
[00:25:44.800 --> 00:25:48.000]   we assume it's kind of a function defined
[00:25:48.000 --> 00:25:51.760]   over an n dimensional space of real numbers,
[00:25:51.760 --> 00:25:54.200]   so it's continuous.
[00:25:54.200 --> 00:25:58.680]   That's, in general, so it's really just a function,
[00:25:58.680 --> 00:26:01.080]   and you know, actually it can be one value,
[00:26:01.080 --> 00:26:03.040]   it can also be multiple values.
[00:26:03.040 --> 00:26:05.680]   As we discussed, if it's RGB color image,
[00:26:05.680 --> 00:26:10.080]   then we'll have three values, for example, at every location.
[00:26:10.080 --> 00:26:12.840]   In the digital form, we'll have to discretize,
[00:26:12.840 --> 00:26:15.360]   and so then we're actually first starting
[00:26:15.360 --> 00:26:16.840]   by making it finite for sure.
[00:26:16.840 --> 00:26:20.320]   I mean, here we didn't explicitly make it finite,
[00:26:20.320 --> 00:26:22.280]   but in general it will actually only talk
[00:26:22.280 --> 00:26:24.800]   about a finite domain typically.
[00:26:24.800 --> 00:26:26.160]   You know, if you have an image,
[00:26:26.160 --> 00:26:29.280]   you have a certain field of view for the image.
[00:26:29.280 --> 00:26:31.840]   So definitely in the digital form,
[00:26:31.840 --> 00:26:34.640]   it definitely has to be a finite set of numbers.
[00:26:34.640 --> 00:26:37.840]   So we have a grid, a regular grid,
[00:26:37.840 --> 00:26:40.840]   in two dimensions, for example, here,
[00:26:40.840 --> 00:26:44.320]   and so we have a countable, actually a discrete set
[00:26:44.320 --> 00:26:45.920]   of values that we'll remember,
[00:26:45.920 --> 00:26:48.440]   that we'll represent the image with.
[00:26:48.440 --> 00:26:51.160]   Okay, so typical case, n equals two,
[00:26:51.160 --> 00:26:54.600]   and we only have positive numbers here.
[00:26:54.600 --> 00:26:56.320]   Here I still have a real number.
[00:26:56.320 --> 00:26:58.600]   We'll actually see that even that we have to simplify.
[00:26:58.600 --> 00:27:00.600]   Now we could put floating numbers for each of those,
[00:27:00.600 --> 00:27:02.880]   which is a pretty good approximation to represent,
[00:27:02.880 --> 00:27:06.200]   you know, a very good approximation of any real number.
[00:27:06.200 --> 00:27:08.680]   We'll actually see that even that will really typically
[00:27:08.680 --> 00:27:12.320]   simplify and just spend a fixed number of bits
[00:27:12.320 --> 00:27:13.960]   and have an integer representation
[00:27:13.960 --> 00:27:17.920]   of the function value that we want to represent.
[00:27:20.720 --> 00:27:21.800]   Then what is a pixel?
[00:27:21.800 --> 00:27:26.800]   So etymology is picture element, okay, pixel.
[00:27:26.800 --> 00:27:32.080]   And then you have close by, you have voxel,
[00:27:32.080 --> 00:27:37.360]   as like the thing in 3D, the equivalent in 3D, et cetera.
[00:27:37.360 --> 00:27:40.040]   But okay, so a pixel, it's a point in that image,
[00:27:40.040 --> 00:27:43.560]   location in the image.
[00:27:43.560 --> 00:27:48.040]   It does, you know, it's,
[00:27:49.760 --> 00:27:51.800]   there can be a misconception that this could be
[00:27:51.800 --> 00:27:54.640]   a little square, that's not what it is.
[00:27:54.640 --> 00:27:56.440]   There's actually, especially in graphics,
[00:27:56.440 --> 00:27:58.440]   it's really important to understand that.
[00:27:58.440 --> 00:28:03.440]   So there was a whole paper dedicated to explaining this.
[00:28:03.440 --> 00:28:07.480]   Right, a pixel is not a little square,
[00:28:07.480 --> 00:28:09.680]   a pixel is not a little square,
[00:28:09.680 --> 00:28:11.360]   a pixel is not a little square.
[00:28:11.360 --> 00:28:14.680]   And by the way, a voxel is also not a little cube, okay.
[00:28:14.680 --> 00:28:17.880]   Why is that?
[00:28:17.880 --> 00:28:22.640]   Because we'll see that it's really,
[00:28:22.640 --> 00:28:25.360]   what the way we model this,
[00:28:25.360 --> 00:28:27.680]   that we go from in terms of signal processing,
[00:28:27.680 --> 00:28:30.560]   in terms of mathematically modeling things.
[00:28:30.560 --> 00:28:34.280]   We will go from a continuous function,
[00:28:34.280 --> 00:28:37.800]   we will make discrete measurements
[00:28:37.800 --> 00:28:39.600]   exactly at a single location.
[00:28:39.600 --> 00:28:41.600]   You know, a pixel is really the measurement
[00:28:41.600 --> 00:28:44.040]   that we make at one exact location,
[00:28:44.040 --> 00:28:45.800]   not over a square or so.
[00:28:46.880 --> 00:28:49.080]   This gets blurred a little bit
[00:28:49.080 --> 00:28:51.440]   when you actually look at cameras,
[00:28:51.440 --> 00:28:54.120]   which we'd like to measure at a single point,
[00:28:54.120 --> 00:28:56.440]   but hey, that doesn't quite work physically.
[00:28:56.440 --> 00:29:00.320]   You need to both in time, you know, have an exposure,
[00:29:00.320 --> 00:29:03.480]   but also in spatial extent,
[00:29:03.480 --> 00:29:06.160]   you can't have a point measurement physically
[00:29:06.160 --> 00:29:07.400]   in your camera.
[00:29:07.400 --> 00:29:09.240]   So you have a little bit of,
[00:29:09.240 --> 00:29:12.360]   you use a bit of space on the sensor array
[00:29:12.360 --> 00:29:16.440]   to integrate light over a certain spatial area.
[00:29:17.080 --> 00:29:21.680]   Still, the way we'll represent things,
[00:29:21.680 --> 00:29:23.840]   mathematically represent things,
[00:29:23.840 --> 00:29:25.680]   we are still really talking about
[00:29:25.680 --> 00:29:27.600]   single point measurements.
[00:29:27.600 --> 00:29:29.200]   But then to model the fact that
[00:29:29.200 --> 00:29:31.920]   that this actually integrated light
[00:29:31.920 --> 00:29:33.480]   over a certain region,
[00:29:33.480 --> 00:29:36.400]   we will actually, we will have a way to model this
[00:29:36.400 --> 00:29:38.560]   with an arbitrary shape,
[00:29:38.560 --> 00:29:40.440]   so it's anyways not always,
[00:29:40.440 --> 00:29:41.960]   it's anyways not exactly a square,
[00:29:41.960 --> 00:29:44.040]   and there are a number of reasons for that.
[00:29:44.040 --> 00:29:47.880]   Even if it looks like on the CCD or the sensor array,
[00:29:47.880 --> 00:29:49.600]   the CCD or CMOS array,
[00:29:49.600 --> 00:29:52.000]   it's approximated by a square.
[00:29:52.000 --> 00:29:54.040]   For mathematical modeling purposes,
[00:29:54.040 --> 00:29:56.520]   we are strictly talking about a point measurement.
[00:29:56.520 --> 00:29:59.800]   But a point measurement potentially of a function
[00:29:59.800 --> 00:30:02.760]   that takes into account the shape of,
[00:30:02.760 --> 00:30:06.320]   you know, not the original light coming in,
[00:30:06.320 --> 00:30:07.400]   but that light,
[00:30:07.400 --> 00:30:09.960]   and you know, again, I'll use a word
[00:30:09.960 --> 00:30:11.560]   that we'll actually only define
[00:30:12.960 --> 00:30:15.120]   two weeks from now or so,
[00:30:15.120 --> 00:30:20.120]   but a light convolved with the shape of your pixel,
[00:30:20.120 --> 00:30:22.600]   with, of your, you know, of your sensor.
[00:30:22.600 --> 00:30:26.640]   So that way we'll still be strictly talking
[00:30:26.640 --> 00:30:28.080]   about single point measurements,
[00:30:28.080 --> 00:30:29.960]   a single measurement,
[00:30:29.960 --> 00:30:31.360]   and not an integral,
[00:30:31.360 --> 00:30:33.760]   but in a sense that integral will be incorporated
[00:30:33.760 --> 00:30:37.200]   in that convolution operation
[00:30:37.200 --> 00:30:40.280]   that represents the shape of the pixel measurement.
[00:30:42.160 --> 00:30:45.400]   So in order to know for the purposes that we,
[00:30:45.400 --> 00:30:46.600]   that we discussed and for,
[00:30:46.600 --> 00:30:49.720]   for strictly being able to mathematically handle all of this,
[00:30:49.720 --> 00:30:52.480]   we're talking about point measurements.
[00:30:52.480 --> 00:30:53.320]   Okay.
[00:30:53.320 --> 00:30:55.320]   So here an example,
[00:30:55.320 --> 00:30:57.920]   so point measurement and then as we do,
[00:30:57.920 --> 00:30:59.920]   so this is then our digital representation,
[00:30:59.920 --> 00:31:03.280]   it's a number of a discrete set of point measurements.
[00:31:03.280 --> 00:31:05.960]   And then as we want to reconstruct the signal,
[00:31:05.960 --> 00:31:10.320]   because, well, this is all good and well
[00:31:10.320 --> 00:31:12.560]   to have a digital representation,
[00:31:12.560 --> 00:31:16.280]   but now if I want to represent that image on my screen,
[00:31:16.280 --> 00:31:19.000]   potentially my screen has a different resolution
[00:31:19.000 --> 00:31:20.720]   than this grid.
[00:31:20.720 --> 00:31:22.040]   So now I actually,
[00:31:22.040 --> 00:31:23.200]   if I want to show it on the screen,
[00:31:23.200 --> 00:31:24.440]   I need to have a function,
[00:31:24.440 --> 00:31:27.680]   a mathematically well defined way to define,
[00:31:27.680 --> 00:31:31.760]   like if now I have on my screen a pixel over here,
[00:31:31.760 --> 00:31:34.640]   what value, what color should I put at that pixel?
[00:31:34.640 --> 00:31:36.280]   Right, that's not necessarily exactly
[00:31:36.280 --> 00:31:38.520]   at one of my sample locations.
[00:31:38.520 --> 00:31:41.200]   So one thing is to take an image,
[00:31:41.200 --> 00:31:43.320]   the two dimensional continuous function
[00:31:43.320 --> 00:31:47.060]   and measure it at a number of discrete locations,
[00:31:47.060 --> 00:31:50.240]   potentially having modified that function
[00:31:50.240 --> 00:31:52.040]   to take the sampling,
[00:31:52.040 --> 00:31:54.400]   the measurement sensor shape into a condense on,
[00:31:54.400 --> 00:31:56.560]   but anyways, so point measurements there,
[00:31:56.560 --> 00:31:59.040]   we store those point measurements on a grid,
[00:31:59.040 --> 00:32:01.200]   but then in the later stage,
[00:32:01.200 --> 00:32:03.600]   we might want to resample it
[00:32:03.600 --> 00:32:07.080]   so that I can now display it on a different grid,
[00:32:07.080 --> 00:32:09.040]   for example, my computer screen,
[00:32:09.040 --> 00:32:12.120]   or I might want to print out the picture
[00:32:12.120 --> 00:32:13.240]   or whatever it is, right,
[00:32:13.240 --> 00:32:15.560]   that's whatever resolution now,
[00:32:15.560 --> 00:32:19.040]   I need to reconstruct or to be able to at any point
[00:32:19.040 --> 00:32:21.240]   in the whole continuous 2D space,
[00:32:21.240 --> 00:32:23.720]   be able to reconstruct mathematically
[00:32:23.720 --> 00:32:27.640]   by combining numbers and computing a function
[00:32:27.640 --> 00:32:30.320]   that takes a number of neighbors into account or so,
[00:32:30.320 --> 00:32:32.920]   or potentially all of my values into account,
[00:32:32.920 --> 00:32:35.200]   I need to be able to now have a function
[00:32:35.200 --> 00:32:38.360]   that reconstructs the value at that particular given location.
[00:32:38.360 --> 00:32:41.440]   Here you see, you could kind of say,
[00:32:41.440 --> 00:32:46.000]   well, for this value here with a reconstruction filter
[00:32:46.000 --> 00:32:48.680]   that takes for this value would kind of apply it,
[00:32:48.680 --> 00:32:54.480]   in a sense, a pixel here would be impacted by this one
[00:32:54.480 --> 00:32:56.840]   or a pixel here would be impact by this one and this one
[00:32:56.840 --> 00:32:58.720]   and actually also those two, et cetera.
[00:32:58.720 --> 00:33:00.440]   So in a sense, is the sphere of influence
[00:33:00.440 --> 00:33:02.760]   of a particular measurement can be typically
[00:33:02.760 --> 00:33:07.760]   for practical reasons will have a finite range
[00:33:07.760 --> 00:33:10.520]   that measurements will be taken into account
[00:33:10.520 --> 00:33:12.000]   to do the reconstruction.
[00:33:12.000 --> 00:33:14.600]   But again, we'll talk a lot more about that later.
[00:33:14.600 --> 00:33:17.480]   Here's for example, cubic reconstruction filter might,
[00:33:17.480 --> 00:33:22.200]   this point might be applied in this whole large region here
[00:33:22.200 --> 00:33:24.520]   would have an influence on our reconstruction.
[00:33:24.520 --> 00:33:28.000]   So this point here would take this measurement,
[00:33:28.000 --> 00:33:29.960]   this measurement, also other measurements,
[00:33:29.960 --> 00:33:31.160]   lots of measurements into account
[00:33:31.160 --> 00:33:34.160]   to actually compute the value at that given location.
[00:33:34.160 --> 00:33:37.600]   Again, this is from that paper, right?
[00:33:37.600 --> 00:33:40.800]   In a sense, notice that also on the reconstruction side
[00:33:40.800 --> 00:33:44.640]   or if you print something, for example,
[00:33:44.640 --> 00:33:47.840]   you might not actually try to exactly print the function
[00:33:47.840 --> 00:33:49.960]   that we're talking about, but just print something
[00:33:49.960 --> 00:33:54.960]   that's also a variant of it, like here with some dittering
[00:33:54.960 --> 00:33:58.440]   or some printing techniques that from close by,
[00:33:58.440 --> 00:34:01.120]   this doesn't look at all like the function you wanna render.
[00:34:01.480 --> 00:34:05.160]   But it turns out that our eyes also are not perfect sampling,
[00:34:05.160 --> 00:34:06.720]   infinite resolution, everything.
[00:34:06.720 --> 00:34:09.480]   If I look at these things from a little bit further away,
[00:34:09.480 --> 00:34:12.680]   would actually, or I will also in a sense do some kind of
[00:34:12.680 --> 00:34:15.480]   blurring in operations that this will actually look okay,
[00:34:15.480 --> 00:34:21.480]   to our eyes, essentially.
[00:34:21.480 --> 00:34:22.600]   It would kind of look like this,
[00:34:22.600 --> 00:34:26.000]   even if that's printed on the paper,
[00:34:26.000 --> 00:34:27.760]   we will see something like this here.
[00:34:29.200 --> 00:34:34.200]   So our eyes also are not strict measurement.
[00:34:34.200 --> 00:34:37.080]   So where do we just come from?
[00:34:37.080 --> 00:34:38.280]   So of course, digital cameras,
[00:34:38.280 --> 00:34:41.560]   and that's what we'll focus on in this part of the lecture.
[00:34:41.560 --> 00:34:44.720]   They can also come from other devices like MRI scanners
[00:34:44.720 --> 00:34:46.080]   or CT scanners.
[00:34:46.080 --> 00:34:47.760]   Of course, also computer graphics,
[00:34:47.760 --> 00:34:51.600]   and that's what you'll spend the second half of this course on,
[00:34:51.600 --> 00:34:55.480]   and also additional types of sensors and so on that,
[00:34:55.480 --> 00:34:57.640]   like a laser range finder could be scanning the world
[00:34:57.640 --> 00:35:00.040]   with a laser, and then some mirrors or other things
[00:35:00.040 --> 00:35:01.840]   that move the laser around so that it scans
[00:35:01.840 --> 00:35:04.200]   a two dimensional pattern, for example.
[00:35:04.200 --> 00:35:10.360]   So as I said, we'll focus on images, camera images.
[00:35:10.360 --> 00:35:13.520]   Here's kind of a, you know,
[00:35:13.520 --> 00:35:15.520]   schematics of a typical camera.
[00:35:15.520 --> 00:35:17.440]   Light comes in.
[00:35:17.440 --> 00:35:22.840]   In a sense, conceptually, we have a pinhole camera.
[00:35:22.840 --> 00:35:25.560]   So conceptually, we have light coming from a certain direction.
[00:35:25.560 --> 00:35:29.000]   It goes through a point, and it projects onto the sensor
[00:35:29.000 --> 00:35:30.200]   array behind the camera.
[00:35:30.200 --> 00:35:33.360]   In practice, if we just had a pinhole camera
[00:35:33.360 --> 00:35:35.840]   with just this very small hole,
[00:35:35.840 --> 00:35:37.360]   there again, we don't get enough light
[00:35:37.360 --> 00:35:39.360]   to actually get a good signal on the back.
[00:35:39.360 --> 00:35:42.200]   So the way we compensate that is we put a lens.
[00:35:42.200 --> 00:35:44.240]   What's the function of the lens is to,
[00:35:44.240 --> 00:35:46.120]   you know, if you have a lens of, let's say, this size,
[00:35:46.120 --> 00:35:47.960]   of course, you know, they're much smaller here,
[00:35:47.960 --> 00:35:50.960]   but they're still like, you know, reasonable size.
[00:35:50.960 --> 00:35:53.200]   Let's say I have a lens like this,
[00:35:53.200 --> 00:35:55.920]   then what happens is that from a particular point in space,
[00:35:55.920 --> 00:35:58.080]   all of the light that comes on the lens
[00:35:58.080 --> 00:36:00.800]   from a particular, you know, point,
[00:36:00.800 --> 00:36:04.400]   ideally will be refocused and all land on a single pixel.
[00:36:04.400 --> 00:36:09.320]   And to make that really work out,
[00:36:09.320 --> 00:36:13.280]   you actually have to choose what distance you're focused on.
[00:36:13.280 --> 00:36:14.840]   But if you're focused on the right distance,
[00:36:14.840 --> 00:36:15.960]   then this would actually really work.
[00:36:15.960 --> 00:36:18.760]   So you would have all the points at a certain distance
[00:36:18.760 --> 00:36:21.480]   would kind of, you know, spread out to the lens here,
[00:36:21.480 --> 00:36:23.880]   and then all those points would really be focused.
[00:36:23.880 --> 00:36:26.880]   For simplicity here, let's say that it's a point
[00:36:26.880 --> 00:36:27.840]   that's really far away.
[00:36:27.840 --> 00:36:32.000]   So all the incoming rays from that point are parallel, right?
[00:36:32.000 --> 00:36:35.240]   So that's when your camera is focused at infinity.
[00:36:35.240 --> 00:36:37.040]   So you have parallel incoming rays,
[00:36:37.040 --> 00:36:40.560]   and then those rays would be focused, not like here,
[00:36:40.560 --> 00:36:43.120]   but would be focused essentially for a particular direction.
[00:36:43.120 --> 00:36:47.040]   For example, all focused exactly over there on that pixel.
[00:36:47.040 --> 00:36:49.680]   And notice exactly it's actually already good enough
[00:36:49.680 --> 00:36:52.560]   if it all falls within the same little pixel area.
[00:36:52.560 --> 00:36:56.280]   So we don't need to have it exactly, exactly focused,
[00:36:56.280 --> 00:36:58.840]   but, you know, let's say within the size of a pixel.
[00:36:58.840 --> 00:37:01.000]   So this depends a bit on the resolution of your camera,
[00:37:01.000 --> 00:37:04.600]   how, you know, the lens and the lens focusing
[00:37:04.600 --> 00:37:06.680]   needs to match also in a sense,
[00:37:06.680 --> 00:37:08.240]   the resolution of your camera.
[00:37:08.240 --> 00:37:09.720]   There's some relationship there.
[00:37:09.720 --> 00:37:11.280]   Or at least the lens should be good enough
[00:37:11.280 --> 00:37:13.680]   to actually allow you to see every pixel independently
[00:37:13.680 --> 00:37:16.760]   and not have a blurry mess on your pixels
[00:37:16.760 --> 00:37:18.680]   and have anyways 20 pixels next to each other,
[00:37:18.680 --> 00:37:20.400]   and then we'll see the same thing, yes.
[00:37:20.400 --> 00:37:21.680]   - [Man] The rays look high away,
[00:37:21.680 --> 00:37:24.000]   and still miss the grid, right?
[00:37:24.000 --> 00:37:25.320]   - The what?
[00:37:25.320 --> 00:37:27.120]   - [Man] The rays with a high wavelength
[00:37:27.120 --> 00:37:30.200]   will still miss the grid then, right?
[00:37:30.200 --> 00:37:32.720]   Could they have a wavelength that's longer
[00:37:32.720 --> 00:37:34.560]   than the grid has size?
[00:37:34.560 --> 00:37:41.000]   - I'm not sure, I think that's actually still,
[00:37:41.000 --> 00:37:44.200]   I mean, if you really get into the fraction issues
[00:37:44.200 --> 00:37:45.480]   and stuff like that on there,
[00:37:45.480 --> 00:37:46.720]   but that's really something different.
[00:37:46.720 --> 00:37:48.640]   That's really not what I'm talking about here.
[00:37:48.640 --> 00:37:51.200]   This is kind of just geometrically here.
[00:37:51.200 --> 00:37:54.600]   We're not going to the point where this becomes an issue.
[00:37:54.600 --> 00:37:58.120]   So I don't know if you're like from the physics department
[00:37:58.120 --> 00:38:00.040]   or something like that, or...
[00:38:00.040 --> 00:38:05.040]   - [Man] Okay, well, so there are certainly ranges where,
[00:38:05.040 --> 00:38:07.280]   there are situations where this becomes an issue.
[00:38:07.280 --> 00:38:09.680]   This is not an issue in the normal ranges
[00:38:09.680 --> 00:38:11.880]   that we'll talk about in this course or something.
[00:38:11.880 --> 00:38:12.720]   - [Man] Remember, this is one of the things
[00:38:12.720 --> 00:38:14.680]   that happens when you stare at the sun,
[00:38:14.680 --> 00:38:16.440]   which is bad for your right to know.
[00:38:16.440 --> 00:38:18.440]   - Well, that's bad in many ways.
[00:38:18.440 --> 00:38:19.280]   So I wouldn't do it.
[00:38:19.280 --> 00:38:22.480]   Anyway, so okay, so we'll assume,
[00:38:22.480 --> 00:38:24.560]   similarly geometrically that, you know,
[00:38:24.560 --> 00:38:27.120]   rays from a certain, that come from points in the scene
[00:38:27.120 --> 00:38:29.520]   that we'll be able to focus them,
[00:38:29.520 --> 00:38:31.000]   you know, on a point here,
[00:38:31.000 --> 00:38:34.080]   on a single sensor element here.
[00:38:34.080 --> 00:38:37.160]   And then we'll have, a program will go more in detail,
[00:38:37.160 --> 00:38:38.920]   but for each of those here,
[00:38:38.920 --> 00:38:41.680]   they will go through an analog digital conversion.
[00:38:41.680 --> 00:38:42.800]   So ADC here.
[00:38:42.800 --> 00:38:47.360]   So that we get from actually just having a bunch of electrons,
[00:38:47.360 --> 00:38:51.160]   we'll actually get to a number representing digital form.
[00:38:51.160 --> 00:38:55.760]   And then we store that in a memory or image array, right?
[00:38:55.760 --> 00:38:58.000]   We'll store this somewhere in memory.
[00:38:58.000 --> 00:39:04.800]   Here's a slightly, you know, more specific example here
[00:39:04.800 --> 00:39:10.160]   of that where you see essentially this pixel array.
[00:39:10.160 --> 00:39:13.240]   You kind of also notice that there's something funny
[00:39:13.240 --> 00:39:14.080]   going on here.
[00:39:14.080 --> 00:39:18.840]   We have these little color filters in front of pixels.
[00:39:18.840 --> 00:39:23.560]   So we have actually two greens, one red and one blue.
[00:39:23.560 --> 00:39:28.120]   This is actually one of the mechanisms
[00:39:28.120 --> 00:39:30.800]   that allows us to generate color images
[00:39:30.800 --> 00:39:34.040]   is that we'll actually, the incoming light,
[00:39:34.040 --> 00:39:35.640]   in front of every pixel,
[00:39:35.640 --> 00:39:37.320]   on front of one will only keep green,
[00:39:37.320 --> 00:39:39.240]   in front of the other will only keep red, et cetera.
[00:39:39.240 --> 00:39:43.720]   And so that way we'll be able to regenerate color pictures.
[00:39:43.720 --> 00:39:44.720]   It's not a perfect mechanism,
[00:39:44.720 --> 00:39:46.880]   it's actually the cheapest and simplest one.
