
[00:00:00.000 --> 00:00:03.440]   Okay, so good afternoon.
[00:26:09.000 --> 00:26:15.320]   when we learn it, we learn it in the discrete domain. Here we do it in the continuous domain,
[00:26:15.320 --> 00:26:22.280]   but essentially from a single peak, here, I mean a single peak actually, many peaks,
[00:26:22.280 --> 00:26:29.560]   but for each peak, what we'll do is we take that peak, this infinitely high peak, but with integral
[00:26:29.560 --> 00:26:34.520]   one, and we decide how we distribute it. And how do we distribute it? So the convolution is how do
[00:26:34.520 --> 00:26:39.720]   we distribute it? Well, we distribute it according to this function here. This function is what?
[00:26:39.720 --> 00:26:44.280]   What is the Fourier transform of our signal, of our function, the function we're interested in,
[00:26:44.280 --> 00:26:50.280]   our image, for example, right? So it's a Fourier transform of our function. So when we sample it,
[00:26:50.280 --> 00:26:57.320]   when, so this was our model for sampling, right? So when we sample it, what we do is we normally
[00:26:57.320 --> 00:27:05.720]   have the function itself, but we'll actually build, we'll, you know, add the one peak. So remember
[00:27:05.720 --> 00:27:14.360]   the function here, right? It's in this space that we'll take all these peaks, and for each peak,
[00:27:14.360 --> 00:27:20.040]   we'll replace the peak with this, the Fourier transform of our function. And the next peak over,
[00:27:20.040 --> 00:27:26.440]   at one over t further, we again copy that thing. Okay? So actually, I have it on slide, so I'll show
[00:27:26.440 --> 00:27:35.560]   you in a second here. Okay, so it looks like this. We have our signal. You always, so this is one
[00:27:35.560 --> 00:27:42.920]   of these signals for simplicity of illustration. We have the spatial domain here. We have the
[00:27:42.920 --> 00:27:48.920]   frequency domain there. And so you can go from one to the other through the Fourier transform,
[00:27:48.920 --> 00:27:56.920]   or inverse Fourier transform. And so we now model sampling simply by multiplying this function
[00:27:56.920 --> 00:28:03.720]   with this function here. These are all Dirac, our delta functions. So, you know, which
[00:28:03.720 --> 00:28:07.400]   illustrates this little arrow here. That's actually to mean that it's a delta function,
[00:28:07.400 --> 00:28:13.880]   and not just something that goes to that value. Okay, so this is, but they rescale delta functions.
[00:28:13.880 --> 00:28:20.360]   They rescale by, you know, the local value of the function. So that's what we get here. Okay? And
[00:28:20.360 --> 00:28:25.720]   then, of course, ideally, we'd also be able to do a reconstruction and reconstruct the original
[00:28:25.720 --> 00:28:33.240]   signal. Okay? Now, so we've seen sometimes we get challenges, we get issues aliasing, and so on.
[00:28:33.240 --> 00:28:37.800]   So like, we'd like to understand a little bit better. So let's look at the frequency domain.
[00:28:37.800 --> 00:28:41.640]   Okay, so let's say we have a signal here. We can do the Fourier transform. We get some kind of
[00:28:41.640 --> 00:28:48.920]   spectrum. And as you've seen in the pictures that we showed of this tiger and this, no, was it
[00:28:48.920 --> 00:28:57.080]   leopard, and I think zebra, right? Essentially, most of the natural images have kind of a lot
[00:28:57.080 --> 00:29:01.960]   of low frequency, and then less and less high frequency. So typically, you get kind of a blob
[00:29:01.960 --> 00:29:08.600]   in general. Okay, so that's why here it's illustrated as a blob of a certain, let's say in this case,
[00:29:08.600 --> 00:29:14.040]   of a certain finite extent. So it has some frequency content, it's lower and lower, and at some point
[00:29:14.040 --> 00:29:20.520]   it's zero. Okay? So it doesn't essentially, beyond this point and this point, it's essentially zero.
[00:29:20.520 --> 00:29:29.640]   Okay? So now, here we simply multiply it. Here we convolve. So convolving is really, at every peak,
[00:29:29.640 --> 00:29:35.320]   we just place a copy. So, right, the peak is the, we distribute the peak, so it's like placing a copy
[00:29:35.320 --> 00:29:40.760]   of the original spectrum there. Okay? So convolving this with this here, just making a bunch of copies.
[00:29:40.760 --> 00:29:46.920]   So it's copy and shift. That's what we do. We copy and shift, and essentially, it depends now on this
[00:29:46.920 --> 00:29:53.000]   distance here, if that copy and shift will overlap or not. Okay? It depends on how wide is my blob,
[00:29:53.000 --> 00:29:59.960]   and on how far apart are the peaks. That depends if they actually overlap or not. In this case,
[00:29:59.960 --> 00:30:06.840]   luckily for us, they just nicely fit next to each other. Okay? So if they nicely fit next to each
[00:30:06.840 --> 00:30:12.680]   other, it means that if we can somehow, if we take this function now, this is our discrete, so this
[00:30:12.680 --> 00:30:18.520]   is the Fourier transform of this function, right? Of our discrete function. This is now a discrete
[00:30:18.520 --> 00:30:24.440]   function. It just has function values at discrete locations. Right? So this is our sample signal.
[00:30:24.440 --> 00:30:28.600]   This is now a mathematical representation, a bit complicated one, but it's a mathematical
[00:30:28.600 --> 00:30:35.240]   representation of, you know, essentially just a sample, a discretely sampled function.
[00:30:35.240 --> 00:30:41.080]   Okay? That's the spectrum that we have for it. That's actually a continuous thing, interestingly
[00:30:41.080 --> 00:30:47.880]   enough. Right? This is continuous. So it doesn't only have values at discrete locations. It's a
[00:30:47.880 --> 00:30:57.000]   continuous spectrum. Now, the concept of reconstructing the signal is actually quite easy,
[00:30:57.960 --> 00:31:03.800]   in a sense. How are we reconstructing? How could we reconstruct this? Like, what operations could
[00:31:03.800 --> 00:31:11.000]   we carry out to reconstruct from this here, from this signal to get back to the original function?
[00:31:11.000 --> 00:31:18.280]   And think in the, you know, so here you could kind of try to fit a function through. We've
[00:31:18.280 --> 00:31:22.360]   actually seen already a little bit of this, of these reconstruction filters. How you could do
[00:31:22.360 --> 00:31:27.000]   that? Take the closest value, for example, and so on, right? Or things like this. But if you think
[00:31:27.000 --> 00:31:41.160]   in a frequency domain, how could you kind of do this? Okay, so essentially we would want to pick,
[00:31:41.160 --> 00:31:44.920]   let's say, the one in the middle there, the original one, right? And get rid of the other ones.
[00:31:44.920 --> 00:31:52.680]   That's correct, but how do we do this? Any idea? A mask, yes, but a mask in a frequency domain.
[00:31:54.360 --> 00:32:05.080]   So that's a low pass filter, yes, exactly. So it's essentially a filter. It's a filter that we
[00:32:05.080 --> 00:32:11.400]   would like to preserve the frequencies in this range here. Right? So we want essentially all of
[00:32:11.400 --> 00:32:16.120]   these frequencies up there. We want to exactly preserve those. We don't want to, you know,
[00:32:16.120 --> 00:32:19.880]   like make them stronger or weaker. We want to exactly preserve those. And everything outside
[00:32:19.880 --> 00:32:28.520]   went to get to zero. If we go back to our pairs, okay? It's kind of like we want this thing here,
[00:32:28.520 --> 00:32:33.000]   right? In a sense, like conceptually, if we take, if we have this, that's exactly what we want.
[00:32:33.000 --> 00:32:41.480]   Filtering is a product in the frequency space. So we multiply with one here, and then outside of
[00:32:41.480 --> 00:32:46.920]   the blob, like outside of the blob, we multiply exactly with zero. So that's what we could do.
[00:32:47.800 --> 00:32:51.000]   Now, as you remember, this is actually a convolution with something of this type
[00:32:51.000 --> 00:32:54.200]   in the spatial domain. So it's kind of a convolution with really large filters,
[00:32:54.200 --> 00:32:59.800]   so it's not great. But this would be actually theoretically, you know,
[00:32:59.800 --> 00:33:08.680]   would allow us a perfect reconstruction. Okay. Oops. Here. Okay. So that works, yes?
[00:33:08.680 --> 00:33:22.200]   [ Inaudible ]
[00:33:22.200 --> 00:33:25.480]   Uh-huh. This here. Yeah.
[00:33:25.480 --> 00:33:31.560]   [ Inaudible ]
[00:33:31.560 --> 00:33:40.280]   Oh, sorry. This is zero, right? So low pass is limited from both sides.
[00:33:40.280 --> 00:33:48.120]   Okay. So high pass would actually be keeping this and keeping this. That's what a high pass is,
[00:33:48.120 --> 00:33:53.240]   actually, in this case. Okay. So it'd be kind of something like this here that preserves everything
[00:33:53.240 --> 00:33:57.160]   going forward here and everything going forward that way. That's what a high pass would be.
[00:33:57.160 --> 00:34:02.840]   Okay. So for everyone to be clear, this is zero. So low is around here, and high is, you know,
[00:34:02.840 --> 00:34:07.720]   around the other side, on the extremes, on both extremes, actually. Okay. That's good. You know,
[00:34:07.720 --> 00:34:11.720]   ask questions. I'm sure there's others that were thinking exactly the same way and didn't dare to
[00:34:11.720 --> 00:34:22.200]   ask the question. Okay. So now we get to the interesting part. I mean, I hope you found
[00:34:22.200 --> 00:34:26.040]   what was before also interesting. But now we essentially get to actually understand,
[00:34:26.680 --> 00:34:32.360]   you know, what ailiasing is. Okay. So essentially, same thing here. But now we decided to, you
[00:34:32.360 --> 00:34:39.800]   know, spend a few more bits, let's bits, you know, a few less bits here and sample less frequently.
[00:34:39.800 --> 00:34:46.840]   Okay. So we sample our signal less frequently. You see here, we have less samples. What does
[00:34:46.840 --> 00:34:53.480]   that mean in the frequency domain? Well, it means that there we, you know, if we're spacing things
[00:34:53.480 --> 00:35:00.440]   out in the spatial domain, it means we're squeezing things together in the frequency domain. So now,
[00:35:00.440 --> 00:35:05.880]   as we make for each of those, we make a copy of the spectrum, we end up with this here. Okay.
[00:35:05.880 --> 00:35:09.880]   And actually, we don't end up with this. We actually end up with, you know, like essentially
[00:35:09.880 --> 00:35:14.760]   that here, those two just get summed together. They, you know, they just get added together.
[00:35:14.760 --> 00:35:19.240]   And so you don't know anymore what came from what. And so you get a function that, you know,
[00:35:19.240 --> 00:35:23.880]   instead of nicely being like this, go to zero and then go to the next one. Now it's essentially
[00:35:23.880 --> 00:35:29.480]   doing something like this. And a big part is essentially overlapping. Okay. So now if you do
[00:35:29.480 --> 00:35:34.680]   this perfect cutout even, you know, you get something like this here where you see that this
[00:35:34.680 --> 00:35:42.040]   is really different from the original. Okay. It's essentially these other frequencies that are now
[00:35:42.040 --> 00:35:48.840]   being folded in and overlapping with our original frequencies. And we get a mix of both. And
[00:35:49.160 --> 00:35:54.360]   you know, there's no way to separate those anymore. Okay. Once it's like this, it's too late.
[00:35:54.360 --> 00:36:03.880]   Okay. So that's essentially the phenomenon of aliasing. Right. So this is the issue that we saw
[00:36:03.880 --> 00:36:08.760]   a few lectures ago where we had these strange artifacts showing up and so on. And essentially
[00:36:08.760 --> 00:36:13.720]   these high frequency pattern that suddenly showed up as these big kind of blobs spread over the
[00:36:13.720 --> 00:36:26.040]   image and so on. That's essentially what we have here. Okay. So what it means is that if we want to
[00:36:26.040 --> 00:36:34.120]   to work with, you know, on real signals, the upper line is the original signal
[00:36:36.280 --> 00:36:44.120]   which is high frequency. Before we sample it, we actually want to make sure that we band limit it.
[00:36:44.120 --> 00:36:49.160]   So it's important that before you sample, because as soon as you sample,
[00:36:49.160 --> 00:36:55.080]   you know, sampling corresponds to doing that. Okay. That's what sampling is. Right. So that's
[00:36:55.080 --> 00:36:59.320]   sampling. So once you put those two together, you get this, then it's too late. You can try to
[00:36:59.320 --> 00:37:04.680]   filter whatever you want. You can have a perfect filter. It will not work. It's too late. So,
[00:37:04.680 --> 00:37:09.880]   so the key is in the proper filter, proper sampling, you actually, and this is what I
[00:37:09.880 --> 00:37:18.600]   mean, is before you sample, you need to first apply low pass filter on, you need to apply
[00:37:18.600 --> 00:37:25.560]   low pass filter so that you avoid these high frequencies. Because if you have high frequencies,
[00:37:25.560 --> 00:37:29.960]   they'll get folded over on your low frequencies. And then you don't know actually if this was a
[00:37:29.960 --> 00:37:33.960]   low frequency or if there's a high frequency that got folded over your low frequency. You cannot
[00:37:33.960 --> 00:37:40.120]   separate this anymore. Okay. So essentially, first apply low pass filter so that now you have band
[00:37:40.120 --> 00:37:51.240]   limited. So essentially, as we saw in the first lecture, you essentially, you know, you know,
[00:37:51.240 --> 00:37:58.600]   based on your sampling, or actually, you know, you can also see here, it's kind of easy. Based on
[00:37:58.600 --> 00:38:05.240]   your sampling, you know how far your peaks are going to be apart. And so even with a perfect
[00:38:05.240 --> 00:38:12.840]   filter, you know, to the, which is the tightest you can make it, you kind of need those peaks to be
[00:38:12.840 --> 00:38:18.360]   a factor of two apart from the, this is your, the width of your signal, the bandwidth of your signal,
[00:38:18.360 --> 00:38:25.080]   up to this frequency. You need the next peak to be at least twice as far. Okay. Maybe you remember
[00:38:25.080 --> 00:38:31.720]   in the first lecture or second lecture, we had this Nyquist sampling theorem that said that you
[00:38:31.720 --> 00:38:40.440]   have to have your sampling frequency be at least twice the frequency of your signal. Right. Anybody
[00:38:40.440 --> 00:38:46.840]   remember that? Yeah. Okay. So now you see why two is similar is those peaks, if they're two apart,
[00:38:46.840 --> 00:38:51.560]   a factor two apart, then we can exactly place copies next to each other without them overlapping.
[00:38:51.560 --> 00:38:56.280]   Okay. Now that still implies you need a perfect filter to actually make it work.
[00:38:56.280 --> 00:39:01.160]   So if we don't use a perfect filter, we might want to take a little bit more margin
[00:39:01.160 --> 00:39:06.920]   to allow us to go from, you know, not distorting the signal, so keeping almost exactly one,
[00:39:06.920 --> 00:39:13.560]   and then have it go down at some extent and be close enough to zero when, when the next copy
[00:39:13.560 --> 00:39:18.360]   kind of shows up. Right. So that you don't have this, this high frequencies kind of coming.
[00:39:20.600 --> 00:39:23.640]   Okay. So this was aliasing. So here if it overlaps, it's too late.
[00:39:23.640 --> 00:39:29.320]   Okay. So essentially we first low pass filter the signal. We low pass filter it so that it's
[00:39:29.320 --> 00:39:34.120]   essentially just the width that will fit between our peaks. Okay. That's what we're talking about.
[00:39:34.120 --> 00:39:41.480]   Then we can sample, then we can safely sample essentially. And then from this, we have the
[00:39:41.480 --> 00:39:47.320]   potential to perfectly reconstruct where of course we're talking about perfectly reconstructing the
[00:39:47.320 --> 00:39:52.920]   low pass signal. Okay. The high, the high pass, we sure way it's gone. Okay. But, you know, if you
[00:39:52.920 --> 00:39:58.600]   look at this image, for example, you know, it's fine to go from this to this. And then as long as
[00:39:58.600 --> 00:40:02.920]   you can reconstruct this, it's kind of okay. So that's essentially what we'll be doing.
[00:40:02.920 --> 00:40:13.000]   So here's a few things about, a few things about filtering and so on. So the message is a free
[00:40:13.000 --> 00:40:18.360]   transform is that high frequencies lead to trouble with sampling. So the solution is to suppress
[00:40:18.360 --> 00:40:23.560]   those high frequencies before sampling. This can be done by multiplying the free transform
[00:40:23.560 --> 00:40:28.200]   of the signal with something that suppresses high frequencies. So low pass filter.
[00:40:28.200 --> 00:40:31.480]   So in other words, convolved with a low pass filter.
[00:40:31.480 --> 00:40:39.640]   A filter whose free transform is a box is bad because the filter kernel has infinite support.
[00:40:39.640 --> 00:40:44.680]   Right. So this would be the perfect filter, except that it's expensive or, you know,
[00:40:44.680 --> 00:40:50.200]   and brings other artifacts. The problem is for starters that the images are not infinite.
[00:40:50.200 --> 00:40:56.040]   And so you're kind of making assumptions about what happens beyond the image, etc., etc.
[00:40:56.040 --> 00:41:03.960]   Common solution is this Gaussian because as we saw, the Gaussian is the one that's most compact on
[00:41:03.960 --> 00:41:13.480]   both sides. And so in that sense, it's very practical for this. So multiplying by the free,
[00:41:13.480 --> 00:41:17.720]   the free transform by a Gaussian is equivalent to convolving the image with a Gaussian, which can
[00:41:17.720 --> 00:41:24.120]   also be done in a good approximation quite efficiently. So here's a little bit of an example
[00:41:24.120 --> 00:41:33.800]   of what happens. We already roughly saw this example before. You have here function to
[00:41:33.800 --> 00:41:40.680]   256 by 256 and then we sub-sample without filtering. And so everything goes well for a while
[00:41:40.680 --> 00:41:48.280]   until we go too far. And this is essentially when we get those two things to overlap. And of course,
[00:41:48.280 --> 00:41:51.880]   you know, then we do the reconstruction and we just consider everything as low frequencies as we
[00:41:51.880 --> 00:41:56.280]   reconstruct. And so essentially we get these things to pop up here, these strange things to pop up.
[00:41:56.280 --> 00:42:01.640]   What you see is here, it's not great because of renormalization, but essentially if you look
[00:42:01.640 --> 00:42:09.240]   at this here, this is the part that has, this is the frequency representation of this. So you see
[00:42:09.240 --> 00:42:15.480]   most of the energies in this little square in the middle. Then we sub-sample and we take the
[00:42:15.480 --> 00:42:21.000]   Fourier transform of this guy. Now what's interesting is we see at the edge these copies of this
[00:42:21.000 --> 00:42:26.200]   showing up here. That's what we see. And here and here and here. So in 2D, of course, it's a two
[00:42:26.200 --> 00:42:33.320]   dimensional repetition. Next one here. But you see that the core signal here, which is this part,
[00:42:33.320 --> 00:42:40.440]   is still nicely separated from the next one. Next thing, and then here in the renormalization,
[00:42:40.440 --> 00:42:45.560]   I think when these slides were made, it just automatically renormalized the image.
[00:42:45.560 --> 00:42:52.200]   This patch and this patch should be just as bright because there's no dark patches anymore and the
[00:42:52.200 --> 00:42:55.880]   image was just renormalized to have the same average intensity. It doesn't look very good.
[00:42:56.360 --> 00:43:02.200]   But essentially, you see that this box, it's kind of still nicely in there. It actually just fits.
[00:43:02.200 --> 00:43:09.560]   But then the next step, that's when it really goes wrong because now you essentially put a full copy
[00:43:09.560 --> 00:43:14.360]   on top of the other copy and they really start overlapping. And no surprise, you start seeing
[00:43:14.360 --> 00:43:18.760]   that essentially the, qualitatively, the image looks completely different now, suddenly, because
[00:43:18.760 --> 00:43:25.800]   you get like this really strong high frequency signal to just be interpreted as a low frequency.
[00:43:26.200 --> 00:43:32.760]   Signal and so it looks completely different at that resolution. Now here's what happens
[00:43:32.760 --> 00:43:41.160]   if you do some smoothing. So in this case, we smooth with a Gaussian with a sigma of one pixel
[00:43:41.160 --> 00:43:50.120]   and we do that in a, every time from one image to the next, we apply that. So for in this image,
[00:43:50.920 --> 00:43:58.760]   before sampling, we will actually blur this image, the 256 by 256, with a Gaussian with a sigma of
[00:43:58.760 --> 00:44:04.840]   one pixel. So that means that a sigma of a Gaussian, I think at one pixel, you're about,
[00:44:04.840 --> 00:44:09.720]   from one, you go to about two thirds and then it still has, you know, like two or three sigma,
[00:44:09.720 --> 00:44:16.120]   you get to something quite small. So maybe you have kind of something significant up to maybe
[00:44:16.760 --> 00:44:20.920]   two pixels for sure and then three pixels, it becomes close to zero. Okay.
[00:44:20.920 --> 00:44:27.000]   And then once we blur the image, which you know, you don't really see that this image was blurred,
[00:44:27.000 --> 00:44:32.600]   but once you blur the image, you then sub-sample. And so again, at this, this image here, we blur,
[00:44:32.600 --> 00:44:39.000]   we blur first and then we sub-sample. And then we blur and we sub-sample, we blur and we sub-sample.
[00:44:39.000 --> 00:44:45.640]   Okay. So it means that we've always been kind of blurring at different locations.
[00:44:45.640 --> 00:44:50.760]   You kind of see what happens here, but so essentially we'll be suppressing
[00:44:50.760 --> 00:44:57.400]   things. And in the end, you know, what you see here is that here it starts being affected. So your
[00:44:57.400 --> 00:45:01.880]   signal is actually in a sense less nice than it was here, maybe, although there's actually already
[00:45:01.880 --> 00:45:07.400]   some effects here. But in particular, once you can't represent the signal anymore, it's been blurred
[00:45:07.400 --> 00:45:11.960]   out by then. Okay. So there's high frequencies that are too much to represent at that resolution,
[00:45:11.960 --> 00:45:17.320]   16 by 16. They're just gone now. Okay. Okay. So and then we'll continue after the break.
[00:45:17.320 --> 00:45:21.080]   Okay. So let us continue.
[00:45:21.080 --> 00:45:30.280]   The, so this was one example. You still see a little bit of effects here, for example, and so on.
[00:45:30.280 --> 00:45:36.440]   Here's if we choose a slightly different Gaussian. So the different, the only difference is
[00:45:36.440 --> 00:45:42.440]   essentially here. Okay. So it's a slightly larger Gaussian. What does that mean? It means that it's
[00:45:42.440 --> 00:45:47.000]   filtering a little bit more aggressively, suppressing a little bit more the high frequencies.
[00:45:47.000 --> 00:45:54.440]   So this should actually, you know, avoid a little bit more artifacts, but of course,
[00:45:54.440 --> 00:45:57.960]   also blur things out a little bit more. So suppress the signal itself also a bit more.
[00:45:57.960 --> 00:46:05.480]   Okay. And that's kind of what you see here. So as you go, less artifacts, but essentially most of
[00:46:05.480 --> 00:46:11.960]   the images blurred out at the end. Right. You can also see here, it's kind of strongly.
[00:46:11.960 --> 00:46:16.680]   So before things get copied on top of each other, it kind of strongly suppresses them. And so
[00:46:16.680 --> 00:46:22.360]   it doesn't overlap, but you've kind of already erased a good part of the signal also. Right.
[00:46:22.360 --> 00:46:28.280]   This was the one before. So here you get most, you know, like you get little of a gap between.
[00:46:28.280 --> 00:46:35.080]   So there's, you use most of what you can represent with the 16 by 16 pixels. Here you've blurred more
[00:46:35.080 --> 00:46:40.120]   the signal away. You've kind of, you were over-protective like this. Essentially most of the stuff here is
[00:46:40.120 --> 00:46:47.400]   kind of erased. Okay. Just an example of what practically you would do with Gaussians. Okay.
[00:46:47.400 --> 00:46:55.960]   So now we get here to revisit the Nyquist sampling theorem. By now, ideally, this should kind of
[00:46:55.960 --> 00:47:01.880]   be relatively trivial. It should be obvious. You know, it's just double the space so that, you know,
[00:47:01.880 --> 00:47:08.440]   two copies just touch each other, but you can still keep them separate. That's this, the fact
[00:47:08.440 --> 00:47:15.000]   that the sampling frequency must be at least twice. So larger or equal to twice the highest
[00:47:15.000 --> 00:47:20.120]   frequency in the signal. Okay. The highest frequency in the signal is the extent up to where you have
[00:47:20.120 --> 00:47:30.440]   non-zero, you know, frequencies or non-zero presence, non-zero values for your frequency
[00:47:30.440 --> 00:47:37.160]   representation. So in other words, you Fourier transform of your original function. Okay. Or
[00:47:37.160 --> 00:47:45.720]   of the function after you prepared it. For example, as we showed here, after you prepared it, so after
[00:47:45.720 --> 00:47:52.120]   you low-pass filtered it, so that now, you know, like you need to ensure that that frequency is
[00:47:52.120 --> 00:47:57.080]   lower than twice this frequency, lower than half of this frequency.
[00:47:57.080 --> 00:48:09.800]   Oops. Okay. And so if this is not the case, then you need to apply ideally a low-pass filter.
[00:48:10.440 --> 00:48:16.840]   If not, you are likely to face, or actually if this is not satisfied, then you will face
[00:48:16.840 --> 00:48:23.960]   aliasing, essentially. Then that higher frequency will be somehow mapped to some, added up to some
[00:48:23.960 --> 00:48:34.360]   lower frequencies. Okay. This is an example. At some point, this was captured on live TV.
[00:48:34.360 --> 00:48:39.320]   So now the question is what happened here. Does anybody have a hypothesis?
[00:48:39.880 --> 00:48:53.400]   No. It's actually not a compression here.
[00:48:53.400 --> 00:49:03.560]   Okay. So who remembers how color cameras typically work? How did we sample for color?
[00:49:05.880 --> 00:49:09.640]   All right. So we said if we want high quality, we'll have three different sensors and so on,
[00:49:09.640 --> 00:49:12.760]   but in most cases, we actually don't. So we just have a single sensor.
[00:49:12.760 --> 00:49:21.880]   And then we sample color by actually, you know, sampling, you know, instead of for the actual
[00:49:21.880 --> 00:49:26.440]   pixels, we have some pixels very measure red and somewhere you measure green and somewhere you
[00:49:26.440 --> 00:49:32.920]   measure blue, et cetera. But so the sampling frequency is actually lower in the color
[00:49:33.880 --> 00:49:38.360]   than in the grayscale. So the grayscale image looks nice like this. No artifacts here,
[00:49:38.360 --> 00:49:42.520]   but here we have strong artifacts in the colors.
[00:49:42.520 --> 00:49:52.840]   So essentially, we're kind of in that factor of two between the grayscale image, which looks just
[00:49:52.840 --> 00:49:59.800]   fine, and the color image, which, you know, is sampling at only half the frequency.
[00:50:01.080 --> 00:50:06.200]   And so there you kind of get pretty strong aliasing, essentially color aliasing in this case.
[00:50:06.200 --> 00:50:17.320]   Okay. So it's this guy here. Okay. So now, so we've discussed a lot that part of the pipeline,
[00:50:17.320 --> 00:50:26.200]   the first part. By the way, you know, if you're the person, you know, behind the camera
[00:50:27.560 --> 00:50:32.280]   and you see this happening, or, you know, like, you know, like, what can you do?
[00:50:32.280 --> 00:50:42.520]   Yes. Yes, but that will be a little bit awkward.
[00:50:42.520 --> 00:50:47.160]   Anything else that's less drastic that you could do?
[00:50:47.160 --> 00:50:54.200]   Exactly. So you can actually a little bit change the focus, not the zoom, preferably,
[00:50:54.200 --> 00:50:58.440]   but the focus. People will barely notice you would just blur a little bit the image,
[00:50:58.440 --> 00:51:03.560]   but if you do that by factor of two, so that essentially now instead of seeing every pixel,
[00:51:03.560 --> 00:51:08.920]   you know, really sharply, you just have like two pixels kind of you blur to two pixels,
[00:51:08.920 --> 00:51:13.800]   then this would actually disappear. So that's, I don't have the video or so, but that's probably
[00:51:13.800 --> 00:51:18.600]   what a cameraman, you know, or women would quickly have done, essentially,
[00:51:20.200 --> 00:51:28.680]   on in this case here, if they noticed. Okay, so now after I looked at this, so in other words,
[00:51:28.680 --> 00:51:35.480]   again, like, if you actually, if this is in the space, if this is in the continuous domain,
[00:51:35.480 --> 00:51:44.840]   and then you sample here, this operation, this low pass filtering operation, has to happen in
[00:51:44.840 --> 00:51:48.920]   the continuous domain. So for example, in the physical domain, and so you can have the camera
[00:51:48.920 --> 00:51:55.080]   blur the signal. So in other words, the camera, the focus becomes a low pass filter on your,
[00:51:55.080 --> 00:52:01.240]   on your incoming, you know, light, you cannot sample first and then worry about this later,
[00:52:01.240 --> 00:52:04.920]   right? So remember, this is actually really critical. You once you sample is too late.
[00:52:04.920 --> 00:52:12.200]   Of course, you can already be in the digital in the discrete domain. In other words, in the
[00:52:12.200 --> 00:52:17.720]   digital domain. And if you're already there, but now you have a high resolution image, but you have
[00:52:17.720 --> 00:52:23.720]   a low resolution screen, for example, and you need to now sample your image to bring it on the screen,
[00:52:23.720 --> 00:52:29.880]   then it's okay. Then you're in this, in the, in the already in digital representation, and then you
[00:52:29.880 --> 00:52:34.200]   can apply essentially just, you know, digital filters to do the transformation. That's what we
[00:52:34.200 --> 00:52:39.080]   showed before was applying these gaussians, for example, which are discrete gaussians, discrete
[00:52:39.080 --> 00:52:45.000]   low pass filters that will apply and that will do that. So, but if we are, if this is the first time
[00:52:45.000 --> 00:52:53.240]   we sample, so the, if this is the point where we go from continuous from analog to like actually
[00:52:53.240 --> 00:52:59.880]   sample with a sensor, then we have to do something before, which for example is make sure that our
[00:52:59.880 --> 00:53:06.120]   lens is not too good, that our lens is kind of matched to the resolution of our pixels, but doesn't
[00:53:06.120 --> 00:53:11.160]   let through higher frequencies than, you know, what we can actually sample. So actually this is,
[00:53:11.880 --> 00:53:17.640]   there are actually filters in cameras and the lens is actually tuned to typically to the, to the
[00:53:17.640 --> 00:53:23.640]   sensor. There's no point in having a super sharp lens in front of a, you know, a low resolution
[00:53:23.640 --> 00:53:31.320]   sensor, because you're actually going to create more problems than anything else, essentially.
[00:53:31.320 --> 00:53:35.640]   Except if you wanted to do super resolution or things like that, then maybe there is something
[00:53:35.640 --> 00:53:42.200]   to be done there, but okay. So now we'll focus on the second part here. We have a sample signal.
[00:53:42.200 --> 00:53:47.560]   How do we reconstruct now the original signal? Okay. We've seen conceptually we can apply this
[00:53:47.560 --> 00:53:52.840]   perfect kind of reconstruction filter, this box filter, which becomes this very, you know,
[00:53:52.840 --> 00:53:59.160]   this sink in the spatial domain, but that's as we've, as we already briefly discussed, this is
[00:53:59.160 --> 00:54:07.080]   actually not the good way to do it. We'll also throw in some human vision in the middle.
[00:54:07.080 --> 00:54:15.240]   Who can recognize this person? Okay. So many of you can recognize him. Let me, okay. So this
[00:54:15.240 --> 00:54:21.480]   actually also showed up in art. So that person is the same as this person. This might already,
[00:54:21.480 --> 00:54:27.480]   so who recognizes that person? Still the same amount. Okay. Let me do this. Who recognizes
[00:54:27.480 --> 00:54:35.320]   now this person here? Okay. I see a few more hands at least. Okay. So that's what I was expecting.
[00:54:35.320 --> 00:54:43.480]   So of course this, you know, this is Lincoln, but it's actually easier to recognize him this way
[00:54:43.480 --> 00:54:49.880]   than it is to recognize him that way, right? Or not, like, who agrees that this was actually easier?
[00:54:49.880 --> 00:54:56.200]   Right? Okay. So most people. So why is that actually? Any idea?
[00:54:56.200 --> 00:55:12.600]   Yes. So essentially that's correct. And the reason is that essentially here,
[00:55:12.600 --> 00:55:18.200]   what you really have is you actually have thrown in a bunch of high frequencies that really are not,
[00:55:18.200 --> 00:55:22.760]   you know, like should not be there. Right? So this is really each of those edges here is actually
[00:55:22.760 --> 00:55:26.920]   a high frequency. So it's a very poor reconstruction. The reconstruction that throws in a bunch of
[00:55:26.920 --> 00:55:32.760]   high frequencies that really shouldn't be here in the reconstruction. Right? So you have a value
[00:55:32.760 --> 00:55:37.240]   measured at each of those discrete locations. And now you kind of copy those over, but that means
[00:55:37.240 --> 00:55:45.080]   you're actually, you're actually creating very high frequency content here of a very specific type.
[00:55:45.080 --> 00:55:51.480]   And so our brain is like getting confused by all these additional irrelevant high frequency content
[00:55:51.480 --> 00:55:58.200]   here. Okay. So let's look a little bit at a few possible reconstruction filters.
[00:55:58.200 --> 00:56:07.160]   So the first one is, you know, like the square pixel kind of filter. That's the closest.
