
[00:00:00.000 --> 00:00:02.000]   Okay, good morning.
[00:22:46.000 --> 00:22:49.000]   we would take a template, so a kernel,
[00:22:49.000 --> 00:22:54.000]   and we'd kind of compare it like one by one, you know, for this one, we compare it to this one,
[00:22:54.000 --> 00:22:59.000]   this one, this one, this one, this one, and we kind of compare how well they correlate, in a sense,
[00:22:59.000 --> 00:23:04.000]   coefficient by coefficient, right, between the kernel and the image patch.
[00:23:04.000 --> 00:23:11.000]   Here, we want to compute the correlation between, you know, two full images.
[00:23:11.000 --> 00:23:15.000]   So our template is the whole image now, and so we don't have to move it across the other image,
[00:23:15.000 --> 00:23:19.000]   no, there's actually, you know, it's the full image, correlated to the full image,
[00:23:19.000 --> 00:23:23.000]   so it's how much does the first pixel look like the first pixel, you know,
[00:23:23.000 --> 00:23:26.000]   and the second pixel looks like the second pixel, etc.
[00:23:26.000 --> 00:23:32.000]   So that's what we do here, right, so we'll take the two vectors,
[00:23:32.000 --> 00:23:37.000]   and so to multiply them, right, so the two vectors, you know, let's say f1 and f2,
[00:23:37.000 --> 00:23:43.000]   what do we do? Well, we take f1 transpose, right, or Hermitian actually, sorry,
[00:23:43.000 --> 00:23:54.000]   and then multiply it, and essentially get, actually, sorry, we do it the other way around,
[00:23:54.000 --> 00:24:02.000]   we take this one, we transpose it, and then we get here the product of the first one with the first one,
[00:24:02.000 --> 00:24:09.000]   so we'll get the first, what do we get here?
[00:24:09.000 --> 00:24:16.000]   So essentially, we want to have the expected value, so the average,
[00:24:16.000 --> 00:24:27.000]   of every first coefficient with itself, we can also get, I think there needs to be a j here somewhere,
[00:24:27.000 --> 00:24:36.000]   this is i and j actually, sorry, so we'll look at how much does the first coefficient, for example,
[00:24:36.000 --> 00:24:46.000]   correlate with the first coefficients of the other ones, etc., etc.,
[00:24:46.000 --> 00:24:58.000]   and so we essentially get here this image collection of the correlation function.
[00:24:58.000 --> 00:25:13.000]   So in the end, so we, after unitary transform, this correlation function, this correlation function,
[00:25:13.000 --> 00:25:21.000]   matrix, sorry, that indicates how much a particular coefficient, a particular pixel,
[00:25:21.000 --> 00:25:32.000]   correlates with another particular pixel, so here, so this is actually about how much pixel one correlates with pixel one,
[00:25:32.000 --> 00:25:36.000]   how much pixel one correlates with pixel two, how much pixel one correlates with pixel five,
[00:25:36.000 --> 00:25:43.000]   how much pixel five correlates with pixel ten, etc., so it's a correlation within the image.
[00:25:43.000 --> 00:26:01.000]   So that matrix, it's essentially, what we look at is the expected value of how all those coefficients
[00:26:01.000 --> 00:26:12.000]   correlate with each other, so also we can look at the correlation between those coefficients
[00:26:12.000 --> 00:26:16.000]   after a transformation, okay?
[00:26:16.000 --> 00:26:30.000]   So essentially, this would be the transformation, so if we want to look at the correlation matrix
[00:26:30.000 --> 00:26:39.000]   of the coefficients, so not the original elements here, but the coefficients after a transformation,
[00:26:39.000 --> 00:26:47.000]   then we have the expected value of this matrix here, which is the same as this operation here,
[00:26:47.000 --> 00:26:53.000]   which if we look at this here, this and this is constant, so this can be moved out,
[00:26:53.000 --> 00:26:58.000]   and essentially we get the autocorrelation function of this here.
[00:26:58.000 --> 00:27:08.000]   And so the mean squared values, the average energies of the coefficients C here,
[00:27:08.000 --> 00:27:15.000]   C_i are on the diagonal of this matrix here, these guys here,
[00:27:15.000 --> 00:27:22.000]   but this matrix can, would still be dense typically,
[00:27:22.000 --> 00:27:31.000]   but then what we'd like to do is to choose this, this eigenmatrix,
[00:27:31.000 --> 00:27:39.000]   so that, you know, this one here, so we choose this to be unitary,
[00:27:39.000 --> 00:27:47.000]   and choose this here in the way that we get from the original function here,
[00:27:47.000 --> 00:27:51.000]   the original autocorrelation function, which is a dense matrix.
[00:27:51.000 --> 00:28:01.000]   If we compute this matrix here in such a way that we get the eigenmatrix here of the autocorrelation matrix,
[00:28:01.000 --> 00:28:06.000]   so if we actually do the diagonalization of the matrix, so we compute the eigenvalues
[00:28:06.000 --> 00:28:11.000]   and the eigenvectors here of this matrix, we get something like this.
[00:28:11.000 --> 00:28:17.000]   And so essentially we can apply a transformation to this here,
[00:28:17.000 --> 00:28:21.000]   so if you apply this transformation, then to the autocorrelation matrix,
[00:28:21.000 --> 00:28:26.000]   it diagonalizes the autocorrelation matrix.
[00:28:26.000 --> 00:28:29.000]   So RFF is actually a symmetric non-negative matrix,
[00:28:29.000 --> 00:28:35.000]   therefore all the, because it's all this, you know, the way it's constructed here,
[00:28:35.000 --> 00:28:39.000]   as in the product of all those vectors.
[00:28:39.000 --> 00:28:45.000]   So therefore the eigenvalues are all larger than zero,
[00:28:45.000 --> 00:28:50.000]   and it is a normal matrix, so this is a normal matrix,
[00:28:50.000 --> 00:28:55.000]   and hence the unitary eigenmatrix always exists.
[00:28:55.000 --> 00:29:03.000]   And so if we actually pick this transform matrix to be the Hermitian of this matrix,
[00:29:03.000 --> 00:29:05.000]   we can diagonalize the matrix.
[00:29:05.000 --> 00:29:12.000]   So in other words, so this was our original autocorrelation function
[00:29:12.000 --> 00:29:17.000]   of our image collection, which was looking at how all coefficients were correlated.
[00:29:17.000 --> 00:29:24.000]   We can actually do, apply a transformation that we choose to be this eigenmatrix
[00:29:24.000 --> 00:29:29.000]   or the Hermitian of the eigenmatrix, and if we apply that, you know,
[00:29:29.000 --> 00:29:34.000]   if this is what we take, then this autocorrelation of the coefficients now,
[00:29:34.000 --> 00:29:39.000]   not of the original pixels, but of the coefficients after the transformation,
[00:29:39.000 --> 00:29:42.000]   they, you know, they are, we choose the matrix like this,
[00:29:42.000 --> 00:29:45.000]   if we choose the matrix like this, through the eigenvalue,
[00:29:45.000 --> 00:29:49.000]   because this was the eigenvalue, we can replace this, you know, this is diagonal,
[00:29:49.000 --> 00:29:52.000]   so we can, we actually get this, just the eigenvalues here,
[00:29:52.000 --> 00:29:56.000]   this has to be equal if this is the eigenvalue matrix.
[00:29:56.000 --> 00:29:59.000]   So we get this, and in other words, this of course disappears,
[00:29:59.000 --> 00:30:03.000]   and so we just get this here, right, so that's just the diagonalization of the matrix.
[00:30:03.000 --> 00:30:06.000]   Okay, so you've seen this before.
[00:30:06.000 --> 00:30:12.000]   So essentially this matrix, if we choose the transformation to be the one that comes out of the eigenvalue,
[00:30:12.000 --> 00:30:16.000]   the composition of, of this autocorrelation function,
[00:30:16.000 --> 00:30:20.000]   then we essentially just get a diagonal matrix here for the coefficients,
[00:30:20.000 --> 00:30:23.000]   the autocorrelation between the coefficients.
[00:30:23.000 --> 00:30:27.000]   What does that mean? It means that actually, you know, all of this math
[00:30:27.000 --> 00:30:32.000]   essentially means that we've now, instead of having, you know,
[00:30:32.000 --> 00:30:39.000]   in an image, this pixel and this pixel often be correlated with each other, right,
[00:30:39.000 --> 00:30:42.000]   because if this is wide, this is also often wide, for example, so they're,
[00:30:42.000 --> 00:30:46.000]   they move together, they're correlated with each other.
[00:30:46.000 --> 00:30:54.000]   In this case, we changed the representation in such a way for our particular image collection,
[00:30:54.000 --> 00:30:57.000]   this is for our particular image collection, right, not in general,
[00:30:57.000 --> 00:31:03.000]   this is for this particular image collection, so that this pixel and, sorry,
[00:31:03.000 --> 00:31:10.000]   in the new basis, in the new basis, two coefficients are completely uncorrelated.
[00:31:10.000 --> 00:31:15.000]   Okay, because this is a diagonal matrix, this autocorrelation function,
[00:31:15.000 --> 00:31:19.000]   here, this is a diagonal matrix, which is the eigenvalues along the diagonal,
[00:31:19.000 --> 00:31:26.000]   so it means that coefficient one only correlates, only have a nonzero correlation with itself,
[00:31:26.000 --> 00:31:28.000]   but it has zeros with all the other ones.
[00:31:28.000 --> 00:31:32.000]   These are all the off-diagonal numbers, are the correlation between one element
[00:31:32.000 --> 00:31:35.000]   and other elements, they're all zero, okay?
[00:31:35.000 --> 00:31:42.000]   That's what you have here, okay, so, so that's the first thing,
[00:31:42.000 --> 00:31:47.000]   the second thing is, and this is the same that you've seen in linear algebra
[00:31:47.000 --> 00:31:58.000]   for, you know, of the fact that this is essentially the equivalent of the single-evalued composition,
[00:31:58.000 --> 00:32:03.000]   and that the single-evalued composition packs the most energy in the first k,
[00:32:03.000 --> 00:32:08.000]   for every k, in the first k elements, you pack the most energy,
[00:32:08.000 --> 00:32:13.000]   so you get the best approximation of the matrix with the first k single vectors,
[00:32:13.000 --> 00:32:21.000]   or, you know, here with the first k, if you order them in order here,
[00:32:21.000 --> 00:32:31.000]   with the first k eigenvalues, right, so it packs the most energy in the first k coefficients,
[00:32:31.000 --> 00:32:34.000]   so in this case, j, where j is arbitrary,
[00:32:34.000 --> 00:32:38.000]   and the mean square approximation error by choosing only the first j coefficients,
[00:32:38.000 --> 00:32:43.000]   that error is minimized, okay?
[00:32:43.000 --> 00:32:48.000]   This is something we can also derive here,
[00:32:48.000 --> 00:32:54.000]   so we don't necessarily have to go for the math here,
[00:32:54.000 --> 00:33:02.000]   but essentially this is kind of re-deriving this property of the eigenvalue of single-evalued composition,
[00:33:02.000 --> 00:33:07.000]   so if you express here b as being the first j coefficients,
[00:33:07.000 --> 00:33:11.000]   so this is now a rectangular matrix, that is, you know,
[00:33:11.000 --> 00:33:15.000]   the length of the original number of coefficients, and then j high,
[00:33:15.000 --> 00:33:20.000]   and it's a unit matrix, but clipped at just j coefficients,
[00:33:20.000 --> 00:33:25.000]   so now b is therefore just the first j coefficients,
[00:33:25.000 --> 00:33:33.000]   then essentially if we do here the energy in the first, the trace,
[00:33:33.000 --> 00:33:38.000]   so the trace is the sum of the first b diagonal elements,
[00:33:38.000 --> 00:33:41.000]   I mean in this case the first b diagonal elements,
[00:33:41.000 --> 00:33:45.000]   that's the same as the original, but multiplied with this matrix here,
[00:33:45.000 --> 00:33:49.000]   which clips the things, which is equal to, you know,
[00:33:49.000 --> 00:33:54.000]   RCC can be replaced by here, the eigenvalue of the composition,
[00:33:54.000 --> 00:33:59.000]   and so that's also the sum simply of these elements here,
[00:33:59.000 --> 00:34:04.000]   where these are the rows of this, so this is just all simple rewriting,
[00:34:04.000 --> 00:34:11.000]   then if we want to minimize something, we use Lagrangian representation,
[00:34:11.000 --> 00:34:16.000]   so minimize something subject to a constraint,
[00:34:16.000 --> 00:34:19.000]   so we say we want to minimize this energy term here,
[00:34:19.000 --> 00:34:23.000]   so the Lagrangian would be this energy term that we want to minimize,
[00:34:23.000 --> 00:34:27.000]   but with some constraints, the ones that have to be satisfied
[00:34:27.000 --> 00:34:33.000]   multiply by some lambda, right, that's the usual Lagrangian way to write things,
[00:34:33.000 --> 00:34:39.000]   so if you now minimize this Lagrangian, you will kind of,
[00:34:39.000 --> 00:34:43.000]   the minimum means that this, the minimum towards lambda
[00:34:43.000 --> 00:34:45.000]   will ensure that the constraint is satisfied,
[00:34:45.000 --> 00:34:48.000]   because it's only there that it's satisfied,
[00:34:48.000 --> 00:34:51.000]   and minimum towards the other variables will be in here,
[00:34:51.000 --> 00:34:58.000]   and so you get, this allows you to compute the minimization of the function
[00:34:58.000 --> 00:35:01.000]   E under the constraints expressed with the lambda here,
[00:35:01.000 --> 00:35:04.000]   with the Lagrangian multiplier, okay?
[00:35:04.000 --> 00:35:09.000]   Again, this can be expressed this way, let's start there,
[00:35:09.000 --> 00:35:12.000]   and then this, the second part is expressed this way,
[00:35:12.000 --> 00:35:16.000]   the unit constraints, and no surprise that these are the lambdas,
[00:35:16.000 --> 00:35:19.000]   these ends up being actually the eigenvalues,
[00:35:19.000 --> 00:35:25.000]   and so if you differentiate L with respect to A_j,
[00:35:25.000 --> 00:35:27.000]   so which are those vectors,
[00:35:27.000 --> 00:35:30.000]   then you essentially obtain these constraints here,
[00:35:30.000 --> 00:35:35.000]   that, you know, A_j* here,
[00:35:35.000 --> 00:35:41.000]   R_ff times A_j* should be equal to lambda_j times A_j*,
[00:35:41.000 --> 00:35:43.000]   which is essentially just, you know,
[00:35:43.000 --> 00:35:46.000]   this is the expression for eigenvectors,
[00:35:46.000 --> 00:35:52.000]   therefore these guys have to be these first J_eagen vectors, okay?
[00:35:52.000 --> 00:35:56.000]   Okay, so you can look at it again,
[00:35:56.000 --> 00:35:58.000]   or you can just look at your first year linear algebra,
[00:35:58.000 --> 00:36:03.000]   this is what we derived there, or what you have derived there also.
[00:36:03.000 --> 00:36:06.000]   Okay, what does that actually mean in practice,
[00:36:06.000 --> 00:36:09.000]   which let's say, let's get some intuition in what that actually means,
[00:36:09.000 --> 00:36:15.000]   it means that if we have, let's say here, we have our image collection,
[00:36:15.000 --> 00:36:18.000]   it consists of, you know, let's not,
[00:36:18.000 --> 00:36:20.000]   it's hard to imagine things in a middle dimensional space,
[00:36:20.000 --> 00:36:23.000]   so let's start in a two dimensional space,
[00:36:23.000 --> 00:36:27.000]   we only have two coefficients, f_1 and f_2,
[00:36:27.000 --> 00:36:32.000]   and so every image in this case, or two pixel image,
[00:36:32.000 --> 00:36:37.000]   is actually just one point in this two dimensional space, okay?
[00:36:37.000 --> 00:36:39.000]   And so our points would be,
[00:36:39.000 --> 00:36:42.000]   our image collection would be essentially a bunch of points
[00:36:42.000 --> 00:36:44.000]   that are distributed this way here,
[00:36:44.000 --> 00:36:46.000]   you know, this is one image in our collection,
[00:36:46.000 --> 00:36:49.000]   this is another one, this is another one, you know, another one, etc.
[00:36:49.000 --> 00:36:53.000]   These are essentially all our points in our image collection,
[00:36:53.000 --> 00:36:58.000]   and what we see here, of course, is that coefficient f_1 and coefficient f_2
[00:36:58.000 --> 00:37:02.000]   are strongly correlated, whenever f_1 is big, f_2 is also big,
[00:37:02.000 --> 00:37:06.000]   whenever f_1 is strongly negative, f_2 is also strongly negative,
[00:37:06.000 --> 00:37:09.000]   so we have a strong correlation between the two coefficients,
[00:37:09.000 --> 00:37:13.000]   they don't actually move independently, they move together, they're correlated, okay?
[00:37:13.000 --> 00:37:17.000]   However, if we choose the right basis transformation,
[00:37:17.000 --> 00:37:20.000]   in this case just a two dimensional rotation,
[00:37:20.000 --> 00:37:24.000]   we get in a different coefficient space, okay?
[00:37:24.000 --> 00:37:29.000]   We have preserved the length, notice, you know, the shape of this is just rotated,
[00:37:29.000 --> 00:37:31.000]   all the vectors still have the same length,
[00:37:31.000 --> 00:37:35.000]   but essentially in this case, we now have c_1,
[00:37:35.000 --> 00:37:38.000]   the coefficient c_1 and the coefficient c_2
[00:37:38.000 --> 00:37:41.000]   now can essentially are uncorrelated.
[00:37:41.000 --> 00:37:46.000]   We have diagonalized this correlation matrix,
[00:37:46.000 --> 00:37:49.000]   c_1 and c_2 aren't correlated,
[00:37:49.000 --> 00:37:52.000]   it means that in this square matrix, the two by two matrix,
[00:37:52.000 --> 00:37:55.000]   we have the two eigenvalues on the diagonal,
[00:37:55.000 --> 00:37:58.000]   and the two that express the correlation between c_1 and c_2,
[00:37:58.000 --> 00:38:04.000]   the two diagonal elements, of diagonal elements, those are both zero, okay?
[00:38:04.000 --> 00:38:07.000]   And so essentially by doing that,
[00:38:07.000 --> 00:38:10.000]   we've also placed the most energy along c_1
[00:38:10.000 --> 00:38:14.000]   and then only very little energy along c_2 in this case, right?
[00:38:14.000 --> 00:38:21.000]   So we've concentrated all the energy in the variation along the c_1 axis, okay?
[00:38:21.000 --> 00:38:24.000]   So obviously this is now potentially a much better representation
[00:38:24.000 --> 00:38:28.000]   to look further into our image collection, okay?
[00:38:28.000 --> 00:38:32.000]   Okay, so again, this was in two dimension,
[00:38:32.000 --> 00:38:34.000]   but imagine this in millions, you know,
[00:38:34.000 --> 00:38:38.000]   million-dimensional space, for example, okay?
[00:38:38.000 --> 00:38:41.000]   What's also important to realize is, okay,
[00:38:41.000 --> 00:38:43.000]   so we have now those coefficients, right?
[00:38:43.000 --> 00:38:47.000]   So we have, for example, here, coefficient c_1 and c_2.
[00:38:47.000 --> 00:38:53.000]   So now if we're given c_1 here, let's say c_1 is this value,
[00:38:53.000 --> 00:38:56.000]   we could go back to this space through this inverse rotation,
[00:38:56.000 --> 00:38:59.000]   so we take this point, we apply the inverse rotation,
[00:38:59.000 --> 00:39:02.000]   and we get a point over here, okay?
[00:39:02.000 --> 00:39:06.000]   So we can actually say that, you know, the 1, 1 here,
[00:39:06.000 --> 00:39:12.000]   so this direction here is expressed by a vector 1, 1, right?
[00:39:12.000 --> 00:39:15.000]   And this is 1, 1, for example, right?
[00:39:15.000 --> 00:39:17.000]   Or it's two equal values.
[00:39:17.000 --> 00:39:25.000]   It's actually, you know, whatever, 0.07071 or something like that, whatever,
[00:39:25.000 --> 00:39:28.000]   square root of 2 divided by 2.
[00:39:28.000 --> 00:39:30.000]   And the same value here, right?
[00:39:30.000 --> 00:39:32.000]   So this is this vector here.
[00:39:32.000 --> 00:39:36.000]   The second vector is actually the orthogonal vector, it's this vector, right?
[00:39:36.000 --> 00:39:38.000]   So you can notice, right?
[00:39:38.000 --> 00:39:43.000]   So going back, I will do c_1 times this here,
[00:39:43.000 --> 00:39:45.000]   and I just obtain kind of a vector.
[00:39:45.000 --> 00:39:50.000]   So that's here, the Hermitian of the A matrix,
[00:39:50.000 --> 00:39:55.000]   times the coefficients, whatever coefficient vector I have, I can reapply that,
[00:39:55.000 --> 00:39:59.000]   and so I take the vector, I multiply this way,
[00:39:59.000 --> 00:40:03.000]   and the coefficients get multiplied, you know, and instantiate the whole image,
[00:40:03.000 --> 00:40:08.000]   like, let's say it's just 1, 0, 0, 0 for my coefficients,
[00:40:08.000 --> 00:40:09.000]   then what do I get?
[00:40:09.000 --> 00:40:14.000]   I will just select the first column of A Hermitian, right?
[00:40:14.000 --> 00:40:16.000]   Which is mostly the transpose of A, okay?
[00:40:16.000 --> 00:40:22.000]   So in other words, I take the first column of this matrix is the first row of the matrix A.
[00:40:22.000 --> 00:40:27.000]   It doesn't matter, it's one of those vectors, one of those eigenvectors,
[00:40:27.000 --> 00:40:32.000]   and so we can essentially interpret this,
[00:40:32.000 --> 00:40:38.000]   each of those columns of this matrix here as something we'll call a basis image,
[00:40:38.000 --> 00:40:44.000]   and if these are eigenvalues, then we'll call this an eigenimage, essentially.
[00:40:44.000 --> 00:40:45.000]   Right?
[00:40:45.000 --> 00:40:48.000]   So if the transform is a Karenel-Leuver transform,
[00:40:48.000 --> 00:40:51.000]   or you know, the way we just explained it, say these eigenvalues,
[00:40:51.000 --> 00:40:55.000]   then we'll call these eigenvectors of this other correlation matrix,
[00:40:55.000 --> 00:41:00.000]   we'll call them eigenimages, because these are long vectors that actually represent images,
[00:41:00.000 --> 00:41:03.000]   they're actually in the space of images,
[00:41:03.000 --> 00:41:06.000]   and therefore we'll call them eigenimages.
[00:41:06.000 --> 00:41:09.000]   If the energy concentration works well,
[00:41:09.000 --> 00:41:15.000]   so in other words, if the first few singular values are very big and then all the rest becomes very small,
[00:41:15.000 --> 00:41:19.000]   so if we really can capture most of what's going on with a few coefficients
[00:41:19.000 --> 00:41:22.000]   and not with a million coefficients,
[00:41:22.000 --> 00:41:28.000]   then we might be able to really represent our image collection with only a few eigenimages,
[00:41:28.000 --> 00:41:33.000]   a small dimensional basis that would capture most of what's going on in our image collection.
[00:41:33.000 --> 00:41:34.000]   Okay?
[00:41:34.000 --> 00:41:40.000]   So let's look at this applied to the recognition problem,
[00:41:40.000 --> 00:41:45.000]   for example, for recognizing faces.
[00:41:45.000 --> 00:41:51.000]   So if we want to recognize a complex pattern like a face,
[00:41:51.000 --> 00:41:56.000]   large portions of the image, say an image, might have to be considered,
[00:41:56.000 --> 00:42:00.000]   so you would have to look at the whole face essentially to recognize it.
[00:42:00.000 --> 00:42:04.000]   This high dimensionality, let's say even you just look at a small template of the image,
[00:42:04.000 --> 00:42:09.000]   it would still be, let's say, at least 30 by 30, that's 900 coefficients,
[00:42:09.000 --> 00:42:14.000]   and so essentially looking for these 900 coefficients that represent one face,
[00:42:14.000 --> 00:42:19.000]   and then I have a whole database, for example, of all of your faces in a database,
[00:42:19.000 --> 00:42:21.000]   and I have a few hundreds of those,
[00:42:21.000 --> 00:42:25.000]   and then I have this 900 vector that would have to multiply to correlate
[00:42:25.000 --> 00:42:31.000]   with essentially each of the existing faces in my database and do that operation,
[00:42:31.000 --> 00:42:33.000]   and so that's relatively expensive.
[00:42:33.000 --> 00:42:36.000]   If I can transform that to a space that's much more compact,
[00:42:36.000 --> 00:42:40.000]   where I can capture most of the energy in only a few coefficients,
[00:42:40.000 --> 00:42:42.000]   and I can work in that coefficient space,
[00:42:42.000 --> 00:42:48.000]   then I know that I'll be able to do very similar operation, but a lot cheaper.
[00:42:48.000 --> 00:42:53.000]   We'll get to that in more detail in a second.
[00:42:53.000 --> 00:42:55.000]   So the nearest neighbor operation could be a lot cheaper
[00:42:55.000 --> 00:42:59.000]   if we can actually work in this much smaller dimensional space.
[00:42:59.000 --> 00:43:04.000]   So if we can go from faces, for example, here in face images,
[00:43:04.000 --> 00:43:08.000]   by choosing the right transformation, we can go to a lower dimensional space,
[00:43:08.000 --> 00:43:12.000]   but where we preserve most of the energy,
[00:43:12.000 --> 00:43:15.000]   meaning we preserve more or less exactly the length of the vector,
[00:43:15.000 --> 00:43:18.000]   so we preserve most of what's actually there,
[00:43:18.000 --> 00:43:22.000]   then we might actually be able to do it much more efficiently.
[00:43:22.000 --> 00:43:27.000]   So the idea is to tailor a Kahun and Lever transform to a specific set of images
[00:43:27.000 --> 00:43:31.000]   of the recognition task to preserve the salient features.
[00:43:31.000 --> 00:43:34.000]   So let's look at it like this.
[00:43:34.000 --> 00:43:40.000]   So a very simple recognition system would be simply doing the Euclidean distance,
[00:43:40.000 --> 00:43:45.000]   which is the sum of squared differences between pixels in the images.
[00:43:45.000 --> 00:43:48.000]   So that means that I have two images.
[00:43:48.000 --> 00:43:52.000]   I have my query image, and then I have an image from the database.
[00:43:52.000 --> 00:43:54.000]   I compare them pixel by pixel.
[00:43:54.000 --> 00:43:57.000]   I look at what is the difference between those two pixels,
[00:43:57.000 --> 00:44:01.000]   difference between those two pixels, difference between those two, those two, and those two.
[00:44:01.000 --> 00:44:05.000]   And then, you know, so I do the difference between all the pixels,
[00:44:05.000 --> 00:44:09.000]   and I compute the length of that vector.
[00:44:09.000 --> 00:44:12.000]   That's actually the sum of squared differences,
[00:44:12.000 --> 00:44:15.000]   and then, you know, the square root of it.
[00:44:15.000 --> 00:44:18.000]   But essentially, it's that number that I would compute.
[00:44:18.000 --> 00:44:22.000]   So I subtract, for each pixel I subtract, I look at the difference,
[00:44:22.000 --> 00:44:25.000]   and I square that, and then I add it all up,
[00:44:25.000 --> 00:44:28.000]   and then, you know, potentially I can take the square root of the whole sum,
[00:44:28.000 --> 00:44:30.000]   but that's less important.
[00:44:30.000 --> 00:44:33.000]   But essentially, I minimize that thing, so I will pick the image.
[00:44:33.000 --> 00:44:35.000]   I've all the images in my database.
[00:44:35.000 --> 00:44:37.000]   I will pick them, I compare them, each of them.
[00:44:37.000 --> 00:44:39.000]   I will compare, I will compute this number,
[00:44:39.000 --> 00:44:44.000]   and then I will pick the one that has the smallest distance between, you know,
[00:44:44.000 --> 00:44:47.000]   database image and my query image.
[00:44:47.000 --> 00:44:51.000]   But as I said, this can be computation-expensive if you have a high-resolution image,
[00:44:51.000 --> 00:44:57.000]   or if you have even a low-resolution image, this can be expensive.
[00:44:57.000 --> 00:45:00.000]   Okay, so we'll continue with this after the break.
[00:45:00.000 --> 00:45:04.000]   Okay, so let's continue.
[00:45:06.000 --> 00:45:09.000]   So essentially, we're doing this simple recognition system.
[00:45:09.000 --> 00:45:16.000]   We have, we essentially are going to, in a whole,
[00:45:16.000 --> 00:45:22.000]   let me get the cursor, in a whole, we have a whole collection of images here.
[00:45:22.000 --> 00:45:26.000]   We want to find which of the images in our collection is closest to the query image.
[00:45:26.000 --> 00:45:29.000]   We do the difference between the two on a per-pixel basis,
[00:45:29.000 --> 00:45:33.000]   and then essentially do the square of those differences,
[00:45:33.000 --> 00:45:35.000]   and then if we want, we can do the square root,
[00:45:35.000 --> 00:45:37.000]   but as we minimize, if we do the square root,
[00:45:37.000 --> 00:45:39.000]   or we don't do the square root, it doesn't matter.
[00:45:39.000 --> 00:45:42.000]   We essentially have here a positive number,
[00:45:42.000 --> 00:45:44.000]   and we take the smallest one of them.
[00:45:44.000 --> 00:45:49.000]   And so we pick the coefficient, we pick the image that has the smallest difference
[00:45:49.000 --> 00:45:51.000]   with the query image.
[00:45:51.000 --> 00:45:53.000]   Okay, so this can be expensive.
[00:45:53.000 --> 00:45:56.000]   So we'll apply what we just did before.
[00:45:56.000 --> 00:46:01.000]   In this case, I chose the singular value representation of this.
[00:46:01.000 --> 00:46:08.000]   Also what we described as the KLT, the Kahöne-Leuvert transform.
[00:46:08.000 --> 00:46:14.000]   In other places, this is known as PCA, principal component analysis.
[00:46:14.000 --> 00:46:18.000]   Or again, you know, you can also just simply describe it as SVD.
[00:46:18.000 --> 00:46:22.000]   So just for you to know that all those concepts are actually all the same.
[00:46:22.000 --> 00:46:25.000]   They're just depending on what field they have been derived in.
[00:46:25.000 --> 00:46:27.000]   They come with different names,
[00:46:27.000 --> 00:46:32.000]   but they're all really the same basis concept of being able to do an eigenvalue
[00:46:32.000 --> 00:46:39.000]   or a singular value decomposition and diagonalize this correlation matrix, essentially.
[00:46:39.000 --> 00:46:43.000]   Okay, or to approximate a matrix by, you know,
[00:46:43.000 --> 00:46:48.000]   doing a singular value decomposition and keeping the k-first coefficients.
[00:46:48.000 --> 00:46:53.000]   Okay, so essentially what we want to approximate is this image,
[00:46:53.000 --> 00:46:57.000]   a particular query image, no, sorry, a database image.
[00:46:57.000 --> 00:47:09.000]   We want to approximate it with a set of, an eigenbasis times, you know,
[00:47:09.000 --> 00:47:11.000]   some smaller set of coefficients, right?
[00:47:11.000 --> 00:47:14.000]   What was C in the slides before is a P here.
[00:47:14.000 --> 00:47:20.000]   So we hope to be able to, you know, have a matrix that's kind of,
[00:47:20.000 --> 00:47:23.000]   so this is the length of the original images.
[00:47:23.000 --> 00:47:28.000]   So these are quite tall matrix, but we hope it do not have to be too wide.
[00:47:28.000 --> 00:47:35.000]   And while having this almost equality, you know, be well satisfied, right?
[00:47:35.000 --> 00:47:39.000]   So to only introduce a small error.
[00:47:39.000 --> 00:47:40.000]   So how do we do that?
[00:47:40.000 --> 00:47:45.000]   We start from the, this is the matrix that contains our image collection.
[00:47:45.000 --> 00:47:48.000]   So it's all the vectors of the images next to each other.
[00:47:48.000 --> 00:47:51.000]   We do a singular value decomposition of this.
[00:47:51.000 --> 00:47:56.000]   And what we hope to get is essentially a small matrix here, you know,
[00:47:56.000 --> 00:48:01.000]   height of the image times the number of images that, the number of,
[00:48:01.000 --> 00:48:07.000]   sorry, the number of coefficients we have to keep here.
[00:48:07.000 --> 00:48:09.000]   Times, you know, for each of the original images,
[00:48:09.000 --> 00:48:12.000]   essentially the coefficients that we preserve.
[00:48:12.000 --> 00:48:16.000]   We pick this, we put the sigmas on this side.
[00:48:16.000 --> 00:48:20.000]   So in other words, these are just unit vectors, each of those.
[00:48:20.000 --> 00:48:22.000]   So those are all normalized vectors.
[00:48:22.000 --> 00:48:28.000]   They're the first case singular vectors, left singular vectors of this matrix.
[00:48:28.000 --> 00:48:29.000]   Okay.
[00:48:29.000 --> 00:48:34.000]   So, and we know that, and we really arrived at with the Lagrangian,
[00:48:34.000 --> 00:48:39.000]   but you also know this simply for your first year linear algebra.
[00:48:39.000 --> 00:48:44.000]   You know that essentially this is a good approximation, you know, depending,
[00:48:44.000 --> 00:48:47.000]   this can be a good approximation or it's the best possible approximation.
[00:48:47.000 --> 00:48:52.000]   And if you're a little bit lucky or depending on your images actually showing a lot of correlation
[00:48:52.000 --> 00:48:57.000]   between pixels and so on and having, looking a lot the same and so on,
[00:48:57.000 --> 00:49:01.000]   being quite predictable in terms of what's going on,
[00:49:01.000 --> 00:49:06.000]   then you can have a good approximation with only a limited set of singular values.
