
[00:00:00.000 --> 00:00:02.080]   (audience murmuring)
[00:20:11.980 --> 00:20:15.220]   which brings us to Gaussian kernels.
[00:20:15.220 --> 00:20:18.980]   Okay, I mean I assume you mostly have seen Gaussian kernels.
[00:20:18.980 --> 00:20:21.460]   I think you're third semester, right?
[00:20:21.460 --> 00:20:25.940]   So you have started to see already these things.
[00:20:25.940 --> 00:20:29.220]   So basically a Gaussian kernel is mostly known.
[00:20:29.220 --> 00:20:31.460]   It's actually used mostly for your scores.
[00:20:31.460 --> 00:20:34.340]   That's why maybe a lot of people know it.
[00:20:34.340 --> 00:20:36.500]   Basically a Gaussian kernel,
[00:20:36.500 --> 00:20:39.860]   this is a representation of a 2D Gaussian kernel in 3D.
[00:20:39.860 --> 00:20:41.260]   As you can see here,
[00:20:41.260 --> 00:20:44.380]   basically you're having the representation.
[00:20:44.380 --> 00:20:46.380]   So what does this mean?
[00:20:46.380 --> 00:20:48.460]   Basically this is the mathematical equation.
[00:20:48.460 --> 00:20:50.340]   So we're basically giving more importance
[00:20:50.340 --> 00:20:53.100]   to the center kernel and the neighborhood
[00:20:53.100 --> 00:20:56.500]   while we are not giving importance to the other ones.
[00:20:56.500 --> 00:20:59.140]   So basically one of the interesting things about this
[00:20:59.140 --> 00:21:00.900]   is that the constant factor at front
[00:21:00.900 --> 00:21:03.580]   makes volume summation of one.
[00:21:03.580 --> 00:21:05.540]   Okay.
[00:21:05.540 --> 00:21:09.180]   So basically this is how a Gaussian kernel
[00:21:09.180 --> 00:21:10.900]   actually looks like.
[00:21:10.900 --> 00:21:14.220]   So as you can see what we're doing literally smoothing.
[00:21:14.220 --> 00:21:16.020]   So we are having this original image,
[00:21:16.020 --> 00:21:18.180]   which is already quite blurry.
[00:21:18.180 --> 00:21:20.980]   Not sure if it is because of this resize of it
[00:21:20.980 --> 00:21:22.860]   or what it is exactly.
[00:21:22.860 --> 00:21:25.500]   But yeah, basically is the blurry outcome
[00:21:25.500 --> 00:21:28.500]   that you can see not a great outcome.
[00:21:28.500 --> 00:21:30.860]   Okay.
[00:21:30.860 --> 00:21:34.460]   And basically to kind of show you a difference
[00:21:34.460 --> 00:21:36.620]   because in this case like a Gaussian,
[00:21:36.620 --> 00:21:39.860]   it has the Gaussian form, so it's kind of circular.
[00:21:39.860 --> 00:21:41.660]   That's why you're having that image.
[00:21:41.660 --> 00:21:44.340]   We can also have box filters.
[00:21:44.340 --> 00:21:45.860]   So basically box filters,
[00:21:45.860 --> 00:21:49.300]   if some of you have worked with neural networks,
[00:21:49.300 --> 00:21:51.940]   you can actually often see in convolutions
[00:21:51.940 --> 00:21:54.820]   when you can sadly not see it.
[00:21:54.820 --> 00:21:59.300]   Technically you would be able to see in this image
[00:21:59.300 --> 00:22:02.220]   that there is actually like a grid appearing.
[00:22:02.220 --> 00:22:05.340]   And basically this grid is often happening
[00:22:05.340 --> 00:22:08.020]   from the convolutions that we're doing in deep learning.
[00:22:08.020 --> 00:22:10.540]   So it basically often means that the network is not trained
[00:22:10.540 --> 00:22:12.620]   but it's not related in this case.
[00:22:12.620 --> 00:22:15.060]   But basically you're doing box kernels
[00:22:15.060 --> 00:22:18.500]   which is kind of, it's giving a pattern on the image.
[00:22:18.500 --> 00:22:20.380]   So basically this is kind of that you know
[00:22:20.380 --> 00:22:21.660]   you have two different types.
[00:22:21.660 --> 00:22:25.580]   You have the gaussians and you have the box filters
[00:22:25.580 --> 00:22:27.100]   which are basically giving importance
[00:22:27.100 --> 00:22:29.220]   to the entire filter.
[00:22:29.220 --> 00:22:30.060]   Okay.
[00:22:30.060 --> 00:22:33.820]   So basically the Gaussian smoothing kernel,
[00:22:33.820 --> 00:22:37.020]   basically this is the mathematical equation.
[00:22:37.020 --> 00:22:39.740]   It's basically depending on the standard deviation.
[00:22:39.740 --> 00:22:42.940]   And as you can see again,
[00:22:42.940 --> 00:22:47.020]   maybe if you remember from some slides five minutes ago,
[00:22:47.020 --> 00:22:49.660]   this is actually separable.
[00:22:49.660 --> 00:22:51.660]   So that's why we like Gaussian kernels
[00:22:51.660 --> 00:22:54.700]   because basically we can work with them
[00:22:54.700 --> 00:22:56.020]   and we can do them quicker
[00:22:56.020 --> 00:22:58.420]   and basically they are much more cost efficient
[00:22:58.420 --> 00:22:59.540]   and memory efficient.
[00:22:59.540 --> 00:23:01.300]   Okay.
[00:23:01.300 --> 00:23:04.300]   So to show you basically because I'm showing you a lot of like
[00:23:04.300 --> 00:23:07.540]   how this is kind of applied on a mathematical term.
[00:23:07.540 --> 00:23:10.540]   But let's see.
[00:23:10.540 --> 00:23:15.100]   So basically here you can actually see the Gaussian smoothing kernel,
[00:23:15.100 --> 00:23:18.540]   how it looks when we apply this actually.
[00:23:18.540 --> 00:23:21.020]   So basically this depends on the standard deviation
[00:23:21.020 --> 00:23:23.020]   of the window size.
[00:23:23.020 --> 00:23:25.980]   So basically to keep in mind one of the,
[00:23:25.980 --> 00:23:29.180]   basically one of the conclusions you need to kind of keep out of this
[00:23:29.180 --> 00:23:31.900]   is basically that the result reminds roughly the same
[00:23:31.900 --> 00:23:35.620]   for filter sizes greater than three standard deviation.
[00:23:35.620 --> 00:23:37.500]   So basically that's kind of the important one.
[00:23:37.500 --> 00:23:39.940]   So basically this is the original image.
[00:23:39.940 --> 00:23:41.580]   We have a kernel seven by seven
[00:23:41.580 --> 00:23:43.580]   with a standard deviation of one.
[00:23:43.580 --> 00:23:48.460]   Applying this on a standard deviation of nine,
[00:23:48.460 --> 00:23:50.900]   you can already see we're blurring the image.
[00:23:50.900 --> 00:23:54.180]   And since in this one we were already having a black border,
[00:23:54.180 --> 00:23:57.700]   you can see, not great, but you can see
[00:23:57.700 --> 00:24:00.260]   the border is already getting thicker.
[00:24:00.260 --> 00:24:03.940]   This is basically depending on the application of the kernel.
[00:24:03.940 --> 00:24:08.540]   Doing the same thing with the kernel size of 19 by 19
[00:24:08.540 --> 00:24:09.580]   with a standard deviation,
[00:24:09.580 --> 00:24:14.140]   you can see that the border from here to actually here,
[00:24:14.140 --> 00:24:15.580]   duplicated already.
[00:24:15.580 --> 00:24:19.660]   While if we apply standard deviation of nine,
[00:24:19.660 --> 00:24:22.020]   you can see that actually,
[00:24:22.020 --> 00:24:24.900]   first of all the image is much blurrier
[00:24:24.900 --> 00:24:28.540]   than before with the bigger kernel size.
[00:24:28.540 --> 00:24:31.740]   And second, we're having a much thicker black border.
[00:24:31.740 --> 00:24:34.780]   Also keep in mind that here the images are cut out.
[00:24:34.780 --> 00:24:37.500]   So there's some part missing.
[00:24:37.500 --> 00:24:39.700]   So just keep that in mind.
[00:24:39.700 --> 00:24:41.220]   This is kind of to give you an idea
[00:24:41.220 --> 00:24:44.100]   of what basically you are looking into.
[00:24:44.100 --> 00:24:55.180]   I'm going quite quick.
[00:24:55.180 --> 00:24:59.900]   So basically, do you have any questions so far?
[00:24:59.900 --> 00:25:01.020]   Is there anything?
[00:25:01.020 --> 00:25:06.860]   Okay.
[00:25:07.700 --> 00:25:11.580]   Um, that's good.
[00:25:11.580 --> 00:25:14.860]   I mean, you will probably be able then to leave earlier.
[00:25:14.860 --> 00:25:20.060]   Okay.
[00:25:20.060 --> 00:25:22.700]   Or do you want to do the break now?
[00:25:22.700 --> 00:25:23.540]   Any comments?
[00:25:23.540 --> 00:25:26.220]   What, yeah?
[00:25:26.220 --> 00:25:32.300]   Okay, then go for the break.
[00:25:34.220 --> 00:25:35.300]   Okay.
[00:25:35.300 --> 00:25:38.220]   Some of you basically came to ask me some questions.
[00:25:38.220 --> 00:25:40.780]   Would I'm kind of assume that basically,
[00:25:40.780 --> 00:25:42.460]   if some of you asked,
[00:25:42.460 --> 00:25:45.060]   then basically all the others have no clue about it.
[00:25:45.060 --> 00:25:48.660]   Which is a strong assumption, I know.
[00:25:48.660 --> 00:25:50.700]   But it's just, I want to really clarify
[00:25:50.700 --> 00:25:53.420]   because in the end you are starting the semester right now
[00:25:53.420 --> 00:25:55.860]   and especially convolutions and correlations
[00:25:55.860 --> 00:25:57.500]   are actually really important.
[00:25:57.500 --> 00:26:00.340]   And they are really something that kind of like,
[00:26:00.340 --> 00:26:03.500]   you should have kind of clear and understood.
[00:26:04.500 --> 00:26:07.700]   So, I mean, I think correlations,
[00:26:07.700 --> 00:26:10.540]   you kind of all understood them correctly.
[00:26:10.540 --> 00:26:13.980]   There was, I think, no question in that.
[00:26:13.980 --> 00:26:16.580]   You basically understood that we're having
[00:26:16.580 --> 00:26:20.340]   a fixed correlation mass that is applied on the image.
[00:26:20.340 --> 00:26:22.300]   So basically it's moving,
[00:26:22.300 --> 00:26:24.380]   but basically it's always this three by three
[00:26:24.380 --> 00:26:26.260]   by three by three on an image.
[00:26:26.260 --> 00:26:27.980]   And we're basically doing the summation
[00:26:27.980 --> 00:26:29.500]   of all the operations.
[00:26:29.500 --> 00:26:32.580]   Is that clear?
[00:26:33.580 --> 00:26:37.220]   (student speaking faintly)
[00:26:37.220 --> 00:26:38.060]   Okay.
[00:26:38.060 --> 00:26:44.540]   Basically now comes the part where basically
[00:26:44.540 --> 00:26:46.580]   it's a bit more abstract to understand
[00:26:46.580 --> 00:26:49.460]   with the convolution.
[00:26:49.460 --> 00:26:53.100]   So in this case, I can just tell you
[00:26:53.100 --> 00:26:55.660]   how it was for me the easiest to understand this,
[00:26:55.660 --> 00:26:59.860]   but basically it's a bit of an abstract term to understand.
[00:27:00.660 --> 00:27:04.060]   So first of all, as you can see,
[00:27:04.060 --> 00:27:07.140]   it is already starting different.
[00:27:07.140 --> 00:27:07.980]   Why?
[00:27:07.980 --> 00:27:11.100]   Because basically what we're doing is we're having our point
[00:27:11.100 --> 00:27:13.020]   and what the kernel is doing,
[00:27:13.020 --> 00:27:17.140]   it's actually moving over the neighborhood of that point.
[00:27:17.140 --> 00:27:21.620]   So that's why the first kernel point is not the one
[00:27:21.620 --> 00:27:24.660]   as we had in the correlation, which was the upper one.
[00:27:24.660 --> 00:27:27.260]   It's the other diagonal.
[00:27:27.260 --> 00:27:32.260]   That's why K11 is the first one.
[00:27:32.260 --> 00:27:36.380]   And basically in the next image,
[00:27:36.380 --> 00:27:40.620]   you can see that the kernel, what it is doing,
[00:27:40.620 --> 00:27:43.960]   it's basically moving over the neighborhood of the blue pixel.
[00:27:43.960 --> 00:27:50.220]   In every of the operations,
[00:27:50.220 --> 00:27:55.380]   you can see that what we are doing is moving
[00:27:55.380 --> 00:27:56.860]   of the neighboring pixel.
[00:27:56.860 --> 00:27:59.780]   So we're basically pivoting over the neighborhood.
[00:27:59.780 --> 00:28:01.220]   And this is what comes out.
[00:28:01.220 --> 00:28:04.740]   That's also why basic, sorry, I was told
[00:28:04.740 --> 00:28:06.220]   I should not use basically.
[00:28:06.220 --> 00:28:10.460]   It's just a filling word.
[00:28:10.460 --> 00:28:15.140]   But what, the main difference is as you can see
[00:28:15.140 --> 00:28:17.540]   on a mathematical point of view is the difference of sign.
[00:28:17.540 --> 00:28:18.380]   Yes?
[00:28:18.380 --> 00:28:19.700]   - I have a question.
[00:28:19.700 --> 00:28:23.700]   In the image, it seems like every time you use K00
[00:28:23.700 --> 00:28:25.820]   for each neighboring pixel,
[00:28:25.820 --> 00:28:30.020]   that's your K because you have the center of the kernel
[00:28:30.020 --> 00:28:32.100]   and then you always took the center
[00:28:32.100 --> 00:28:34.620]   for each one of the neighboring.
[00:28:34.620 --> 00:28:35.460]   - Wait, what?
[00:28:35.460 --> 00:28:37.300]   - In the image control.
[00:28:37.300 --> 00:28:38.140]   - Yes.
[00:28:38.140 --> 00:28:41.140]   - It seems like you're always using the center
[00:28:41.140 --> 00:28:46.140]   of the kernel because you are currently in the kernel
[00:28:46.140 --> 00:28:50.580]   and always to take the center.
[00:28:50.580 --> 00:28:53.300]   So every time you take K00
[00:28:53.300 --> 00:28:55.500]   (audience member laughs)
[00:28:55.500 --> 00:28:58.060]   No, I'm not taking that.
[00:28:58.060 --> 00:29:01.100]   As you can see in the Mathematic Formula,
[00:29:01.100 --> 00:29:03.300]   it's a bit difficult to draw.
[00:29:03.300 --> 00:29:11.460]   It's the pixel of the kernel that is over that point.
[00:29:11.460 --> 00:29:13.300]   So the one that is in blue,
[00:29:13.300 --> 00:29:16.220]   but the center of the kernel is the one
[00:29:16.220 --> 00:29:18.580]   that is basically shown to you.
[00:29:18.580 --> 00:29:22.500]   So you're having the arrow that is pointing to it,
[00:29:22.500 --> 00:29:25.820]   but it's because the convolution is
[00:29:25.820 --> 00:29:28.540]   the entire kernel position one, one
[00:29:28.540 --> 00:29:31.020]   on the image in position X minus one,
[00:29:31.020 --> 00:29:34.260]   I minus Y minus one.
[00:29:34.260 --> 00:29:39.260]   So even if the image is made confusing
[00:29:39.260 --> 00:29:41.340]   you see that we're actually not using
[00:29:41.340 --> 00:29:43.780]   always kernel size in the center.
[00:29:43.780 --> 00:29:46.100]   We are not using kernel 00.
[00:29:46.100 --> 00:29:47.300]   We're actually moving.
[00:29:49.780 --> 00:29:53.660]   The image is, I apologize for the image
[00:29:53.660 --> 00:29:55.180]   but I didn't make the slides.
[00:29:55.180 --> 00:30:00.580]   I also don't know how to better draw it
[00:30:00.580 --> 00:30:03.300]   because if I put you just a point
[00:30:03.300 --> 00:30:05.700]   and I make it move over them
[00:30:05.700 --> 00:30:08.380]   you then would be probably more confused.
[00:30:08.380 --> 00:30:14.320]   But is the difference like on a mathematical point of view,
[00:30:14.320 --> 00:30:17.320]   you have the two compared?
[00:30:18.460 --> 00:30:22.420]   Like is that clear now?
[00:30:22.420 --> 00:30:25.380]   Yes.
[00:30:25.380 --> 00:30:27.020]   - [Man] Notice the bottom,
[00:30:27.020 --> 00:30:29.340]   do you always represent a correlation
[00:30:29.340 --> 00:30:30.540]   whatever that effect on the image
[00:30:30.540 --> 00:30:33.260]   could you achieve the same effect with the convolution
[00:30:33.260 --> 00:30:36.220]   because there always a corresponding correlation
[00:30:36.220 --> 00:30:37.380]   for every convolution?
[00:30:37.380 --> 00:30:38.720]   - Yeah.
[00:30:38.720 --> 00:30:40.260]   - [Man] It's just a different way of achieving the same.
[00:30:40.260 --> 00:30:42.500]   I guess why would you use one or the other?
[00:30:42.500 --> 00:30:44.180]   - Because one is the opposite of the other.
[00:30:44.180 --> 00:30:49.180]   It's basically, you have the kernel of ij
[00:30:49.180 --> 00:30:54.820]   which is the correlation and the convolution is the opposite
[00:30:54.820 --> 00:30:57.980]   which brings me to the next point
[00:30:57.980 --> 00:30:59.740]   which there were some questioning
[00:30:59.740 --> 00:31:01.220]   which was with this image.
[00:31:01.220 --> 00:31:06.020]   It says use convolution
[00:31:06.020 --> 00:31:10.420]   but if you actually use the correlation it's the inverse
[00:31:10.420 --> 00:31:12.700]   and when you're using a correlation
[00:31:12.700 --> 00:31:14.980]   basically what you're doing is on the right side
[00:31:14.980 --> 00:31:16.620]   you're taking the white pixels
[00:31:16.620 --> 00:31:17.820]   so you're shifting everything
[00:31:17.820 --> 00:31:20.300]   that's why it shifted to the left.
[00:31:20.300 --> 00:31:26.180]   So this convolution turned is a correlation
[00:31:26.180 --> 00:31:28.180]   with the one on the other side.
[00:31:28.180 --> 00:31:31.960]   I'm trying to just come up with other ways
[00:31:31.960 --> 00:31:33.220]   of explaining you things
[00:31:33.220 --> 00:31:36.020]   and basically you can then make your own mental path
[00:31:36.020 --> 00:31:37.940]   on how this makes sense or not
[00:31:37.940 --> 00:31:39.820]   and now is your chance to ask
[00:31:39.820 --> 00:31:41.620]   if you have some questions.
[00:31:41.620 --> 00:31:42.460]   - Yes.
[00:31:42.460 --> 00:31:44.420]   - Before going over this again,
[00:31:44.420 --> 00:31:49.500]   I expected the shift to be in the other direction.
[00:31:49.500 --> 00:31:53.500]   Would it be possible to explain it yet again
[00:31:53.500 --> 00:31:54.940]   maybe as an equation?
[00:31:54.940 --> 00:32:02.540]   - As an equation, not really.
[00:32:02.540 --> 00:32:08.180]   I can't really like help you on that.
[00:32:08.180 --> 00:32:11.500]   I just really like can explain to you on a theoretical level
[00:32:11.500 --> 00:32:12.340]   but yet.
[00:32:12.340 --> 00:32:15.820]   - Maybe am I allowed to ask
[00:32:15.820 --> 00:32:20.820]   if someone understands why the direction is to the left?
[00:32:20.820 --> 00:32:22.060]   Why is it the left?
[00:32:22.060 --> 00:32:27.340]   - So I had the exact same confusion.
[00:32:27.340 --> 00:32:31.100]   I think your current thing is that we apply the one
[00:32:31.100 --> 00:32:34.500]   to the pixels to the left of the center, right?
[00:32:34.500 --> 00:32:39.500]   So the new pixel is just a pixel
[00:32:39.500 --> 00:32:41.460]   that is originally to the left.
[00:32:41.460 --> 00:32:43.380]   Is that what you're currently thinking?
[00:32:43.380 --> 00:32:45.420]   That's why it shifts to the right.
[00:32:45.420 --> 00:32:47.460]   If you look at the convolution,
[00:32:47.460 --> 00:32:52.460]   you see that you actually apply the left factor
[00:32:52.460 --> 00:32:55.220]   of the filter to the pixel
[00:32:55.220 --> 00:32:58.020]   that is to the right of the center.
[00:32:58.020 --> 00:33:01.900]   It's kind of reflected along the middle point
[00:33:01.900 --> 00:33:03.580]   along the center.
[00:33:03.580 --> 00:33:05.780]   We look at the slides afterwards
[00:33:05.780 --> 00:33:07.580]   with the equation of the convolution.
[00:33:09.220 --> 00:33:12.900]   So if this was a kind of a mask for a correlation,
[00:33:12.900 --> 00:33:15.540]   you would have exactly what you think.
[00:33:15.540 --> 00:33:16.940]   So it would shift to the right.
[00:33:16.940 --> 00:33:19.140]   - But if I take the right pixel,
[00:33:19.140 --> 00:33:20.660]   the original image,
[00:33:20.660 --> 00:33:24.740]   then I get the shift to the right.
[00:33:24.740 --> 00:33:28.140]   - You know, so you have this pixel
[00:33:28.140 --> 00:33:30.140]   and then you pixel in this position
[00:33:30.140 --> 00:33:33.260]   is just the position to the pixel to the right.
[00:33:33.260 --> 00:33:36.100]   So you just kind of do everything to the left.
[00:33:37.100 --> 00:33:38.100]   - I don't know.
[00:33:38.100 --> 00:33:41.100]   Can I have any order of word here, explain it?
[00:33:41.100 --> 00:33:43.100]   - Yes.
[00:33:43.100 --> 00:33:45.100]   - I stated it before,
[00:33:45.100 --> 00:33:47.100]   also that you shift it to the right,
[00:33:47.100 --> 00:33:50.100]   but the convolution, I think this filter,
[00:33:50.100 --> 00:33:53.100]   I misunderstood in the way that I thought
[00:33:53.100 --> 00:33:56.100]   for each pixel we would take the left,
[00:33:56.100 --> 00:33:57.100]   the one to its left,
[00:33:57.100 --> 00:34:02.100]   because the left, the center left cell in the filter is one,
[00:34:02.100 --> 00:34:05.100]   but it's actually the other pixel
[00:34:05.100 --> 00:34:08.100]   but it's actually the other way around for each pixel.
[00:34:08.100 --> 00:34:13.100]   We apply the filter and spread its value according to this.
[00:34:13.100 --> 00:34:16.100]   So for each, in this case for each pixel,
[00:34:16.100 --> 00:34:21.100]   the thing in this position is shifted one to the left
[00:34:21.100 --> 00:34:24.100]   because that's the only cell in the filter that's the one.
[00:34:24.100 --> 00:34:27.100]   If I understood this correctly.
[00:34:27.100 --> 00:34:31.100]   - Does that make sense? - Thank you.
[00:34:31.100 --> 00:34:33.100]   - Yes.
[00:34:33.100 --> 00:34:35.100]   - Does correlation and convolution the same
[00:34:35.100 --> 00:34:37.100]   just mirror across the diagonal?
[00:34:37.100 --> 00:34:39.100]   - I mean, you can.
[00:34:39.100 --> 00:34:41.100]   - Not across the diagonal, not across the center.
[00:34:41.100 --> 00:34:42.100]   - Yeah.
[00:34:42.100 --> 00:34:46.100]   - Yeah.
[00:34:46.100 --> 00:34:48.100]   - Just to see if I have it right,
[00:34:48.100 --> 00:34:53.100]   if the pixel, like the only entry in the filter
[00:34:53.100 --> 00:34:56.100]   that was one with the top left corner,
[00:34:56.100 --> 00:35:00.100]   would every pixel be shifted off into the left?
[00:35:00.100 --> 00:35:01.100]   - Yeah.
[00:35:01.100 --> 00:35:07.100]   - Yes.
[00:35:07.100 --> 00:35:11.100]   I think so.
[00:35:11.100 --> 00:35:17.100]   Yeah?
[00:35:17.100 --> 00:35:20.100]   - I think what it does is it tells you
[00:35:20.100 --> 00:35:23.100]   when you have to filter on a pixel,
[00:35:23.100 --> 00:35:26.100]   and the pixel is what is in the middle of the filter,
[00:35:26.100 --> 00:35:28.100]   it tells you how much it goes to the left.
[00:35:28.100 --> 00:35:31.100]   So the one on the left side, the middle pixel,
[00:35:31.100 --> 00:35:33.100]   will get once the middle pixel,
[00:35:33.100 --> 00:35:37.100]   and all the other ones will get zero from this middle pixel.
[00:35:37.100 --> 00:35:39.100]   And then you move to filter.
[00:35:39.100 --> 00:35:45.100]   So every pixel will get some add-on from different pixels.
[00:35:45.100 --> 00:35:48.100]   But the best is to see the picture where you see the splinter,
[00:35:48.100 --> 00:35:50.100]   then it spreads it out.
[00:35:50.100 --> 00:35:54.100]   - The point where it spreads it out?
[00:35:54.100 --> 00:35:57.100]   - Yes. - Yeah.
[00:35:58.100 --> 00:36:02.100]   Imagine the pixel on the edge of the black point,
[00:36:02.100 --> 00:36:04.100]   and now you put the filter on it.
[00:36:04.100 --> 00:36:07.100]   That means part of the filter is on the point,
[00:36:07.100 --> 00:36:10.100]   and part of the filter is out of the point.
[00:36:10.100 --> 00:36:13.100]   And now the center pixel of your filter
[00:36:13.100 --> 00:36:19.100]   will be spread out around with the numbers in this integrated.
[00:36:19.100 --> 00:36:24.100]   And then you move to filter.
[00:36:25.100 --> 00:36:30.100]   So every pixel also gets added up from different central pixels.
[00:36:30.100 --> 00:36:39.100]   - More comments?
[00:36:39.100 --> 00:36:41.100]   Yeah.
[00:36:41.100 --> 00:36:45.100]   - I'm not confused why you would use the convolution over a correlation.
[00:36:45.100 --> 00:36:48.100]   It feels like a more convoluted representation.
[00:36:50.100 --> 00:36:54.100]   So I can tell you what you will use mostly if you decide,
[00:36:54.100 --> 00:36:58.100]   as an example, to move into research where we're using deep learning,
[00:36:58.100 --> 00:37:03.100]   which is the confusing part often when you have not teach,
[00:37:03.100 --> 00:37:04.100]   which is in my case.
[00:37:04.100 --> 00:37:10.100]   So basically a correlation is in deep learning actually convolution.
[00:37:10.100 --> 00:37:14.100]   Yes, it is totally contradictory.
[00:37:14.100 --> 00:37:18.100]   But literally what we are using in a convolution with pie torch,
[00:37:18.100 --> 00:37:22.100]   and the flow and everything is literally this.
[00:37:22.100 --> 00:37:26.100]   So the other thing, nobody is really using it of us.
[00:37:26.100 --> 00:37:31.100]   But you need to learn the basic knowledge of these things
[00:37:31.100 --> 00:37:34.100]   because right now you're really focusing on image filters,
[00:37:34.100 --> 00:37:36.100]   so you're really focusing on blurring,
[00:37:36.100 --> 00:37:39.100]   you're really focusing on sharpening,
[00:37:39.100 --> 00:37:43.100]   or all these things because you're third semester.
[00:37:43.100 --> 00:37:47.100]   But you need to learn the basics
[00:37:47.100 --> 00:37:50.100]   and then move to the more fun stuff.
[00:37:50.100 --> 00:37:52.100]   Yes.
[00:37:52.100 --> 00:37:55.100]   - I'm still a bit confused about the sequence of the...
[00:37:55.100 --> 00:37:56.100]   - Yeah?
[00:37:56.100 --> 00:37:59.100]   - ...if we go back to the...
[00:37:59.100 --> 00:38:00.100]   - Which slide?
[00:38:00.100 --> 00:38:03.100]   - The slide where the kernel is moving.
[00:38:03.100 --> 00:38:05.100]   - But isn't it this one?
[00:38:05.100 --> 00:38:07.100]   Or do you want another one?
[00:38:07.100 --> 00:38:10.100]   - I think it's the other one where you have to...
[00:38:10.100 --> 00:38:13.100]   - But wait, I think it's the same image,
[00:38:13.100 --> 00:38:16.100]   but just with the correlation next to it.
[00:38:16.100 --> 00:38:18.100]   - Okay, yeah.
[00:38:18.100 --> 00:38:22.100]   - So, like, if you go on...
[00:38:22.100 --> 00:38:26.100]   ...through each step, what is the x, y,
[00:38:26.100 --> 00:38:30.100]   and like in this image,
[00:38:30.100 --> 00:38:35.100]   each step, if you go to one step where there is a kernel,
[00:38:35.100 --> 00:38:37.100]   in display?
[00:38:37.100 --> 00:38:39.100]   - Wait, I'm...
[00:38:39.100 --> 00:38:40.100]   - Yeah, yeah.
[00:38:40.100 --> 00:38:41.100]   - Okay.
[00:38:41.100 --> 00:38:45.100]   - So, in this image, where is our x, y?
[00:38:45.100 --> 00:38:48.100]   That's the blue square, right?
[00:38:48.100 --> 00:38:49.100]   - Yeah.
[00:38:49.100 --> 00:38:51.100]   - And which...
[00:38:51.100 --> 00:38:54.100]   Where is the...
[00:38:54.100 --> 00:38:58.100]   ...the position of the kernel
[00:38:58.100 --> 00:39:01.100]   with that key multiplied?
[00:39:01.100 --> 00:39:03.100]   I mean...
[00:39:03.100 --> 00:39:13.100]   ...basically, I'm just trying to figure out where k0 -1 times ix, y + 1 is.
[00:39:13.100 --> 00:39:16.100]   But, okay.
[00:39:16.100 --> 00:39:18.100]   Let's start from the beginning,
[00:39:18.100 --> 00:39:21.100]   just because that's easier.
[00:39:21.100 --> 00:39:25.100]   So, you're having kernel 1, 1.
[00:39:25.100 --> 00:39:27.100]   Why is it that one?
[00:39:27.100 --> 00:39:29.100]   That, yes, right?
[00:39:29.100 --> 00:39:31.100]   - So, that is...
[00:39:31.100 --> 00:39:32.100]   - That one, yes.
[00:39:32.100 --> 00:39:34.100]   You understood that one.
[00:39:34.100 --> 00:39:36.100]   - Yeah.
[00:39:36.100 --> 00:39:38.100]   - Okay.
[00:39:38.100 --> 00:39:43.100]   K1, 1, you can see in the red, it's the lower pixel.
[00:39:43.100 --> 00:39:47.100]   And then, x - 1, i - 1,
[00:39:47.100 --> 00:39:52.100]   is because the center, so,
[00:39:52.100 --> 00:39:57.100]   x, y would be 0, and x - 1, i - 1.
[00:39:57.100 --> 00:40:01.100]   And then you're moving over it.
[00:40:01.100 --> 00:40:07.100]   So, the red square is giving you x, i - 1.
[00:40:07.100 --> 00:40:16.100]   [pause]
[00:40:16.100 --> 00:40:23.100]   You can see in k0 - 0, which is the blue is on top of the red, it's i, x, y.
[00:40:23.100 --> 00:40:24.100]   Now?
[00:40:24.100 --> 00:40:25.100]   - Yeah.
[00:40:25.100 --> 00:40:27.100]   - Okay.
[00:40:27.100 --> 00:40:33.100]   Makes sense?
[00:40:33.100 --> 00:40:34.100]   Okay.
[00:40:34.100 --> 00:40:40.100]   Is there anything more that you want to kind of go over that something is unclear
[00:40:40.100 --> 00:40:41.100]   that I went too fast?
[00:40:41.100 --> 00:40:43.100]   I know I went too fast.
[00:40:43.100 --> 00:40:46.100]   Yes?
[00:40:46.100 --> 00:40:49.100]   - How do you get to the computation of the rampage when you separate?
[00:40:49.100 --> 00:40:52.100]   - I had that question as well.
[00:40:52.100 --> 00:40:53.100]   Okay.
[00:40:53.100 --> 00:40:55.100]   Give me a second.
[00:40:55.100 --> 00:40:57.100]   I can show you the slide.
[00:40:57.100 --> 00:41:03.100]   [pause]
[00:41:03.100 --> 00:41:04.100]   Okay.
[00:41:04.100 --> 00:41:13.100]   You - I have heard from your colleagues that you already had, like, complexities and, like,
[00:41:13.100 --> 00:41:20.100]   basically, that you kind of know when a operation is linear or quadratic, so you have learned that before.
[00:41:20.100 --> 00:41:21.100]   You have seen that.
[00:41:21.100 --> 00:41:27.100]   So, basically, what you're having here, so, normally, a kernel, you can do two things.
[00:41:27.100 --> 00:41:32.100]   You would have this function, which is basically, you're having the columns and you're applying
[00:41:32.100 --> 00:41:42.100]   the - basically, the convolution on it, on the columns, and then you do the horizontals.
[00:41:42.100 --> 00:41:43.100]   Okay?
[00:41:43.100 --> 00:41:45.100]   So, basically, that's how it would work.
[00:41:45.100 --> 00:41:51.100]   You would do first diagonal, second horizontal, and that would be your operation.
[00:41:51.100 --> 00:41:56.100]   This, you can, of course, separate in two operations, two separate ones.
[00:41:56.100 --> 00:42:04.100]   One is just a convolution over the vertical, and the other one is a convolution of this.
