
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:21:01.640 --> 00:21:04.440]   Like Casvid, Kylian, Tezopoulos, it combined.
[00:21:04.440 --> 00:21:10.240]   It essentially expressed that shape,
[00:21:10.240 --> 00:21:14.080]   or it expressed that fit of that boundary
[00:21:14.080 --> 00:21:17.320]   as a combination of three terms.
[00:21:17.320 --> 00:21:22.280]   We'll actually, in image processing computer vision,
[00:21:22.280 --> 00:21:27.160]   often express regularization problems
[00:21:27.160 --> 00:21:31.240]   or optimization problems as an energy minimization problem.
[00:21:31.240 --> 00:21:32.960]   We'll try to optimize the problem.
[00:21:32.960 --> 00:21:35.160]   We'll formulate the problem as one that
[00:21:35.160 --> 00:21:37.640]   combines different energy terms.
[00:21:37.640 --> 00:21:41.760]   For example, one typically will have at least one
[00:21:41.760 --> 00:21:44.560]   that expresses the relation to the data.
[00:21:44.560 --> 00:21:47.600]   How well does our model fit the data?
[00:21:47.600 --> 00:21:50.360]   On the one hand, how close are we to explain the data
[00:21:50.360 --> 00:21:51.200]   that we observe?
[00:21:51.200 --> 00:21:53.840]   On the one hand, so a data term.
[00:21:53.840 --> 00:21:58.400]   And then another term is actually one or multiple terms
[00:21:58.400 --> 00:22:04.160]   are expressing how close our solution satisfies
[00:22:04.160 --> 00:22:06.040]   or prior assumptions.
[00:22:06.040 --> 00:22:10.840]   Prior assumptions might be we want a smooth boundary.
[00:22:10.840 --> 00:22:13.640]   We don't want too large of a boundary and so on.
[00:22:13.640 --> 00:22:16.160]   So in this case, you have one energy term
[00:22:16.160 --> 00:22:20.920]   that expresses the tension and one the stiffness.
[00:22:20.920 --> 00:22:23.960]   And so it will evolve the boundary only in a way
[00:22:23.960 --> 00:22:26.760]   that optimizes those terms of what
[00:22:26.760 --> 00:22:29.640]   you expect of how the boundary should behave
[00:22:29.640 --> 00:22:32.720]   and tries to, at the same time, look at the image
[00:22:32.720 --> 00:22:37.360]   and choose a boundary where the inside satisfies
[00:22:37.360 --> 00:22:40.400]   the criterion as much as-- but all of the pixels you know
[00:22:40.400 --> 00:22:44.040]   as you move this boundary that you label inside actually
[00:22:44.040 --> 00:22:45.400]   do look like inside pixels.
[00:22:45.400 --> 00:22:51.360]   So for example, in this example here,
[00:22:51.360 --> 00:22:56.040]   you minimize this would be the energy then.
[00:22:56.040 --> 00:23:00.440]   For all the pixels inside, you want this to be small.
[00:23:00.440 --> 00:23:05.040]   So this quadratic term here would, for example,
[00:23:05.040 --> 00:23:07.560]   could be that E image here.
[00:23:07.560 --> 00:23:10.680]   So for every pixel that you include,
[00:23:10.680 --> 00:23:16.600]   you could essentially do the quadratic function of the inclusion.
[00:23:16.600 --> 00:23:18.680]   So now instead of strictly thresholding,
[00:23:18.680 --> 00:23:20.840]   you might include a few pixels that don't look
[00:23:20.840 --> 00:23:22.360]   like they would be inside.
[00:23:22.360 --> 00:23:24.280]   But if it helps having a nice boundary,
[00:23:24.280 --> 00:23:25.760]   you might still include them.
[00:23:25.760 --> 00:23:28.800]   So now you trade off having a nice boundary,
[00:23:28.800 --> 00:23:31.160]   having your solution satisfy your prior assumptions
[00:23:31.160 --> 00:23:33.400]   of how the solution should look like,
[00:23:33.400 --> 00:23:35.520]   like being smooth and things like this,
[00:23:35.520 --> 00:23:40.040]   versus the strict things that come from the data.
[00:23:40.040 --> 00:23:41.640]   That's what you get here.
[00:23:41.640 --> 00:23:45.360]   So here's an example of this.
[00:23:45.360 --> 00:23:47.320]   So this is the start.
[00:23:47.320 --> 00:23:51.160]   So you have here this polygon with-- what is it here?
[00:23:51.160 --> 00:23:53.440]   Five points.
[00:23:53.440 --> 00:23:56.000]   And so you say, OK, this is inside.
[00:23:56.000 --> 00:23:59.560]   And so what you would actually do here, in a case like this,
[00:23:59.560 --> 00:24:02.760]   is you would say, I will somehow try
[00:24:02.760 --> 00:24:07.320]   to estimate a model for how these pixels look like.
[00:24:07.320 --> 00:24:09.240]   So first thing is you can look at this and say, OK,
[00:24:09.240 --> 00:24:12.760]   what's the average color here?
[00:24:12.760 --> 00:24:14.920]   That's the simplest model.
[00:24:14.920 --> 00:24:16.040]   And if you're closer to that color,
[00:24:16.040 --> 00:24:16.400]   it's in.
[00:24:16.400 --> 00:24:18.960]   If it's far from that color, it's out, for example.
[00:24:18.960 --> 00:24:21.160]   But you could also say, well, this is clearly not
[00:24:21.160 --> 00:24:22.760]   just a single color.
[00:24:22.760 --> 00:24:26.280]   So maybe I'll fit a distribution to all of these colors.
[00:24:26.280 --> 00:24:29.720]   So in that case, instead of just a point with a sphere around it,
[00:24:29.720 --> 00:24:32.280]   a distance criterion in the color space,
[00:24:32.280 --> 00:24:34.840]   you could actually say, let me actually look at all those points.
[00:24:34.840 --> 00:24:37.640]   Maybe they're like they form a distribution.
[00:24:37.640 --> 00:24:39.120]   So you fit a distribution to that.
[00:24:39.120 --> 00:24:43.240]   And you say, now, if I'm inside this ellipsoid,
[00:24:43.240 --> 00:24:43.760]   it's in.
[00:24:43.760 --> 00:24:47.200]   And if it's outside, it's out, stuff like that.
[00:24:47.200 --> 00:24:50.120]   You could also say, well, just a color
[00:24:50.120 --> 00:24:53.760]   is not really a great description of this.
[00:24:53.760 --> 00:24:55.560]   What I really want is a kind of--
[00:24:55.560 --> 00:24:58.600]   I want these kind of patterns here, these type of variations.
[00:24:58.600 --> 00:25:01.960]   So you could kind of look at, OK, what type of variations?
[00:25:01.960 --> 00:25:03.720]   For one pixel versus another pixel,
[00:25:03.720 --> 00:25:07.080]   how much do they differ for a certain distance between them?
[00:25:07.080 --> 00:25:08.840]   Like you could start, and again, we'll
[00:25:08.840 --> 00:25:10.520]   look at that in the coming weeks.
[00:25:10.520 --> 00:25:12.200]   You could also do more advanced way
[00:25:12.200 --> 00:25:16.080]   to describe what's going on in this part of the image.
[00:25:16.080 --> 00:25:20.440]   Eventually, you have a model that allows you to say,
[00:25:20.440 --> 00:25:25.560]   a pixel here looks a lot like these pixels or doesn't.
[00:25:25.560 --> 00:25:27.000]   So we'll have a model.
[00:25:27.000 --> 00:25:32.720]   So we apply that model on a per pixel basis, and we get this.
[00:25:32.720 --> 00:25:35.440]   So you see that actually even some of the pixels inside here
[00:25:35.440 --> 00:25:37.640]   are actually not labeled as being--
[00:25:37.640 --> 00:25:40.320]   like by themselves, they're not actually
[00:25:40.320 --> 00:25:43.920]   being labeled as looking a lot like the pixels in there.
[00:25:43.920 --> 00:25:44.720]   And that's normal.
[00:25:44.720 --> 00:25:46.520]   And of course, you see a lot of pixels outside,
[00:25:46.520 --> 00:25:49.360]   but you see also that not all of the pixels are--
[00:25:49.360 --> 00:25:53.080]   it's not a uniform continuous region.
[00:25:53.080 --> 00:25:57.720]   On a per pixel basis, you might have quite some random choices.
[00:25:57.720 --> 00:26:00.160]   And you see, of course, that there's a bunch of things here
[00:26:00.160 --> 00:26:02.080]   a bit all over the place that kind of randomly
[00:26:02.080 --> 00:26:06.120]   happen to satisfy, to look a lot like the pixels in the middle.
[00:26:06.120 --> 00:26:08.000]   They're at least based on the few features
[00:26:08.000 --> 00:26:09.560]   that we would have computed and fitted.
[00:26:09.560 --> 00:26:10.060]   OK.
[00:26:10.060 --> 00:26:21.480]   This is actually with some very simple morphologic operations,
[00:26:21.480 --> 00:26:23.480]   kind of starting growing the region from here
[00:26:23.480 --> 00:26:25.400]   and looking at connected pixels.
[00:26:25.400 --> 00:26:27.560]   And maybe-- and we'll talk a little bit more
[00:26:27.560 --> 00:26:29.640]   about that towards the end of the lecture--
[00:26:29.640 --> 00:26:33.160]   maybe also doing simple operations where from here,
[00:26:33.160 --> 00:26:35.280]   if there's a single pixel, we just say, OK,
[00:26:35.280 --> 00:26:37.040]   this single pixel is clearly--
[00:26:37.040 --> 00:26:39.680]   if all of my neighbors say they're inside,
[00:26:39.680 --> 00:26:40.680]   I will just join them.
[00:26:40.680 --> 00:26:42.600]   And then you flip the color.
[00:26:42.600 --> 00:26:46.080]   So it's a few operations like that, purely on a local level,
[00:26:46.080 --> 00:26:48.320]   purely based on connectivity, forgetting
[00:26:48.320 --> 00:26:50.200]   what the data actually says at this point
[00:26:50.200 --> 00:26:54.000]   and just kind of overrule based on those things.
[00:26:54.000 --> 00:26:58.560]   You can get something like this here, which is interesting,
[00:26:58.560 --> 00:27:01.400]   which is a good thing you could do.
[00:27:01.400 --> 00:27:05.240]   This is what comes out of the--
[00:27:05.240 --> 00:27:08.000]   by evolving doing these snakes.
[00:27:08.000 --> 00:27:09.880]   So the thing that we were talking about here,
[00:27:09.880 --> 00:27:11.200]   we start from here.
[00:27:11.200 --> 00:27:14.440]   And if we evolve this, and then if these points get too far
[00:27:14.440 --> 00:27:17.000]   apart, you can insert another point, for example.
[00:27:17.000 --> 00:27:19.520]   So you can evolve the boundary.
[00:27:19.520 --> 00:27:23.400]   Then this is the type of thing that comes out of this,
[00:27:23.400 --> 00:27:26.560]   out of the snakes.
[00:27:26.560 --> 00:27:30.960]   Again, this is applying it back to the image.
[00:27:30.960 --> 00:27:32.760]   So notice here, we have one nice--
[00:27:32.760 --> 00:27:34.440]   all of the points inside the boundaries
[00:27:34.440 --> 00:27:35.720]   are labeled inside.
[00:27:35.720 --> 00:27:39.560]   All of the points outside are labeled background.
[00:27:39.560 --> 00:27:42.640]   So inside, foreground, outside, background,
[00:27:42.640 --> 00:27:45.080]   which we didn't fully achieve with these simple morphological
[00:27:45.080 --> 00:27:48.680]   operations here, for example.
[00:27:48.680 --> 00:27:50.040]   But also, what else do you see?
[00:27:50.040 --> 00:27:51.840]   So do you see some things that are actually
[00:27:51.840 --> 00:27:52.680]   not very satisfying here?
[00:27:52.680 --> 00:27:59.640]   OK, indeed.
[00:27:59.640 --> 00:28:01.360]   Bottom right corner here.
[00:28:01.360 --> 00:28:02.120]   So what's the issue?
[00:28:02.120 --> 00:28:04.440]   [INAUDIBLE]
[00:28:04.440 --> 00:28:06.720]   Like-- OK, so this region should probably
[00:28:06.720 --> 00:28:07.880]   have been labeled inside.
[00:28:07.880 --> 00:28:10.560]   And a little bit-- not so much, a little bit here,
[00:28:10.560 --> 00:28:15.880]   but it's obvious there's a few things here.
[00:28:15.880 --> 00:28:18.560]   So anybody has an idea what the problem is here?
[00:28:18.560 --> 00:28:22.680]   Why this happens?
[00:28:22.680 --> 00:28:24.680]   [INAUDIBLE]
[00:28:24.680 --> 00:28:26.440]   Sorry?
[00:28:26.440 --> 00:28:28.840]   If you just pick up a bit, I just couldn't hear it.
[00:28:28.840 --> 00:28:36.640]   [INAUDIBLE]
[00:28:36.640 --> 00:28:39.120]   Actually, let me--
[00:28:39.120 --> 00:28:40.480]   if you look at this, so you're right,
[00:28:40.480 --> 00:28:42.720]   it's a little bit less obvious.
[00:28:42.720 --> 00:28:45.680]   Clearly, just the data driven--
[00:28:45.680 --> 00:28:48.840]   oh, actually, let me go even one further back.
[00:28:48.840 --> 00:28:50.200]   If we just look at the data, it's
[00:28:50.200 --> 00:28:52.760]   clear that this is more white on average than here.
[00:28:52.760 --> 00:28:54.440]   So there's less peaks.
[00:28:54.440 --> 00:28:56.680]   The motor is a bit hesitating.
[00:28:56.680 --> 00:29:03.000]   But still, like we're clearly cutting a lot away here.
[00:29:03.000 --> 00:29:05.520]   The reason is that our model is just saying in general--
[00:29:05.520 --> 00:29:07.680]   oh, yes, go ahead.
[00:29:07.680 --> 00:29:15.680]   [INAUDIBLE]
[00:29:15.680 --> 00:29:17.040]   Exactly.
[00:29:17.040 --> 00:29:25.040]   [INAUDIBLE]
[00:29:25.040 --> 00:29:26.400]   Exactly.
[00:29:26.400 --> 00:29:28.760]   So what is happening here is essentially
[00:29:28.760 --> 00:29:31.440]   that we have this very simple geometric model that
[00:29:31.440 --> 00:29:33.040]   treats the whole image as kind of--
[00:29:33.040 --> 00:29:34.320]   we just want one region.
[00:29:34.320 --> 00:29:37.000]   It doesn't do anything special at the edge, for example, here.
[00:29:37.000 --> 00:29:42.480]   It doesn't interpret this as a three dimensional representation.
[00:29:42.480 --> 00:29:46.080]   So this here, for example, we could probably--
[00:29:46.080 --> 00:29:49.000]   both this and this here--
[00:29:49.000 --> 00:29:53.920]   we could probably solve by doing something different
[00:29:53.920 --> 00:29:57.160]   at the boundary and saying, OK, if I connect straight
[00:29:57.160 --> 00:30:01.000]   to the boundary at whatever angle,
[00:30:01.000 --> 00:30:02.440]   there's no cost to that.
[00:30:02.440 --> 00:30:05.520]   Here, there's actually cost to go here and then go back,
[00:30:05.520 --> 00:30:07.400]   have the boundary, go all the way back.
[00:30:07.400 --> 00:30:13.840]   And so if we actually put zero cost to reach the boundary here,
[00:30:13.840 --> 00:30:16.040]   then it is likely to go further.
[00:30:16.040 --> 00:30:18.640]   Although it's still going to prefer going straight
[00:30:18.640 --> 00:30:20.480]   to the boundary.
[00:30:20.480 --> 00:30:23.480]   But essentially, we could try to normalize it and address that.
[00:30:23.480 --> 00:30:24.520]   Here we have a simple model.
[00:30:24.520 --> 00:30:25.280]   It's not addressed.
[00:30:25.280 --> 00:30:27.080]   It does what we ask it.
[00:30:27.080 --> 00:30:28.440]   There's actually something in general
[00:30:28.440 --> 00:30:30.640]   when you do those regularizations.
[00:30:30.640 --> 00:30:33.560]   It will just literally minimize what you ask it
[00:30:33.560 --> 00:30:36.040]   and quite literally.
[00:30:36.040 --> 00:30:38.240]   Everything with computers, you ask it something it will literally
[00:30:38.240 --> 00:30:38.740]   do.
[00:30:38.740 --> 00:30:41.200]   It will not use good judgment to somehow interpret
[00:30:41.200 --> 00:30:44.120]   or this or that.
[00:30:44.120 --> 00:30:47.760]   Also towards the top, indeed, you see data actually
[00:30:47.760 --> 00:30:49.440]   sees the road further.
[00:30:49.440 --> 00:30:52.680]   But here we cut it off.
[00:30:52.680 --> 00:30:55.440]   Although it's actually maybe not that bad actually here.
[00:30:55.440 --> 00:30:58.240]   It's a bit unclear what's happening there.
[00:30:58.240 --> 00:31:00.640]   But it's right that essentially the 3D nature
[00:31:00.640 --> 00:31:03.240]   could allow us to do things slightly differently that
[00:31:03.240 --> 00:31:05.480]   are far away because of perspective
[00:31:05.480 --> 00:31:07.880]   or assumptions of smoothness could actually
[00:31:07.880 --> 00:31:11.600]   be different close or far.
[00:31:11.600 --> 00:31:16.280]   But this is a very simple algorithm.
[00:31:16.280 --> 00:31:18.960]   OK, so inter-insummary segmentation is hard.
[00:31:18.960 --> 00:31:22.480]   It's easier if you define the task carefully.
[00:31:22.480 --> 00:31:25.480]   Is the segmentation task binary or continuous?
[00:31:25.480 --> 00:31:28.080]   This was this mixed pixels and blurred boundaries
[00:31:28.080 --> 00:31:29.600]   and things like this.
[00:31:29.600 --> 00:31:30.960]   What are the regions of interest?
[00:31:30.960 --> 00:31:33.320]   How accurate are the algorithms?
[00:31:33.320 --> 00:31:35.960]   Locate the region boundaries?
[00:31:35.960 --> 00:31:38.280]   Actually still lots of--
[00:31:38.280 --> 00:31:39.720]   in some-- in many ways, there's still
[00:31:39.720 --> 00:31:44.960]   an open research problem still today.
[00:31:44.960 --> 00:31:46.880]   Here's showing a little bit in application.
[00:31:46.880 --> 00:31:50.720]   This is background segmentation.
[00:31:50.720 --> 00:31:58.640]   In this case, separating a static background of the foreground.
[00:31:58.640 --> 00:32:01.080]   So we are looking for something like this.
[00:32:01.080 --> 00:32:03.440]   How do we do it?
[00:32:03.440 --> 00:32:06.400]   What we'll actually do is we'll try to estimate
[00:32:06.400 --> 00:32:08.160]   a background image.
[00:32:08.160 --> 00:32:09.480]   We'll actually do this by--
[00:32:09.480 --> 00:32:12.840]   this is a static camera.
[00:32:12.840 --> 00:32:16.720]   So you keep recording it and then cars drive by.
[00:32:16.720 --> 00:32:19.520]   But if you take the average over a long period of time,
[00:32:19.520 --> 00:32:22.960]   or the median, let's say, the median values,
[00:32:22.960 --> 00:32:25.120]   then you can essentially have an image
[00:32:25.120 --> 00:32:29.200]   with no dynamic objects in, a background image.
[00:32:29.200 --> 00:32:32.560]   So once you form that background image, which now
[00:32:32.560 --> 00:32:35.840]   means that we don't have like we had with the green,
[00:32:35.840 --> 00:32:38.200]   one green value that is applied to all the image,
[00:32:38.200 --> 00:32:41.320]   to do the chroma keying, for example.
[00:32:41.320 --> 00:32:46.400]   In this case, every point here has its own background model.
[00:32:46.400 --> 00:32:50.280]   Because this one has a gray background model.
[00:32:50.280 --> 00:32:52.800]   This one has a blue background model, like a sky background
[00:32:52.800 --> 00:32:53.360]   model, et cetera.
[00:32:53.360 --> 00:32:55.840]   So everyone has just its own pixel color.
[00:32:55.840 --> 00:32:59.200]   It's the background model.
[00:32:59.200 --> 00:33:01.880]   If you actually do that as an average of many images,
[00:33:01.880 --> 00:33:03.680]   you can actually do something a little bit better.
[00:33:03.680 --> 00:33:07.880]   So you can have a median here or a mean value,
[00:33:07.880 --> 00:33:11.120]   and also a distribution, a varying distribution.
[00:33:11.120 --> 00:33:12.120]   Yes?
[00:33:12.120 --> 00:33:15.360]   Did neural networks overtake these methods that we looked at,
[00:33:15.360 --> 00:33:18.360]   or are they used in tandem?
[00:33:18.360 --> 00:33:26.280]   So nowadays, you would use neural networks.
[00:33:26.280 --> 00:33:30.440]   I'll actually show one later, segment anything.
[00:33:30.440 --> 00:33:34.960]   The neural networks don't allow a lot of introspection.
[00:33:34.960 --> 00:33:35.960]   It's not clear.
[00:33:35.960 --> 00:33:37.440]   If you just look at a neural network,
[00:33:37.440 --> 00:33:39.480]   I can show you here's a big neural network.
[00:33:39.480 --> 00:33:41.440]   Look at a nice end result.
[00:33:41.440 --> 00:33:42.080]   That's it.
[00:33:42.080 --> 00:33:43.680]   You wouldn't actually know what's going on.
[00:33:43.680 --> 00:33:44.880]   So the people that design--
[00:33:44.880 --> 00:33:46.560]   if you want to design those neural networks,
[00:33:46.560 --> 00:33:48.520]   if you want to try to improve them, isn't that?
[00:33:48.520 --> 00:33:51.640]   You actually need to understand the concepts we discuss here.
[00:33:51.640 --> 00:33:54.400]   All of those ideas get translated in neural networks,
[00:33:54.400 --> 00:33:57.560]   but in a typically pretty opaque way.
[00:33:57.560 --> 00:34:00.400]   You need to make sure that the structure in the neural network
[00:34:00.400 --> 00:34:03.960]   can represent some of the main concepts we discuss here.
[00:34:03.960 --> 00:34:05.320]   So here, they explicit.
[00:34:05.320 --> 00:34:05.960]   You can learn them.
[00:34:05.960 --> 00:34:07.080]   You can get intuition for them.
[00:34:07.080 --> 00:34:09.680]   You can understand when they work and when they fail.
[00:34:09.680 --> 00:34:11.000]   And now if you do a neural network,
[00:34:11.000 --> 00:34:13.520]   and you see it fail in certain ways,
[00:34:13.520 --> 00:34:17.000]   because it's-- we'll also have similar kind of failure cases
[00:34:17.000 --> 00:34:20.240]   and behaviors, you can kind of see like, oh, OK,
[00:34:20.240 --> 00:34:21.120]   this is going wrong.
[00:34:21.120 --> 00:34:23.760]   So I should actually put something in my neural network
[00:34:23.760 --> 00:34:26.960]   that allows it to pick up or take better into account
[00:34:26.960 --> 00:34:29.560]   these aspects and so on.
[00:34:29.560 --> 00:34:31.680]   So that's why it's actually really important to understand
[00:34:31.680 --> 00:34:34.600]   the fundamentals, the principles, essentially,
[00:34:34.600 --> 00:34:36.960]   the trade-offs that are happening in all those automatic
[00:34:36.960 --> 00:34:38.000]   decisions.
[00:34:38.000 --> 00:34:40.440]   And yes, then once all of this is clear,
[00:34:40.440 --> 00:34:42.840]   then you can actually-- so a neural network
[00:34:42.840 --> 00:34:44.280]   works as follows, right?
[00:34:44.280 --> 00:34:45.440]   You don't have any principles.
[00:34:45.440 --> 00:34:47.120]   You don't have any-- this or that.
[00:34:47.120 --> 00:34:48.760]   You provide a certain architecture.
[00:34:48.760 --> 00:34:51.440]   How you do that, you actually need
[00:34:51.440 --> 00:34:53.200]   to understand all of this to know what makes sense
[00:34:53.200 --> 00:34:54.280]   in terms of architecture.
[00:34:54.280 --> 00:34:57.640]   But in the end, you just--
[00:34:57.640 --> 00:35:00.080]   if somebody tells you this neural network,
[00:35:00.080 --> 00:35:04.240]   this neural architecture should do well on that problem,
[00:35:04.240 --> 00:35:05.640]   then at that point, you'd really just
[00:35:05.640 --> 00:35:11.640]   need to feed enough examples of data with solution
[00:35:11.640 --> 00:35:13.840]   and many thousands of it.
[00:35:13.840 --> 00:35:17.280]   And then you can train the network,
[00:35:17.280 --> 00:35:19.960]   and then the network would essentially reproduce
[00:35:19.960 --> 00:35:23.040]   and be able to generate answers.
[00:35:23.040 --> 00:35:25.920]   But you don't actually learn a lot from that.
[00:35:25.920 --> 00:35:30.040]   And you wouldn't necessarily be able to design a network that
[00:35:30.040 --> 00:35:32.720]   would do it properly.
[00:35:32.720 --> 00:35:34.920]   But given the network knowing that this network will give
[00:35:34.920 --> 00:35:37.880]   the result and then having a lot of labeled data,
[00:35:37.880 --> 00:35:40.160]   yes, you can then solve the problem quite well
[00:35:40.160 --> 00:35:42.120]   with a neural network.
[00:35:42.120 --> 00:35:45.040]   But that's not the purpose of this lecture.
[00:35:45.040 --> 00:35:48.240]   That would be very easy and very hard in the sense
[00:35:48.240 --> 00:35:50.040]   you need to label a lot of data.
[00:35:50.040 --> 00:35:52.920]   But if you somehow can get your hands on labeled data
[00:35:52.920 --> 00:35:55.800]   and you know what architecture could solve the problem,
[00:35:55.800 --> 00:35:58.880]   then it's pressing a button and letting the computer figure it out.
[00:35:58.880 --> 00:36:04.520]   But OK.
[00:36:04.520 --> 00:36:05.160]   So let's see.
[00:36:05.160 --> 00:36:17.120]   So here, also as an example, you need to make sure,
[00:36:17.120 --> 00:36:19.120]   also with neural networks, it will
[00:36:19.120 --> 00:36:22.960]   be really important to make sure that you provide
[00:36:22.960 --> 00:36:25.320]   the right information to the neural network
[00:36:25.320 --> 00:36:28.400]   to be able to solve the problem.
[00:36:28.400 --> 00:36:31.360]   I've done projects with students where the students were coming
[00:36:31.360 --> 00:36:33.520]   to me and said, hey, I'm trying really
[00:36:33.520 --> 00:36:36.200]   hard to make this thing work with a neural network
[00:36:36.200 --> 00:36:37.800]   and it doesn't work.
[00:36:37.800 --> 00:36:39.800]   But then if you actually think through the problem
[00:36:39.800 --> 00:36:44.240]   and the principles that are like what the neural network kind
[00:36:44.240 --> 00:36:48.800]   of needs under the hood to be able to make a decision,
[00:36:48.800 --> 00:36:52.160]   to be able to actually solve the problem in a sense,
[00:36:52.160 --> 00:36:56.200]   it can fit a function to stuff to an input-output relationship.
[00:36:56.200 --> 00:36:58.520]   So it can learn an input-output relationship.
[00:36:58.520 --> 00:37:00.960]   Like given this input, this is the output.
[00:37:00.960 --> 00:37:01.960]   It can do that.
[00:37:01.960 --> 00:37:04.040]   But if you feed it the wrong information,
[00:37:04.040 --> 00:37:06.480]   or if along the way you do something to the information
[00:37:06.480 --> 00:37:08.880]   so that you kind of lost the information that is actually
[00:37:08.880 --> 00:37:12.120]   relevant to solve the problem, then
[00:37:12.120 --> 00:37:13.280]   those things don't do magic.
[00:37:13.280 --> 00:37:17.160]   If you don't provide the information you need
[00:37:17.160 --> 00:37:19.800]   to actually allow to solve the information,
[00:37:19.800 --> 00:37:23.200]   so if you don't give the information that's
[00:37:23.200 --> 00:37:25.440]   relevant to solve the problem, it's somehow not there anymore
[00:37:25.440 --> 00:37:28.080]   in the input because you didn't understand what
[00:37:28.080 --> 00:37:30.920]   was needed to solve the problem.
[00:37:30.920 --> 00:37:32.800]   Then it doesn't work, of course.
[00:37:32.800 --> 00:37:36.160]   So it is really important to have some understanding of how
[00:37:36.160 --> 00:37:39.880]   problems are solved, what is relevant, what's not relevant,
[00:37:39.880 --> 00:37:42.880]   et cetera.
[00:37:42.880 --> 00:37:48.000]   And of course, also you could try to play it safe and feed it
[00:37:48.000 --> 00:37:51.240]   every possible information, but that's also typically not
[00:37:51.240 --> 00:37:54.120]   a great idea that requires a ton more data of labeled data,
[00:37:54.120 --> 00:37:56.200]   et cetera, et cetera.
[00:37:56.200 --> 00:38:00.800]   OK, so here, foreground and background,
[00:38:00.800 --> 00:38:03.280]   we've seen before, so the background color here
[00:38:03.280 --> 00:38:05.400]   could be a per pixel background color.
[00:38:05.400 --> 00:38:07.560]   The threshold could be also a threshold.
[00:38:07.560 --> 00:38:12.000]   In this case, you could have an ellipsoid,
[00:38:12.000 --> 00:38:15.840]   you could have something simple like just a fixed threshold,
[00:38:15.840 --> 00:38:20.360]   spherical, you could have a kind of a cuboid kind of threshold.
[00:38:20.360 --> 00:38:24.160]   2020-10, that would be more of a cuboid kind of around the point.
[00:38:24.160 --> 00:38:27.280]   If you know that in R and G, there's more variation than in B,
[00:38:27.280 --> 00:38:33.520]   for example, and so indeed, this is per pixel,
[00:38:33.520 --> 00:38:36.160]   this really based on the background image.
[00:38:36.160 --> 00:38:37.960]   Ideally, you have more something like this.
[00:38:37.960 --> 00:38:39.520]   This represents covariance.
[00:38:39.520 --> 00:38:42.360]   This represents essentially an ellipsoid,
[00:38:42.360 --> 00:38:45.680]   a threshold that has the shape of an ellipsoid.
[00:38:45.680 --> 00:38:49.840]   And then this is kind of the generalized radius or distance
[00:38:49.840 --> 00:38:54.360]   from the center from this point here.
[00:38:54.360 --> 00:38:55.520]   That's generalized in a sense.
[00:38:55.520 --> 00:38:58.960]   It's not a sphere, but it's an ellipsoid.
[00:38:58.960 --> 00:39:00.560]   And if you're above a threshold, so that
[00:39:00.560 --> 00:39:02.120]   draws this elliptic boundary.
[00:39:02.120 --> 00:39:07.600]   And so this is something you can easily fit to data,
[00:39:07.600 --> 00:39:08.200]   this thing here.
[00:39:08.200 --> 00:39:11.880]   That's the variance of that data.
[00:39:11.880 --> 00:39:14.440]   Of all this, for example, background pixels
[00:39:14.440 --> 00:39:17.040]   at a certain location.
[00:39:17.040 --> 00:39:19.160]   So for example, here the segmentation
[00:39:19.160 --> 00:39:21.720]   would give something like this.
[00:39:21.720 --> 00:39:24.000]   There's something interesting is shadows.
[00:39:24.000 --> 00:39:27.000]   Are they part of the object or not?
[00:39:27.000 --> 00:39:28.880]   So that's something to kind of decide again.
[00:39:28.880 --> 00:39:31.000]   Like, do you care about the shadows?
[00:39:31.000 --> 00:39:33.520]   Do you want them-- do we part of your segmentation mask?
[00:39:33.520 --> 00:39:36.080]   Or do you actually want to exclude them?
[00:39:36.080 --> 00:39:38.120]   Again, it's a decision that can depend.
[00:39:38.120 --> 00:39:44.960]   It's asymmetric because it's really always darker.
[00:39:44.960 --> 00:39:46.960]   So a Gaussian can get confused.
[00:39:46.960 --> 00:39:50.160]   Gaussian is fully symmetric around the average.
[00:39:50.160 --> 00:39:52.400]   Clearly, shadows are asymmetric.
[00:39:52.400 --> 00:39:54.640]   It only makes pixels darker.
[00:39:54.640 --> 00:39:59.160]   And so on.
[00:39:59.160 --> 00:40:03.480]   Now we'll pivot to adding spatial relations.
[00:40:03.480 --> 00:40:08.360]   So we've already seen that a little bit with connectivity.
[00:40:08.360 --> 00:40:13.280]   We've seen that with the snake.
[00:40:13.280 --> 00:40:17.160]   That was actually explicitly the boundary itself.
[00:40:17.160 --> 00:40:24.280]   Here we'll see a way to express that
[00:40:24.280 --> 00:40:28.760]   in-- with an optimization algorithm.
[00:40:28.760 --> 00:40:31.680]   We'll formulate this as a mark of random field.
[00:40:31.680 --> 00:40:33.920]   Mark of chains are 1D structures on which you
[00:40:33.920 --> 00:40:36.040]   can do dynamic programming and get exact solutions
[00:40:36.040 --> 00:40:38.480]   to influence problems, et cetera.
[00:40:38.480 --> 00:40:41.520]   Mark of random fields are a generalization
[00:40:41.520 --> 00:40:43.720]   to two-dimension or high dimensional,
[00:40:43.720 --> 00:40:46.400]   but to two-dimensional structures in this particular case.
[00:40:46.400 --> 00:40:51.680]   Let me actually go here.
[00:40:51.680 --> 00:40:54.720]   So they represent an image like this here with connectivities
