
[00:00:00.000 --> 00:00:02.760]   Okay, good morning everyone.
[00:24:40.320 --> 00:24:45.320]   but the key difference is that after every filter, they make a nonlinear decision.
[00:24:45.320 --> 00:24:49.320]   I mean, or they essentially apply a nonlinear effect.
[00:24:49.320 --> 00:24:55.320]   For example, typical one is, okay, if the result is positive, then I just keep the result,
[00:24:55.320 --> 00:25:00.320]   but if it's negative, you know, I just clip it to zero.
[00:25:00.320 --> 00:25:02.320]   So that's nonlinear, right?
[00:25:02.320 --> 00:25:05.320]   So positive, it's, or let's say for you like this way, so positive,
[00:25:05.320 --> 00:25:10.320]   if the value is positive, I just output that particular value,
[00:25:10.320 --> 00:25:13.320]   so it's 45 degree curve, right?
[00:25:13.320 --> 00:25:18.320]   If it's linear, you know, you push it up, and you know, if it's positive,
[00:25:18.320 --> 00:25:21.320]   but you push it down, it's negative, and then, you know, afterwards you recombine,
[00:25:21.320 --> 00:25:26.320]   somehow always ends up, you know, having one combined linear filter effect,
[00:25:26.320 --> 00:25:30.320]   but as soon as you put a nonlinear effect, then you can do much, much more interesting things.
[00:25:30.320 --> 00:25:33.320]   At that point, you can actually take decisions in a sense, right?
[00:25:33.320 --> 00:25:36.320]   So if it's positive, so now you can make the difference,
[00:25:36.320 --> 00:25:44.320]   so essentially linear filters in a sense, what they do is they cannot make the difference between,
[00:25:44.320 --> 00:25:50.320]   so if they have a strong positive effect, so they say, oh, this really looks like, you know, whatever,
[00:25:50.320 --> 00:25:53.320]   for example, some of the features we look at is corners, right?
[00:25:53.320 --> 00:26:02.320]   So hey, this really looks like a corner, like a white, you know, inside corner with a black outside, okay?
[00:26:02.320 --> 00:26:06.320]   So let's say that's a feature you're interested in, you want to find this corner here,
[00:26:06.320 --> 00:26:13.320]   then you could look for a template like this, and you would correlate or convolut the image with a template of a corner,
[00:26:13.320 --> 00:26:17.320]   and then it would give you a strong response if you hit this.
[00:26:17.320 --> 00:26:21.320]   The problem is you are bound to also, if you use a linear filter,
[00:26:21.320 --> 00:26:25.320]   you're bound to also have a very strong response if you have the exact opposite,
[00:26:25.320 --> 00:26:28.320]   and it will be a very strong negative response, okay?
[00:26:28.320 --> 00:26:33.320]   So if you have a black corner here with a white surrounding, right?
[00:26:33.320 --> 00:26:38.320]   If you have a linear filter, it has to also at that point give a strong response,
[00:26:38.320 --> 00:26:41.320]   so the responses between the positive and the negative are always coupled,
[00:26:41.320 --> 00:26:43.320]   you cannot separate them in linear filters,
[00:26:43.320 --> 00:26:51.320]   so you can, if you say strong response to this, then you have an equally strong negative response to the opposite visual signal, okay?
[00:26:51.320 --> 00:26:56.320]   And because as you keep stacking things up, they all recombine in a single combined response,
[00:26:56.320 --> 00:27:03.320]   it means that your filters can somehow not just choose the positive but ignore the negative, okay?
[00:27:03.320 --> 00:27:10.320]   Deep neural networks, the key thing is they insert at every layer of the network a negative, like a nonlinear decision.
[00:27:10.320 --> 00:27:15.320]   It says, "Yes, I keep the positive, but I ignore the negative."
[00:27:15.320 --> 00:27:19.320]   That's in a sense what they're doing, you know, intuitively at a certain level.
[00:27:19.320 --> 00:27:23.320]   That allows them to be much more powerful because there they can just select what they care about
[00:27:23.320 --> 00:27:31.320]   and not have the byproduct of kind of, you know, also kind of having a strong response to the negative, to the opposite signal, okay?
[00:27:31.320 --> 00:27:34.320]   So that is what actually then turns out to be,
[00:27:34.320 --> 00:27:41.320]   suddenly you can represent pretty much anything or get any decision function created with this,
[00:27:41.320 --> 00:27:47.320]   where linear decision boundaries at some level, okay, by the way, in the end what are you doing?
[00:27:47.320 --> 00:27:53.320]   You're essentially looking at a big vector space and what a neural network at some level is doing,
[00:27:53.320 --> 00:27:58.320]   or any decision mechanism, is putting a boundary somewhere in that space, okay?
[00:27:58.320 --> 00:28:06.320]   If you have a linear system, that boundary is just a plane, you know, a hyperplane or whatever, but it's just a plane.
[00:28:06.320 --> 00:28:12.320]   You can put any number of linear filters behind each other, it will always remain a hyperplane somewhere in that space.
[00:28:12.320 --> 00:28:18.320]   So it means everything on one side of that plane is labeled one way, if you do binary classification.
[00:28:18.320 --> 00:28:27.320]   Everything on the other side is labeled the other way, and you won't be able to get anything else out of your linear filters, okay?
[00:28:27.320 --> 00:28:34.320]   With nonlinear, you can actually end up drawing any arbitrary boundary and say, okay, those things over here are positive,
[00:28:34.320 --> 00:28:39.320]   and then those are negative, and then those are positive again, and so on, you can have very complicated boundaries,
[00:28:39.320 --> 00:28:44.320]   arbitrarily complicated boundaries with neural networks, okay?
[00:28:44.320 --> 00:28:52.320]   Okay, so that's, you know, a kind of big overview of everything we'll be discussing in the first part of the lecture.
[00:28:52.320 --> 00:29:04.320]   Any immediate questions related to this or other questions related to this first part of the lecture?
[00:29:04.320 --> 00:29:12.320]   Okay, you know, this, so as I said, like, this was not the level you should understand, it's mostly, I hope,
[00:29:12.320 --> 00:29:17.320]   a good intro, give you some background, and as we go through the lecture, it will allow you to put a different part into context,
[00:29:17.320 --> 00:29:22.320]   also looking at what will come afterwards.
[00:29:22.320 --> 00:29:23.320]   Yes?
[00:29:23.320 --> 00:29:26.320]   [inaudible]
[00:29:26.320 --> 00:29:27.320]   What?
[00:29:27.320 --> 00:29:29.320]   [inaudible]
[00:29:29.320 --> 00:29:37.320]   Oh, the slides should be made available to you by, like, for the first part, I think by, Philip should upload them.
[00:29:37.320 --> 00:29:44.320]   I think now I just send him an email 15 minutes before the lecture, so I think he might, like, this might not yet have happened for this lecture,
[00:29:44.320 --> 00:29:51.320]   but the goal will be that it will be uploaded before the lecture so that you have access to them.
[00:29:51.320 --> 00:30:03.320]   I think it's on the course website, but I think it will be there, but anyways, you'll hear about, from Philip, you'll hear about it.
[00:30:03.320 --> 00:30:07.320]   Any other questions?
[00:30:07.320 --> 00:30:13.320]   Also related to practical organization or other things, so actually, I'll, I'll, I have some course logistics after this.
[00:30:13.320 --> 00:30:24.320]   Okay, so on the graphics side, I won't go as much into detail there, but essentially, you'll, you know, you look at basics of how to draw a triangle,
[00:30:24.320 --> 00:30:34.320]   like the basic kind of graphics pipeline, you know, steps, drawing pipelines, rasterizing, you know, again, the images are grids, rasters,
[00:30:34.320 --> 00:30:43.320]   and so you kind of go through it, you know, pixel by pixel or so and, you know, kind of make decisions there or compute the value you should get there.
[00:30:43.320 --> 00:30:47.320]   Then very important is being able to move things around.
[00:30:47.320 --> 00:30:56.320]   So transformations, here we're actually talking about 2D, you know, 2D and 3D transformations, and kind of basic geometry and then textures,
[00:30:56.320 --> 00:31:07.320]   texture in this case is essentially the appearance of a particular triangle, you can attach kind of an image to a triangle in a sense,
[00:31:07.320 --> 00:31:15.320]   that would be the texture, and then as you move that triangle around, it will go to different place and then you have to, it will land on different pixels
[00:31:15.320 --> 00:31:29.320]   and then you have to sample that texture to see what part of the texture, what, you know, that texture, what, you know, what, how to fill in the right color in the image based on sampling that texture.
[00:31:29.320 --> 00:31:33.320]   So you look at the rendering pipeline, then important, of course, is lighting.
[00:31:33.320 --> 00:31:42.320]   If you don't generate the light in your, have some notion of lighting in graphics, you know, you're not going to get much, okay,
[00:31:42.320 --> 00:31:50.320]   so actually the basics would be to just copy the texture values or whatever you say, this thing is red, you know, just copy red values to your image,
[00:31:50.320 --> 00:31:54.320]   but that creates very flat images that are not very interesting.
[00:31:54.320 --> 00:31:59.320]   So what you actually want to do is also generate, simulate the lighting process.
[00:31:59.320 --> 00:32:09.320]   That means that if light is coming from a certain direction, you know, it will be, so you model the fact that, you know, the brightness,
[00:32:09.320 --> 00:32:15.320]   let me try this here, okay, so now my hand is, it gets a lot of light straight from the light there.
[00:32:15.320 --> 00:32:22.320]   As I, you know, mostly approximately from any direction, you will see the same brightness from my hand.
[00:32:22.320 --> 00:32:25.320]   This is called lamb version reflectance.
[00:32:25.320 --> 00:32:29.320]   It means that the light that hits there on this surface will mostly reflect the same in every direction.
[00:32:29.320 --> 00:32:32.320]   The same amount of light will reflect in any direction, roughly.
[00:32:32.320 --> 00:32:36.320]   That's a good approximation for a good number of materials.
[00:32:36.320 --> 00:32:44.320]   That's also for the screen, for example, the case that reflects light roughly equally in the 180 degrees in front of the surface.
[00:32:44.320 --> 00:32:53.320]   But then if I pivot the surface like this, sorry, you guys can't see it anymore, but you see on this side that my hand is now less bright, right?
[00:32:53.320 --> 00:32:59.320]   That's because, of course, now if you just look at the amount of light that hits my, that illuminates my hand now,
[00:32:59.320 --> 00:33:03.320]   it's a much smaller fraction of the amount of light of the projector.
[00:33:03.320 --> 00:33:10.320]   At this point, it's about this, while now it's about this fraction of the projector that hits, that illuminates my hand.
[00:33:10.320 --> 00:33:18.320]   And so essentially the normal between the light direction and the surface direction will determine how bright a surface looks like.
[00:33:18.320 --> 00:33:23.320]   Or, you know, how much light is actually captured by the surface and reflected by the surface, et cetera, et cetera.
[00:33:23.320 --> 00:33:27.320]   So that's lighting and shading.
[00:33:27.320 --> 00:33:29.320]   Also, you talk about colors.
[00:33:29.320 --> 00:33:32.320]   As I said, colors are actually quite complicated.
[00:33:32.320 --> 00:33:40.320]   You know, our eyes might not exactly sense things the same way that the screen represents it.
[00:33:40.320 --> 00:33:43.320]   All of these things can lead to some interesting effects.
[00:33:43.320 --> 00:33:48.320]   You have to choose how you represent colors, et cetera, et cetera.
[00:33:48.320 --> 00:33:50.320]   There's a lot of depth to that.
[00:33:50.320 --> 00:33:58.320]   I think Marcus will actually go through some of that with you to at least give you some basic understandings.
[00:33:58.320 --> 00:34:06.320]   For example, also, you might have noticed that your printer doesn't, your screen is an RGB screen,
[00:34:06.320 --> 00:34:17.320]   but your printer actually typically C-M-Y-K sees for, so it's cyan, magenta, and yellow, and then K is for black.
[00:34:17.320 --> 00:34:20.320]   That's just because it's hard to make black by just mixing colors.
[00:34:20.320 --> 00:34:23.320]   But what you really need is C-M-Y-K.
[00:34:23.320 --> 00:34:24.320]   It's different colors.
[00:34:24.320 --> 00:34:29.320]   This is because, you'll see all of this, but it's because there you actually subtracting light.
[00:34:29.320 --> 00:34:33.320]   It's what light gets absorbed on the surface.
[00:34:33.320 --> 00:34:37.320]   If you print something on the surface, on the screen is what light gets emitted.
[00:34:37.320 --> 00:34:44.320]   Those are inverse processes, and that means that if you want to combine, you know, to generate a color,
[00:34:44.320 --> 00:34:48.320]   here you decide on a screen like this, you decide what do I emit.
[00:34:48.320 --> 00:34:51.320]   I emit RG, and how much RG and V do I emit?
[00:34:51.320 --> 00:34:58.320]   When you actually print, you say what should the surface absorb in terms of light?
[00:34:58.320 --> 00:35:04.320]   And therefore, if you put two colors together, you absorb not two colors instead of one when you mix colors.
[00:35:04.320 --> 00:35:07.320]   That's why it's actually some of the inverse colors.
[00:35:07.320 --> 00:35:12.320]   Anyways, you'll see all of that when you'll talk about colors.
[00:35:12.320 --> 00:35:15.320]   And of course, visibility and shadows.
[00:35:15.320 --> 00:35:20.320]   You know, if I turn my hand this way, then this doesn't get any light from there, right?
[00:35:20.320 --> 00:35:24.320]   All of this needs to be modeled, so that's all geometry, et cetera.
[00:35:24.320 --> 00:35:30.320]   It could also be that this doesn't get any light, not because it's oriented the wrong way, but because there's an occluder, right?
[00:35:30.320 --> 00:35:35.320]   Because my other hand is kind of capturing light, so there's no light hitting this anymore.
[00:35:35.320 --> 00:35:39.320]   Obviously, you want to model that, otherwise your graphics is going to look kind of strange
[00:35:39.320 --> 00:35:44.320]   if the light illuminates every surface, you know, behind other surfaces equally, right?
[00:35:44.320 --> 00:35:48.320]   So, visibility and shadows.
[00:35:48.320 --> 00:35:52.320]   Then, I think this time there will be curves and surfaces will be discussed.
[00:35:52.320 --> 00:36:01.320]   How do you represent kind of not discretized surfaces, but actually smooth surfaces or as smooth as possible surfaces using mathematical representations,
[00:36:01.320 --> 00:36:06.320]   both curves in 2D and then surfaces in 3D?
[00:36:06.320 --> 00:36:08.320]   Some geometry processing, I'll see with that.
[00:36:08.320 --> 00:36:10.320]   And also ray tracing.
[00:36:10.320 --> 00:36:17.320]   The standard graphics pipeline is, you know,
[00:36:17.320 --> 00:36:23.320]   is directly rendering these triangles and, you know, projecting those in the image and so on.
[00:36:23.320 --> 00:36:25.320]   Ray tracing is a different process.
[00:36:25.320 --> 00:36:32.320]   It actually, you know, will trace rays through space and see, you know, until it hits the light and stuff like that.
[00:36:32.320 --> 00:36:39.320]   With today's graphics hardware and so on, this is starting to become quite feasible also in real-time interactive settings and so on.
[00:36:39.320 --> 00:36:41.320]   So, you'll also look at that.
[00:36:41.320 --> 00:36:51.320]   So, this is, you know, also working at Disney is also going to tell you or maybe have a guest lecture and, you know, both throughout the lecture
[00:36:51.320 --> 00:37:02.320]   and also, you know, probably dive deeper in some of the kind of more advanced special effects that are happening at Disney, right?
[00:37:02.320 --> 00:37:09.320]   Okay, so in terms of course logistics, you should be able to find all the info on the website.
[00:37:09.320 --> 00:37:13.320]   There's probably also the slides.
[00:37:13.320 --> 00:37:19.320]   They might also be on the Moodle or somewhere else, but I think they'll be on the website.
[00:37:19.320 --> 00:37:21.320]   So, you all found the way today.
[00:37:21.320 --> 00:37:25.320]   We'll be here at the same place on Thursday afternoon for the other lecture of the week.
[00:37:25.320 --> 00:37:31.320]   And then the exercises will be those two sessions here.
[00:37:31.320 --> 00:37:37.320]   Philip will communicate with you, you know, what group, in what group you do normally be.
[00:37:37.320 --> 00:37:40.320]   If you have conflicts, you can also switch around.
[00:37:40.320 --> 00:37:44.320]   The groups are so as long as this is somewhat ends up with balanced groups.
[00:37:44.320 --> 00:37:49.320]   But that's something that he will reach out to you for.
[00:37:49.320 --> 00:37:54.320]   The exercise also only starts next week, so this week no exercises yet.
[00:37:54.320 --> 00:38:04.320]   As the exercises, you know, have the goal to revisit some of the concepts and actually get some hands-on experience with some of the concepts in the lecture.
[00:38:04.320 --> 00:38:08.320]   This week is too early.
[00:38:08.320 --> 00:38:11.320]   Is it a third lecture from tools?
[00:38:11.320 --> 00:38:14.320]   Oh, yes, you might be right.
[00:38:14.320 --> 00:38:17.320]   Yes, I think that's something I forgot to update.
[00:38:17.320 --> 00:38:19.320]   Good point.
[00:38:19.320 --> 00:38:28.320]   Yes, it was shifted a few years ago and then when I copied something over, I missed that.
[00:38:28.320 --> 00:38:30.320]   Yeah, I think you're right.
[00:38:30.320 --> 00:38:33.320]   Okay.
[00:38:33.320 --> 00:38:39.320]   I think all the other times I still write, but do double check.
[00:38:39.320 --> 00:38:42.320]   Okay.
[00:38:42.320 --> 00:38:46.320]   So the exercise is non-count for the grade.
[00:38:46.320 --> 00:38:49.320]   The grade is determined by the final exam.
[00:38:49.320 --> 00:38:54.320]   However, of course, the doing the exercises and, you know, kind of,
[00:38:54.320 --> 00:39:02.320]   well, being able to do the exercises, doing the exercises is, of course, should be very correlated with how you do on the final exam.
[00:39:02.320 --> 00:39:08.320]   Or in other words, some of the things that you do there and this and that are the things that are going to come back at the exam.
[00:39:08.320 --> 00:39:10.320]   Okay.
[00:39:10.320 --> 00:39:13.320]   So I attend one of the two sessions each week.
[00:39:13.320 --> 00:39:18.320]   The exercise complement the lectures to provide insight and hands-on experience.
[00:39:18.320 --> 00:39:28.320]   And the goal is also to be able to finish the exercises during the session with the assistance of the assistance.
[00:39:28.320 --> 00:39:32.320]   So the goal is to not have homework to do for the lecture.
[00:39:32.320 --> 00:39:35.320]   So hopefully you have the time to do that.
[00:39:35.320 --> 00:39:41.320]   The exercises since a few years have been switched from MATLAB to Python.
[00:39:41.320 --> 00:39:45.320]   So this will all be Python exercises, at least for the first part of the lecture.
[00:39:45.320 --> 00:39:50.320]   And I think for graphics it's probably different.
[00:39:50.320 --> 00:39:59.320]   So now I'll just give you a little bit of overview of beyond kind of the -- so this is the first intro to visual computing.
[00:39:59.320 --> 00:40:05.320]   Here I want to sketch a little bit everything that's going on in the broader space of visual computing at ETH,
[00:40:05.320 --> 00:40:10.320]   both in the computer science department, so first in the Institute of Visual Computing, actually,
[00:40:10.320 --> 00:40:13.320]   which combines both graphics and vision.
[00:40:13.320 --> 00:40:21.320]   So I'm leading the computer vision and geometry lab.
[00:40:21.320 --> 00:40:26.320]   Marcus is leading the computer graphics lab.
[00:40:26.320 --> 00:40:32.320]   Olga is leading the interactive geometry lab, which is also really focused on computer graphics,
[00:40:32.320 --> 00:40:35.320]   geometry processing.
[00:40:35.320 --> 00:40:39.320]   Then C. Utang is leading the vision and learning group,
[00:40:39.320 --> 00:40:44.320]   where I'm mostly focused -- and I'll show some examples throughout the lecture --
[00:40:44.320 --> 00:40:51.320]   on having cameras that move around through environments and try to understand what's going on in the environment,
[00:40:51.320 --> 00:40:58.320]   build representations of the environment, think of scenarios like head mounted displays,
[00:40:58.320 --> 00:41:04.320]   like a HoloLens device or VR devices, also phones that move around
[00:41:04.320 --> 00:41:11.320]   and to help you navigate or self-driving cars or drones or other things that essentially --
[00:41:11.320 --> 00:41:19.320]   systems that need to be able to navigate the world or do things in the world need to perceive their environment and function.
[00:41:19.320 --> 00:41:24.320]   Olga is more focused on cameras that look at people and understand what people are doing,
[00:41:24.320 --> 00:41:30.320]   tracking people, modeling people, making, building digital avatars, et cetera, et cetera.
[00:41:30.320 --> 00:41:34.320]   That's what we are doing in the vision space.
[00:41:34.320 --> 00:41:39.320]   In addition to that, Otmar Heligus, who's doing HCI and computer vision,
[00:41:39.320 --> 00:41:44.320]   also more focused on tracking people, how they interact and what they can --
[00:41:44.320 --> 00:41:49.320]   these kind of interactive computer vision-based modalities.
[00:41:49.320 --> 00:41:55.320]   Sted and Kuros does the computational robotics, leads the computational robotics lab.
[00:41:55.320 --> 00:42:01.320]   This is a lab that's focused on the intersection of robotics and graphics.
[00:42:01.320 --> 00:42:05.320]   You can wonder, okay, why do robots need graphics or so?
[00:42:05.320 --> 00:42:10.320]   This is about enabling reinforcement learning and enabling -- so you need a simulation environment
[00:42:10.320 --> 00:42:15.320]   to be able to train your robot without destroying your robot in the process.
[00:42:15.320 --> 00:42:22.320]   So you actually want to have a kind of -- you want to leverage all of the modeling and 3D and capabilities
[00:42:22.320 --> 00:42:26.320]   of, you know, manipulating geometry, having interactive geometry,
[00:42:26.320 --> 00:42:32.320]   use that to simulate your robot behavior, train your robot behavior and so on,
[00:42:32.320 --> 00:42:37.320]   in simulation to then transfer that to an actual physical robot and so on.
[00:42:37.320 --> 00:42:40.320]   Okay? So that's what he's doing then.
[00:42:40.320 --> 00:42:48.320]   In ETHET, there is the computer vision laboratory with Luke Fanghole
[00:42:48.320 --> 00:42:54.320]   and Konokoro and Fisher U.
[00:42:54.320 --> 00:43:00.320]   Luke and Fisher are more on the computer vision side and there is more on the medical imaging side.
[00:43:00.320 --> 00:43:05.320]   Then there's the Institute of Machine Learning that also does some --
[00:43:05.320 --> 00:43:14.320]   also does some work sometimes in both medical image processing as well as computer vision and so on.
[00:43:14.320 --> 00:43:20.320]   In photogrammetry and remote sensing, this is in Debalk in the civil engineering department.
[00:43:20.320 --> 00:43:28.320]   However, he's actually also really has a computer vision background and does computer vision research.
[00:43:28.320 --> 00:43:34.320]   Then there's a lot of work in robotics happening in the day-maft department,
[00:43:34.320 --> 00:43:38.320]   so in mechanical engineering, Roland Sigurd.
[00:43:38.320 --> 00:43:43.320]   Actually, I should have, but Marco Hutter there also are doing computer vision.
[00:43:43.320 --> 00:43:46.320]   Margarita and Eminor-Hiles moved on.
[00:43:46.320 --> 00:43:49.320]   I forgot to update this part.
[00:43:49.320 --> 00:43:53.320]   Then also at the university or actually between the university and ETH,
[00:43:53.320 --> 00:43:56.320]   there's the Institute of Neuronformatics.
[00:43:56.320 --> 00:44:05.320]   They do some very interesting work in particular in neuro-inspired sensors.
[00:44:05.320 --> 00:44:15.320]   The Toby Delbrouk actually built and we'll talk about that on Thursday.
[00:44:15.320 --> 00:44:25.320]   At the origin of event cameras, these are special type of camera that much more mimics the actual way the eye senses the world.
[00:44:25.320 --> 00:44:29.320]   We're not measuring every pixel every time at every frame,
[00:44:29.320 --> 00:44:34.320]   measure how much light came in now and then again the same thing, the next step and so on.
[00:44:34.320 --> 00:44:38.320]   So much more sparse process is like, okay, as long as nothing changes, there's nothing to signal,
[00:44:38.320 --> 00:44:43.320]   but when something moves somewhere or something happens somewhere and the brightness changes in a particular area,
[00:44:43.320 --> 00:44:45.320]   then it sends a signal.
[00:44:45.320 --> 00:44:47.320]   It's like, oh, this pixel became brighter by 10%.
[00:44:47.320 --> 00:44:49.320]   Oh, this one became darker by 10%.
[00:44:49.320 --> 00:44:55.320]   So it just sends these type of signals, completely different way to create images.
[00:44:55.320 --> 00:44:57.320]   So Toby did that.
[00:44:57.320 --> 00:45:01.320]   Now there's actually so many Samsung, everybody's building these cameras.
[00:45:01.320 --> 00:45:03.320]   They're originated from here.
[00:45:03.320 --> 00:45:05.320]   There's also a few startups here in Zurich.
[00:45:05.320 --> 00:45:14.320]   Davide Skarmutza is one of the leaders in the field of actually using and building algorithms to leverage these type of cameras to do cool stuff.
[00:45:14.320 --> 00:45:23.320]   For example, he just set a paper in nature that showed some of his really crazy drone flights that now can beat you in pilots and so on.
[00:45:23.320 --> 00:45:26.320]   Okay, so I leave it at that for the first part.
[00:45:26.320 --> 00:45:31.320]   Now we have a break and then we'll resume in 15 minutes.
[00:45:31.320 --> 00:45:35.320]   And I forgot, was there a presentation or not?
[00:45:35.320 --> 00:45:41.320]   No, because at some point there might be some presentation during the breaks from different student organizations.
[00:45:41.320 --> 00:45:45.320]   Thank you.
[00:45:45.320 --> 00:45:48.320]   Okay.
[00:45:48.320 --> 00:45:57.320]   So I told you about all the labs at ETH or at least a good part of the labs that do computer vision related things and computer graphics related things.
[00:45:57.320 --> 00:45:59.320]   So visual computing related things.
[00:45:59.320 --> 00:46:05.320]   There's also a lot of industry, both big tech as well as startups.
[00:46:05.320 --> 00:46:08.320]   Actually, often those things are correlated.
[00:46:08.320 --> 00:46:15.320]   Here's a few things that are happening here in Zurich in this space.
[00:46:15.320 --> 00:46:17.320]   So Disney, of course, is here.
[00:46:17.320 --> 00:46:24.320]   This was actually Marcus Gross that brought Disney here, set up a Disney research lab.
[00:46:24.320 --> 00:46:30.320]   Now it's focused on the studios and so the special effects and so on.
[00:46:30.320 --> 00:46:41.320]   Google is of course here, has lots of computer vision and graphics people related to both on the research side of Google here with several groups.
[00:46:41.320 --> 00:46:48.320]   Also a former professor from ETH, Vittorio Ferrari, is there several others.
[00:46:48.320 --> 00:46:55.320]   Then there's also actually former Disney, Tavo Bieler is doing avatars and other things.
[00:46:55.320 --> 00:47:04.320]   So digital humans at Google, they do a lot of things related to their AR, VR, also search maps, etc., etc.
[00:47:04.320 --> 00:47:08.320]   With different vision and graphics components.
[00:47:08.320 --> 00:47:13.320]   In particular also ARCore.
[00:47:13.320 --> 00:47:30.320]   There was a team that worked on ARCore that also did the navigation or the, you know, in Google Maps, if you do pedestrian navigation.
[00:47:30.320 --> 00:47:35.320]   And you can click to then get kind of localized based on an image.
[00:47:35.320 --> 00:47:38.320]   That's actually done here in Zurich by Simon Linden and his team.
[00:47:38.320 --> 00:47:46.320]   Also including one of my PhD students, the actual algorithm, the origin, not today's algorithm that's used,
[00:47:46.320 --> 00:47:55.320]   but the first version of the algorithm that was then developed further was actually developed in my lab actually.
[00:47:55.320 --> 00:48:03.320]   And published in 2015 and is now kind of the base for the algorithm that's in Google Maps for example.
[00:48:03.320 --> 00:48:10.320]   You know, there's startups here doing like physics simulation on GPUs.
[00:48:10.320 --> 00:48:16.320]   There was a startup that got acquired, or actually a startup information.
[00:48:16.320 --> 00:48:22.320]   I think it was called Zurich Sensor, so it was never really started because it got, the whole team got acquired,
[00:48:22.320 --> 00:48:25.320]   acquired by Oculus.
[00:48:25.320 --> 00:48:36.320]   So Meta now in the meanwhile is about 300 people here in, or maybe even 400 people working with mostly vision background.
[00:48:36.320 --> 00:48:45.320]   That are working on the tracking and many other aspects, computer vision related aspects.
[00:48:45.320 --> 00:48:56.320]   Also some graphics for Oculus device for MetaQuest devices.
[00:48:56.320 --> 00:49:03.320]   There was, Koaba was a startup of the computer vision lab, got acquired.
[00:49:03.320 --> 00:49:11.320]   It was a startup that 15 years ago, you could also, you could take pictures.
[00:49:11.320 --> 00:49:24.320]   Actually I think it's still their technology in Vivino where you can take a picture of a bottle and it will kind of recognize what the label is and so on and do that efficiently.
[00:49:24.320 --> 00:49:34.320]   But they were acquired by Qualcomm as part of the, you know, became part of the euphoria in Qualcomm which then got sold further to PTC.
[00:49:34.320 --> 00:49:48.320]   Which is one of, you know, you might not know it, it's not a consumer oriented company, but it's actually a big company and everything that's digital industry kind of digital twins and IOT and these type of things.
[00:49:48.320 --> 00:49:56.320]   So anyway, so they used that for doing augmented IT and other experiences at PTC.
[00:49:56.320 --> 00:50:17.320]   There was a startup called Procedural, you know, here's some computer vision work that some of Pascal Müller in particular did between graphics and the computer vision lab to label facades here and segment facades in all its components and understand that this facade had a structure that all these windows are essentially the same elements copied over and so on.
[00:50:17.320 --> 00:50:39.320]   And they developed that further to be able to build procedurally, build kind of digital cities with the idea to help urban planning so that you can generate kind of, if you put a street layout, you can generate a plausible set of buildings that, you know, with a proper style and you define the style and it will populate it and generate a whole virtual city, for example.
[00:50:39.320 --> 00:50:58.320]   So that was what Procedural was, they got acquired by Esri, which is a large international company and they're not as far as I know the mixed reality expertise center for Esri and so they're also based in Kais-Pimpf in, have their offices there.
[00:50:58.320 --> 00:51:25.320]   There's a small startup, a startup CVL that got acquired by Logitech, for example, that was doing some camera stuff. LibreVision was a startup from Marcus that was looking, that was, you know, you might have seen in football matches at some period they had like these circles and tracking players and all of these analysis of what was going on in the game and enabling the commentators to discuss, you know, the effects.
[00:51:25.320 --> 00:51:44.320]   This was all pioneered by LibreVision, so it was a mix of vision and graphics, became part of ISRT, which is, I think, a Norwegian group, if I'm not mistaken, that is kind of specialized in sports, kind of video processing things.
[00:51:44.320 --> 00:52:02.320]   FaceShift startup also from, it was a student with MacPauly, who was a professor next to Marcus Gross in computer graphics here, he's now a professor at APFL, so he was assistant professor here, became a full professor at APFL.
[00:52:02.320 --> 00:52:19.320]   This was a student and then postdoc, people, Vicer, there were other people also involved, the startup was kind of linked to APFL because that's when they started after that postdoc but was established in Zurich because, you know, Tivo and others were from here.
[00:52:19.320 --> 00:52:32.320]   And that became the basis, got acquired by APFL, this is actually when in APFL you have an emojis and you have your face tracked kind of, you know, and doing grimaces in front of your phone, that's their technology.
[00:52:32.320 --> 00:52:42.320]   So, you know, they got acquired, a bunch of people moved to Cupertino but also there's a part that stayed here.
[00:52:42.320 --> 00:52:49.320]   Now there, that's part of the team here of APFL, APFL has been growing in the meanwhile but that's one of the teams here.
[00:52:49.320 --> 00:53:04.320]   There's also another team more related to robotics and actually self-driving cars, although they cannot say that they work on self-driving cars and stuff, but that's also related, they also have computer vision expertise and people doing that there.
[00:53:04.320 --> 00:53:21.320]   There was a startup called Dacuda, they had at some point a product that was called a scanning mouse, so a mouse actually has a small light sensor below it that tracks, you know, with a laser and then reflection patterns and so on and will track your motion.
[00:53:21.320 --> 00:53:27.320]   What they did was replace that with a camera that actually just, or augment that with a camera that would look at anything below your mouse.
[00:53:27.320 --> 00:53:36.320]   So they had a little window and the mouse not only was a mouse but was also a scanner so you could scan receipts and stuff like that.
[00:53:36.320 --> 00:53:41.320]   That was their first product, of course eventually that would all be replaced by just taking a picture.
[00:53:41.320 --> 00:53:52.320]   So, but then after that they wanted to go to 3D scanning and things like this and then they got acquired by Magic Leap as the basis for the tracking team to augment the tracking team.
[00:53:52.320 --> 00:54:00.320]   In the meanwhile, most of the Magic Leap computer vision team is actually here in Zurich.
[00:54:00.320 --> 00:54:15.320]   There's about 60 people I think that do computer vision. They're in the same building as the informatics department in the AI center in Eurlico.
[00:54:15.320 --> 00:54:17.320]   What else here?
