
[00:00:00.000 --> 00:00:02.240]   >> All right.
[00:22:28.560 --> 00:22:30.560]   So the response is not linear.
[00:22:30.560 --> 00:22:32.560]   So response is kind of mostly linear,
[00:22:32.560 --> 00:22:36.560]   and then suddenly it kind of jumps and becomes like a mirror-like object.
[00:22:36.560 --> 00:22:39.560]   So if you see the third picture, the rightmost one,
[00:22:39.560 --> 00:22:45.560]   you'll see that as you kind of start looking a little bit more down
[00:22:45.560 --> 00:22:50.560]   at the grazing angles, then the table essentially has become reflective.
[00:22:50.560 --> 00:22:56.560]   So through Fresnel equations, you get that property,
[00:22:56.560 --> 00:23:01.560]   and that's what we would be implementing in one of the programming exercises.
[00:23:01.560 --> 00:23:07.560]   So let's get back to our conductors and dielectrics.
[00:23:07.560 --> 00:23:12.560]   This is a smooth copper,
[00:23:12.560 --> 00:23:16.560]   and then once you start looking at conductors,
[00:23:16.560 --> 00:23:20.560]   as I said earlier, the conductor doesn't have any transmittance.
[00:23:20.560 --> 00:23:24.560]   So light comes in, and most of it is reflected back.
[00:23:24.560 --> 00:23:26.560]   Actually, all of it is reflected back.
[00:23:26.560 --> 00:23:30.560]   Some of it is absorbed at the very fine layers of the metal,
[00:23:30.560 --> 00:23:37.560]   but for metals, basically conductors, they don't transmit any light.
[00:23:37.560 --> 00:23:41.560]   So also the response is dependent on the wavelength,
[00:23:41.560 --> 00:23:46.560]   and because we're not doing spectral or wavelength-dependent path tracing
[00:23:46.560 --> 00:23:48.560]   in this course, we're going to ignore that,
[00:23:48.560 --> 00:23:55.560]   but in reality the index of refraction of conductors is given by a complex number.
[00:23:55.560 --> 00:24:00.560]   And the complex number can be represented by two quantities,
[00:24:00.560 --> 00:24:02.560]   the real part and the imaginary part.
[00:24:02.560 --> 00:24:07.560]   So we take Eta and Kappa as two of those, the imaginary and the real part,
[00:24:07.560 --> 00:24:10.560]   and then we use those in the equations.
[00:24:10.560 --> 00:24:14.560]   So this wavelength response is what gives material the color.
[00:24:14.560 --> 00:24:16.560]   So certain wavelengths will respond differently.
[00:24:16.560 --> 00:24:19.560]   So it's not a single response.
[00:24:19.560 --> 00:24:22.560]   Different wavelengths will respond differently.
[00:24:22.560 --> 00:24:28.560]   So for, say, gold, the wavelengths that kind of capture the gold,
[00:24:28.560 --> 00:24:34.560]   they're the ones that are reflected back, and the rest of it is absorbed.
[00:24:34.560 --> 00:24:39.560]   So this is in a graph form, what I just said.
[00:24:39.560 --> 00:24:45.560]   So these are the real and imaginary parts of the response for different wavelengths.
[00:24:45.560 --> 00:24:47.560]   On the x-axis are different wavelengths.
[00:24:47.560 --> 00:24:54.560]   As you can see, the response is higher at certain wavelengths,
[00:24:54.560 --> 00:24:59.560]   and those are the colors that kind of come for this particular material.
[00:24:59.560 --> 00:25:03.560]   So each material or a conductor will kind of have these values
[00:25:03.560 --> 00:25:08.560]   that people have measured, and there are some resources that we will send you
[00:25:08.560 --> 00:25:13.560]   after this lecture to kind of get you a table of the most common materials
[00:25:13.560 --> 00:25:17.560]   and their Kappa and Eta values.
[00:25:17.560 --> 00:25:27.560]   Okay, so next we get into the specular reflections, BRDF.
[00:25:27.560 --> 00:25:35.560]   So in the ideal case, you get the final equations,
[00:25:35.560 --> 00:25:41.560]   you figure out how much of the light is reflected, how much left is transmitted,
[00:25:41.560 --> 00:25:49.560]   and then for ideal specular reflection, this is a delta function.
[00:25:49.560 --> 00:25:53.560]   So again, you will learn more about delta functions
[00:25:53.560 --> 00:25:56.560]   when you do light sampling for point lights,
[00:25:56.560 --> 00:26:01.560]   but for now, just that there is for ideal specular reflection, the response,
[00:26:01.560 --> 00:26:04.560]   because there is only one direction that the light can come out.
[00:26:04.560 --> 00:26:06.560]   The response everywhere else is zero.
[00:26:06.560 --> 00:26:10.560]   So we treat that like a delta function.
[00:26:10.560 --> 00:26:12.560]   It's a special treatment for it,
[00:26:12.560 --> 00:26:16.560]   and we will talk about it in a later lecture on how to sample these
[00:26:16.560 --> 00:26:18.560]   and how to calculate these.
[00:26:19.560 --> 00:26:24.560]   Let's keep that.
[00:26:24.560 --> 00:26:40.560]   All right, so now we have these ad hoc models for the just built,
[00:26:40.560 --> 00:26:47.560]   they are physically correct for ideal specular, ideal diffuse, and some transmittance.
[00:26:47.560 --> 00:26:50.560]   How do we combine all of this into one thing?
[00:26:50.560 --> 00:26:56.560]   So for that, we need to go back to the little bit of history.
[00:26:56.560 --> 00:27:01.560]   So in the '70s, people came up with these models without using physics,
[00:27:01.560 --> 00:27:06.560]   they just observed things and tried to look at geometry, how things would work,
[00:27:06.560 --> 00:27:11.560]   and then over time, people wanted to build more and more complex models
[00:27:11.560 --> 00:27:16.560]   that can actually represent physical materials, and these are important,
[00:27:16.560 --> 00:27:21.560]   because if you are trying to render actual materials, you want it to be accurate
[00:27:21.560 --> 00:27:23.560]   as much as possible.
[00:27:23.560 --> 00:27:30.560]   So the earlier empirical models gave way to the following models that are more physically accurate,
[00:27:30.560 --> 00:27:34.560]   and then we have these two divisions now.
[00:27:34.560 --> 00:27:37.560]   You have physically accurate models that are used in industry,
[00:27:37.560 --> 00:27:42.560]   and there are physically plausible models where they relax some assumptions
[00:27:42.560 --> 00:27:47.560]   to kind of make films and other effects which are not physically possible,
[00:27:47.560 --> 00:27:50.560]   but they would like to put them in the films.
[00:27:50.560 --> 00:27:54.560]   So they relax some of the assumptions to make physically plausible materials,
[00:27:54.560 --> 00:27:59.560]   and then you have on the left side physically accurate materials.
[00:27:59.560 --> 00:28:06.560]   So this is basically the chart of the history of how these models have evolved over time.
[00:28:06.560 --> 00:28:09.560]   You don't need to know any of this, but just to, if you are a history buff,
[00:28:09.560 --> 00:28:15.560]   you can just follow through this line of reasoning where people came up with empirical models
[00:28:15.560 --> 00:28:20.560]   and started building theoretical foundations for what these materials could be.
[00:28:20.560 --> 00:28:27.560]   So we'll go over a little bit of the couple of models that are not physical,
[00:28:27.560 --> 00:28:32.560]   just to give you an idea of how people thought about that at that time.
[00:28:32.560 --> 00:28:42.560]   So what the Fong model did was it looked at basically this ideal reflection direction
[00:28:42.560 --> 00:28:47.560]   and then blurred around that direction to get you a load.
[00:28:47.560 --> 00:28:56.560]   So basically using this exponent that is ad hoc, so again it has no physical meaning,
[00:28:56.560 --> 00:29:05.560]   just use an exponent and if, say, example, exponent is greater, the shinier the material is,
[00:29:05.560 --> 00:29:09.560]   and then if the exponent is smaller, the more diffused the material is.
[00:29:09.560 --> 00:29:19.560]   So basically it gave you a way to represent shiny materials that have some kind of a diffuse element to them.
[00:29:19.560 --> 00:29:26.560]   So it's still directional, but that looks some kind of a diffuseness that is added by using these equations.
[00:29:26.560 --> 00:29:31.560]   Again, just experimental and no physical meaning at all.
[00:29:31.560 --> 00:29:38.560]   And next was the BlinFong model, which kind of improved on this a little bit.
[00:29:38.560 --> 00:29:46.560]   Instead of taking the angle from the normal, it took an angle from something called a half factor.
[00:29:46.560 --> 00:29:54.560]   You'll see this half factor again and again in rendering, which is basically just an average of the incoming and the outgoing direction.
[00:29:54.560 --> 00:29:59.560]   So that's not the true normal, but it's a half-vector between the two.
[00:29:59.560 --> 00:30:10.560]   So using that as the basis of blurring the ideal reflection, you get certain results which are better than the Fong model.
[00:30:10.560 --> 00:30:13.560]   So the BlinFong model kind of improves on that a little bit.
[00:30:13.560 --> 00:30:16.560]   Again, not physical, it's just ad hoc.
[00:30:16.560 --> 00:30:21.560]   So there are a lot of issues with these models.
[00:30:21.560 --> 00:30:27.560]   They don't preserve energy and they could be adding energy or making things darker.
[00:30:27.560 --> 00:30:35.560]   They don't offer Fresnel effects and again there are many materials that cannot be fully represented that.
[00:30:35.560 --> 00:30:40.560]   So that was kind of like the impetus to kind of start looking for better models.
[00:30:40.560 --> 00:30:46.560]   So that's what the state of the art today is something called microfaceted theory.
[00:30:46.560 --> 00:30:57.560]   So microfaceted theory again has a history from Torrance and Sparrow and then adapted by Blin for graphics and explains a lot of the materials.
[00:30:57.560 --> 00:31:03.560]   And it's used currently with small modifications here and there, but that's pretty much the state of the art today.
[00:31:03.560 --> 00:31:12.560]   So it used to be in the past that we would show copper basically as a plastic which is copper color.
[00:31:12.560 --> 00:31:18.560]   With the microfaceted model, you can truly represent copper as it should be.
[00:31:18.560 --> 00:31:21.560]   So what is microfaceted theory?
[00:31:21.560 --> 00:31:27.560]   So imagine what you do is you look at material not as a smooth thing even though it looks smooth.
[00:31:27.560 --> 00:31:33.560]   Imagine you look through a microscope and what you see are these jagged edges.
[00:31:33.560 --> 00:31:42.560]   So everything that you see, no matter how ever smooth it looks, is actually a little bit jaggy if you look close enough.
[00:31:42.560 --> 00:31:52.560]   So what we can think of it as that these squiggly lines that you see, they are made up of facets.
[00:31:52.560 --> 00:31:57.560]   Instead of being curvy, they can be slanted and they're facets.
[00:31:57.560 --> 00:32:06.560]   So then what we look for, this complicated looking formula which we'll go over because it's important,
[00:32:06.560 --> 00:32:13.560]   is that then the BRDF can be then defined as different L coefficient that we calculated earlier
[00:32:13.560 --> 00:32:17.560]   and something called a microfaceted distribution.
[00:32:17.560 --> 00:32:21.560]   And we'll go over that.
[00:32:21.560 --> 00:32:26.560]   And the third part of that formula is the shadowing and masking term.
[00:32:26.560 --> 00:32:36.560]   And the two items below that you see, they are basically just how much of the light the viewer sees
[00:32:36.560 --> 00:32:43.560]   and then how much of the light is basically, if you look at it from the point of the light, how much of the light is coming in.
[00:32:43.560 --> 00:32:46.560]   The Jessica just cosine terms because they're dot products.
[00:32:46.560 --> 00:32:50.560]   So two cosine terms and number four.
[00:32:50.560 --> 00:32:58.560]   And then on top you have the Fresnel coefficient, the microfaceted distribution and G as the shadowing and masking terms.
[00:32:58.560 --> 00:33:01.560]   So let's go over that in detail like what these are.
[00:33:01.560 --> 00:33:07.560]   So Fresnel term we already covered, you understand that now.
[00:33:07.560 --> 00:33:10.560]   So let's go over what is this microfaceted distribution.
[00:33:10.560 --> 00:33:14.560]   So again, if looking at the surface in detail, you have these squiggly lines.
[00:33:14.560 --> 00:33:33.560]   So imagine each of these have some normal, the points that you show.
[00:33:33.560 --> 00:33:38.560]   So what we're saying essentially is that treat each of these facets like as if they are mirrors.
[00:33:38.560 --> 00:33:42.560]   So imagine there are these hundreds of mirrors on each of these.
[00:33:42.560 --> 00:33:53.560]   And what this distribution is trying to do is trying to figure out how many of these are facing the viewer or the light, right?
[00:33:53.560 --> 00:34:05.560]   So imagine like this table is made up of tiny little mirrors and you have one here and you have another one that is facing slightly different.
[00:34:05.560 --> 00:34:10.560]   And what you would do is you would try to find the normals of these facets.
[00:34:10.560 --> 00:34:20.560]   And what this distribution is trying to basically figure out is how many of these normals are facing the light direction.
[00:34:20.560 --> 00:34:28.560]   So that's because we can't measure each of these microfacets individually, we want to kind of figure that out statistically.
[00:34:28.560 --> 00:34:41.560]   So we say for something like a shiny object, you can imagine that many of these mirrors would be facing the light direction because that's what is causing all this shininess to happen.
[00:34:41.560 --> 00:34:49.560]   And for something like not as shiny, diffusive material, not many of these normals are facing the view.
[00:34:49.560 --> 00:34:56.560]   So that statistics is basically that's what it describes, how many of these normals are facing and what is the distribution of these normals.
[00:34:56.560 --> 00:35:05.560]   So it's also called the normal distribution function or NDF in the literature.
[00:35:05.560 --> 00:35:08.560]   So there are many distributions like that.
[00:35:08.560 --> 00:35:11.560]   People have over time come up with multiple distribution.
[00:35:11.560 --> 00:35:25.560]   So something like the earlier one that you saw.
[00:35:25.560 --> 00:35:29.560]   So this one is called the Beckman distribution.
[00:35:29.560 --> 00:35:34.560]   And this one is called the Blinn distribution, the one earlier.
[00:35:34.560 --> 00:35:38.560]   There is something called the GGX distribution, which is the state of the art today.
[00:35:38.560 --> 00:35:41.560]   And we're not going to cover that in detail.
[00:35:41.560 --> 00:35:42.560]   It's just a formula.
[00:35:42.560 --> 00:35:43.560]   So it's the formula for the distribution.
[00:35:43.560 --> 00:35:45.560]   We don't have to derive it.
[00:35:45.560 --> 00:35:46.560]   People have done the work for us.
[00:35:46.560 --> 00:35:50.560]   So essentially there are subtle differences between each of these distributions.
[00:35:50.560 --> 00:35:58.560]   We pick one and use one for this class.
[00:35:58.560 --> 00:36:06.560]   So these are some examples of rendering done with this different distributions.
[00:36:06.560 --> 00:36:07.560]   So now the third term.
[00:36:07.560 --> 00:36:12.560]   So the third term is something called shadowing and masking.
[00:36:12.560 --> 00:36:20.560]   So as you can see, if you look at this material from different angles,
[00:36:20.560 --> 00:36:26.560]   some of these micro facets are going to be shadowed, right?
[00:36:26.560 --> 00:36:31.560]   Because they are being obstructed by the peaks in the earlier position.
[00:36:31.560 --> 00:36:34.560]   So they can be shadowed.
[00:36:34.560 --> 00:36:53.560]   And similarly, if you look at --
[00:36:53.560 --> 00:36:58.560]   if you look at from the viewing side, same thing can happen.
[00:36:58.560 --> 00:37:00.560]   So you're not able to see all the micro facets.
[00:37:00.560 --> 00:37:03.560]   So that part is called masking.
[00:37:03.560 --> 00:37:06.560]   So it's shadowing from the light direction, masking from the view direction.
[00:37:06.560 --> 00:37:13.560]   So all this shadowing and masking will essentially reduce the number of micro facets that are visible here.
[00:37:13.560 --> 00:37:20.560]   So that's the term that defines G.
[00:37:20.560 --> 00:37:30.560]   So again, there are several equations available for G as well corresponding to each of the micro facets distributions.
[00:37:30.560 --> 00:37:33.560]   There is a corresponding shadowing and masking term that you use.
[00:37:33.560 --> 00:37:40.560]   Again, we'll use this without further explanation, but just to get an idea of what they are.
[00:37:40.560 --> 00:37:46.560]   So again, they look complicated, but they are basically math formulas.
[00:37:46.560 --> 00:37:48.560]   So you would just calculate them.
[00:37:48.560 --> 00:37:52.560]   So then our general micro facet model is now complete.
[00:37:52.560 --> 00:37:58.560]   You have the Fresnel part, the shadowing and masking part that is G.
[00:37:58.560 --> 00:38:10.560]   In between you have the micro facet distribution or the normal distribution function that is the NDF.
[00:38:10.560 --> 00:38:16.560]   So for many of these things, we would need to also sample.
[00:38:16.560 --> 00:38:22.560]   So we need to do this half angle because if you look back at the formula,
[00:38:22.560 --> 00:38:30.560]   the D term has a dependence on something called WH, which is the half angle that I talked about.
[00:38:30.560 --> 00:38:36.560]   So we have to convert from half angle to the terms that we use.
[00:38:36.560 --> 00:38:44.560]   So it basically, it's just a simple conversion.
[00:38:44.560 --> 00:38:47.560]   Okay. Everybody clear on what these things are?
[00:38:47.560 --> 00:38:58.560]   Do you know what quantities are or they're confused?
[00:38:58.560 --> 00:39:03.560]   So the micro facet model as good as it is in the state of the art, there is still some issues with that.
[00:39:03.560 --> 00:39:13.560]   So what happens is that what we have not accounted for that these rays that are coming in the red direction,
[00:39:13.560 --> 00:39:16.560]   they may interreflect within these peaks and valleys.
[00:39:16.560 --> 00:39:25.560]   So we don't account for that. We assume that it just one shot thing and there is a mirror at each of these points where the ray hits,
[00:39:25.560 --> 00:39:29.560]   which is not true because things can interreflect.
[00:39:29.560 --> 00:39:33.560]   So this part is not covered by most micro facet models.
[00:39:33.560 --> 00:39:45.560]   It doesn't happen that often, but you can see an example of it where you have some issue with too much light forming
[00:39:45.560 --> 00:39:52.560]   or not enough because things may be not hitting it the right way.
[00:39:52.560 --> 00:39:56.560]   So the interreflections are not taken into account in some of the micro facet models.
[00:39:56.560 --> 00:40:01.560]   So we can do more extensions to the micro facet model because now we have a basic idea.
[00:40:01.560 --> 00:40:09.560]   So something for an isotropic reflection, again, it's not required. It could be an extra credit.
[00:40:09.560 --> 00:40:17.560]   Another extension you could do is coated materials where you have material that has layers.
[00:40:17.560 --> 00:40:21.560]   So you have a diffuse base layer and a dielectric coating on top of that.
[00:40:21.560 --> 00:40:29.560]   So the response in that case is not just a reflection, but there is complex interactions that is happening in the coating area
[00:40:29.560 --> 00:40:37.560]   and then still, if you look at it again.
[00:40:37.560 --> 00:40:41.560]   So this diffuse base layer is having small little interactions there.
[00:40:41.560 --> 00:40:48.560]   So to capture that, they have a different model that is an extension of the micro facet model that we can cover.
[00:40:48.560 --> 00:40:54.560]   So this gives you an example of if you just have something like this versus a coated material.
[00:40:54.560 --> 00:40:56.560]   So you can look, there is a difference. It's subtle.
[00:40:56.560 --> 00:41:02.560]   The coated material versus just a shiny textured plastic.
[00:41:02.560 --> 00:41:13.560]   So what happens is when you have inter reflections within the layer and the material is diffuse, you would absorb more.
[00:41:13.560 --> 00:41:19.560]   So as you absorb more, things get darker, but also get richer in color.
[00:41:19.560 --> 00:41:31.560]   So you have basically the difference between that and that is darkness and a little bit of richer color.
[00:41:31.560 --> 00:41:35.560]   So same idea, layered materials, smooth plastic.
[00:41:35.560 --> 00:41:48.560]   So one other extension for diffuse materials is something like if you take a picture of the moon, which is shown in the top row,
[00:41:48.560 --> 00:41:52.560]   you don't see any darkening effect on the side.
[00:41:52.560 --> 00:42:00.560]   But if you render a sphere with lamberation, we know that the dependence is only on the cosine.
[00:42:00.560 --> 00:42:06.560]   So as cosine goes to one, you would get darkening around the side, as you can see here.
[00:42:06.560 --> 00:42:15.560]   So that is not correct, obviously, because you look at the moon every day, you see that it has no darkening.
[00:42:15.560 --> 00:42:19.560]   So that is caused by...
[00:42:19.560 --> 00:42:26.560]   So if you look at the moon, that is full moon like this, the light is coming from the back, the sun, and then that's what's causing that.
[00:42:26.560 --> 00:42:33.560]   So there is a certain case where you have a very rough surface, and the moon's surface is very rough,
[00:42:33.560 --> 00:42:38.560]   that you can get this extra reflection that comes out.
[00:42:38.560 --> 00:42:41.560]   So that's the retro reflection is what it's called.
[00:42:41.560 --> 00:42:48.560]   Like when you are viewing from the same direction as the light, the object can throw back light in the same direction.
[00:42:48.560 --> 00:42:52.560]   And it's counterintuitive, but it's true.
[00:42:52.560 --> 00:42:57.560]   So an example here is like if you drive on the freeway, I haven't driven here in the freeway,
[00:42:57.560 --> 00:43:06.560]   but if you drive in the US on the freeway, there are these stripes that are coated with white material.
[00:43:06.560 --> 00:43:13.560]   And as you drive, you can see those because your light from your car that hits this stripe.
[00:43:13.560 --> 00:43:21.560]   And the stripe is special because it has millions of small little spheres, glass spheres in it.
[00:43:21.560 --> 00:43:24.560]   And that is mixed in the paint and painted on the stripe.
[00:43:24.560 --> 00:43:31.560]   So what ends up happening is your car's headlight hits these spheres, again, they're very tiny,
[00:43:31.560 --> 00:43:36.560]   and through refraction process, the light comes back at you.
[00:43:36.560 --> 00:43:39.560]   So those are kind of retro reflectors.
[00:43:39.560 --> 00:43:43.560]   So we call them reflectors, but they're actually retro reflectors.
[00:43:43.560 --> 00:43:49.560]   Same idea with when you have shoes that reflect light in the night.
[00:43:49.560 --> 00:43:55.560]   They have a coating that is either they have tiny little spheres or some kind of a prism embedded in them.
[00:43:55.560 --> 00:44:02.560]   So the light basically goes around, refracts a little bit and comes back at you, not all of it, but some of it.
[00:44:02.560 --> 00:44:08.560]   So enough of it comes back that you can see the reflection come back at you.
[00:44:08.560 --> 00:44:15.560]   So these are like designed retro reflector materials so that you can kind of see in the dark
[00:44:15.560 --> 00:44:18.560]   if you have a strong light that come back to you.
[00:44:18.560 --> 00:44:23.560]   The same idea behind this mirror with this moon picture.
[00:44:23.560 --> 00:44:29.560]   So there is a particular model called the Oran Nair model that kind of tries to approximate this effect.
[00:44:29.560 --> 00:44:32.560]   And again, this is all these are extensions.
[00:44:32.560 --> 00:44:36.560]   You don't have to implement them unless you want to in your project.
[00:44:36.560 --> 00:44:39.560]   And that kind of takes care of some of that.
[00:44:39.560 --> 00:44:44.560]   You are in the meeting now.
[00:44:44.560 --> 00:44:50.560]   All right.
[00:44:50.560 --> 00:44:54.560]   So I think we'll stop here because this is a good time to stop.
[00:44:54.560 --> 00:44:59.560]   And I was going to talk a little bit more about some of the other possible extensions that you could do.
[00:44:59.560 --> 00:45:02.560]   But we have to get out of the room.
[00:45:02.560 --> 00:45:07.560]   But if you have questions, you can meet me outside the room if you want to talk about it.
[00:45:07.560 --> 00:45:13.560]   Or we can cover that in the exercise session later on Friday.
[00:45:13.560 --> 00:45:15.560]   All right. Thank you.
[00:45:15.560 --> 00:45:18.720]   (audience applauding)

