
[00:00:00.000 --> 00:00:02.120]   (gentle music)
[00:25:48.820 --> 00:25:53.580]   over the square root of n is because the variance goes down
[00:25:53.580 --> 00:25:57.620]   by one over n, and we can see that by using some
[00:25:57.620 --> 00:25:59.620]   of the probabilities we learned before.
[00:25:59.620 --> 00:26:04.260]   So first, we expand this variance of the estimator,
[00:26:04.260 --> 00:26:12.020]   and we can take out the one over n to be one over n squared
[00:26:12.020 --> 00:26:17.840]   because of this, and because I think each of these excise,
[00:26:17.840 --> 00:26:25.660]   each of these excise are sampled from the same distribution,
[00:26:25.660 --> 00:26:27.140]   no, not from the same distribution,
[00:26:27.140 --> 00:26:29.140]   because they are independent,
[00:26:29.140 --> 00:26:34.140]   we can actually take the sum out for the variance,
[00:26:34.140 --> 00:26:36.940]   and because they are from the same distribution,
[00:26:36.940 --> 00:26:38.860]   the variance should be the same,
[00:26:38.860 --> 00:26:40.980]   so it's just n of the same thing
[00:26:40.980 --> 00:26:42.700]   and one of the n's canceled out,
[00:26:42.700 --> 00:26:45.860]   so if we look on the far right,
[00:26:45.860 --> 00:26:49.300]   we see that this is actually the variance
[00:26:49.300 --> 00:26:51.500]   of a single sample estimator,
[00:26:52.340 --> 00:26:56.220]   and we see that the n sample estimator is,
[00:26:56.220 --> 00:27:00.220]   the variance of that is one over n times the variance
[00:27:00.220 --> 00:27:02.140]   of a single sample estimator,
[00:27:02.140 --> 00:27:05.820]   that means the variance goes down at the rate of one over n
[00:27:05.820 --> 00:27:10.020]   and the standard deviation at one over the square root of n.
[00:27:10.020 --> 00:27:15.200]   Yep, hopefully that's clear,
[00:27:15.200 --> 00:27:19.620]   and this is rendered images, I think,
[00:27:19.620 --> 00:27:21.820]   yeah, like 17 years ago.
[00:27:22.660 --> 00:27:25.060]   (audience member mumbles)
[00:27:25.060 --> 00:27:26.580]   Yeah, I think that's 2006.
[00:27:26.580 --> 00:27:30.500]   I think this is also rendered.
[00:27:30.500 --> 00:27:36.900]   Yes, there are other questions about the previous part.
[00:27:36.900 --> 00:27:40.300]   This is what we're gonna talk about next.
[00:27:40.300 --> 00:27:44.540]   All right, so,
[00:27:44.540 --> 00:27:51.660]   now we're going to talk about sampling random variables,
[00:27:51.660 --> 00:27:56.540]   so given a PDF, given P of X,
[00:27:56.540 --> 00:27:58.180]   how do we actually generate samples
[00:27:58.180 --> 00:28:01.300]   that come from this distribution?
[00:28:01.300 --> 00:28:05.020]   So when we're talking about sampling,
[00:28:05.020 --> 00:28:09.780]   typically what we mean is having,
[00:28:09.780 --> 00:28:13.020]   is that we have a bunch of,
[00:28:13.020 --> 00:28:16.860]   or we have a generator that can give us random numbers
[00:28:16.860 --> 00:28:20.340]   with uniform distribution between zero and one,
[00:28:20.340 --> 00:28:23.940]   so that's the canonical uniform variables,
[00:28:23.940 --> 00:28:28.940]   which I will actually call Xs in the following sometimes,
[00:28:28.940 --> 00:28:33.980]   and we want to turn them into random variables
[00:28:33.980 --> 00:28:36.100]   or into numbers that are distributed
[00:28:36.100 --> 00:28:38.180]   according to the desired distribution.
[00:28:38.180 --> 00:28:44.100]   So one particular type of these sampling applications
[00:28:44.100 --> 00:28:49.300]   is like how do we sample uniformly on some domain?
[00:28:49.300 --> 00:28:52.540]   So we've learned, so we're given a uniform sample
[00:28:52.540 --> 00:28:54.540]   between the interval zero and one,
[00:28:54.540 --> 00:28:57.940]   we can, we're seeing how to sample between A and B,
[00:28:57.940 --> 00:29:01.940]   and how do we sample a point on a circle,
[00:29:01.940 --> 00:29:05.660]   or within a circle, how do we sample a point
[00:29:05.660 --> 00:29:09.420]   on a sphere surface, or on a hemisphere,
[00:29:09.420 --> 00:29:14.900]   or some more random arbitrary complex domains,
[00:29:14.900 --> 00:29:16.660]   so that's one of the,
[00:29:16.660 --> 00:29:20.660]   that's one important range of sampling
[00:29:20.660 --> 00:29:23.940]   that we will need to discuss and implement.
[00:29:23.940 --> 00:29:30.260]   So one example that we will talk a lot about
[00:29:30.260 --> 00:29:33.300]   is how to uniformly sample a disk,
[00:29:33.300 --> 00:29:37.380]   so suppose we have this light source
[00:29:37.380 --> 00:29:41.900]   that is just round, that is a circle,
[00:29:41.900 --> 00:29:44.300]   and we want to sample point within it.
[00:29:45.500 --> 00:29:49.860]   So if we are given, so the probability density
[00:29:49.860 --> 00:29:52.980]   of this sampling unit disk would be like that,
[00:29:52.980 --> 00:29:55.820]   if we define it in the Cartesian coordinates,
[00:29:55.820 --> 00:29:58.140]   basically within the disk it's one over pi,
[00:29:58.140 --> 00:30:02.980]   otherwise it would be zeros, so this is the goal.
[00:30:02.980 --> 00:30:07.900]   And here, as I mentioned before,
[00:30:07.900 --> 00:30:11.900]   the casis we got, they are from the canonical
[00:30:11.900 --> 00:30:14.420]   uniform distribution, so they only cover
[00:30:14.420 --> 00:30:19.420]   the unit hyper, how do I say the unit hypercube,
[00:30:19.420 --> 00:30:23.060]   depending on the number of dimensions,
[00:30:23.060 --> 00:30:25.660]   here it's just the unit square,
[00:30:25.660 --> 00:30:28.540]   and we will need to somehow transform it
[00:30:28.540 --> 00:30:31.820]   to give us random numbers inside the unit disk.
[00:30:31.820 --> 00:30:38.020]   So we can first say, surround the disk with a square
[00:30:38.020 --> 00:30:41.660]   and reject a sample inside the square
[00:30:41.660 --> 00:30:44.260]   and reject samples that are outside of the disk.
[00:30:44.260 --> 00:30:46.740]   So this is what we call rejection sampling,
[00:30:46.740 --> 00:30:51.580]   and there is also you see the transformation
[00:30:51.580 --> 00:30:54.940]   between from zero to one to minus one to one,
[00:30:54.940 --> 00:30:57.260]   so that's one minus two times c.
[00:30:57.260 --> 00:31:01.500]   And we can actually use this technique
[00:31:01.500 --> 00:31:03.860]   for sampling a sphere, so as you can already see,
[00:31:03.860 --> 00:31:05.580]   we're already wasting a bit of samples,
[00:31:05.580 --> 00:31:09.900]   but no worries, this is only like 20% of the samples,
[00:31:09.900 --> 00:31:12.020]   it's fine, we're good.
[00:31:12.020 --> 00:31:13.660]   And we can also use the similar technique
[00:31:13.660 --> 00:31:18.660]   for sampling a sphere, yeah, this is a sphere,
[00:31:18.660 --> 00:31:24.940]   and it can be surrounded by a cube,
[00:31:24.940 --> 00:31:29.140]   so we assume that this sphere is also a unisphere centered
[00:31:29.140 --> 00:31:31.700]   at origin with radius of one,
[00:31:31.700 --> 00:31:36.180]   so we can sample within this cube.
[00:31:36.180 --> 00:31:39.060]   So suppose the goal is to actually sample
[00:31:39.060 --> 00:31:40.540]   a point on the sphere,
[00:31:41.540 --> 00:31:45.300]   we can still just reject the samples
[00:31:45.300 --> 00:31:47.820]   that are outside of the sphere
[00:31:47.820 --> 00:31:50.380]   and then do this normalization to project
[00:31:50.380 --> 00:31:53.940]   the resulting samples onto the sphere,
[00:31:53.940 --> 00:31:57.300]   so this will actually give us uniform distribution
[00:31:57.300 --> 00:31:58.620]   on the sphere surface.
[00:31:58.620 --> 00:32:02.220]   So we can also do that for the hemisphere,
[00:32:02.220 --> 00:32:07.220]   we can reject samples not in the hemisphere,
[00:32:09.220 --> 00:32:14.220]   project, and then we can also do this,
[00:32:14.220 --> 00:32:16.140]   like, but then how do we do this
[00:32:16.140 --> 00:32:17.860]   for an arbitrary orientation?
[00:32:17.860 --> 00:32:23.140]   Yeah, we can check and reject things
[00:32:23.140 --> 00:32:28.020]   that are not within this hemisphere of this orientation,
[00:32:28.020 --> 00:32:30.820]   but I think can probably spot something
[00:32:30.820 --> 00:32:32.220]   that we can improve here.
[00:32:32.220 --> 00:32:38.740]   Yeah, do you have ideas of how to improve this procedure?
[00:32:38.740 --> 00:32:43.740]   (audience member speaking off microphone)
[00:32:43.740 --> 00:32:48.620]   Yes?
[00:32:48.620 --> 00:32:52.260]   (audience member speaking off microphone)
[00:32:52.260 --> 00:32:54.860]   Yes, so the while loop here
[00:32:54.860 --> 00:32:56.660]   is because of the rejection, right?
[00:32:56.660 --> 00:33:01.660]   (audience member speaking off microphone)
[00:33:01.660 --> 00:33:05.700]   Yeah, so I think that is a very good point,
[00:33:05.700 --> 00:33:08.380]   but so this will be covered, I think, later
[00:33:08.380 --> 00:33:12.180]   in this lecture, so the problem there is
[00:33:12.180 --> 00:33:14.500]   I do not know the distribution,
[00:33:14.500 --> 00:33:16.020]   I don't know yet the distribution
[00:33:16.020 --> 00:33:18.700]   that these spherical coordinates should take
[00:33:18.700 --> 00:33:20.420]   and whether they would actually give me
[00:33:20.420 --> 00:33:24.140]   the uniform distribution on the sphere surface.
[00:33:24.140 --> 00:33:27.740]   Yeah, so, any other ideas, maybe?
[00:33:27.740 --> 00:33:34.300]   (audience member speaking off microphone)
[00:33:35.220 --> 00:33:40.220]   (audience member speaking off microphone)
[00:33:40.220 --> 00:33:43.940]   Yes, so that's what it does, right?
[00:33:43.940 --> 00:33:47.740]   So this is still within this rejection sampling framework,
[00:33:47.740 --> 00:33:50.460]   like I don't need to actually compute
[00:33:50.460 --> 00:33:54.660]   in another coordinate system what is the correct
[00:33:54.660 --> 00:33:57.980]   distribution I want, but I can just still say
[00:33:57.980 --> 00:34:00.380]   improve the efficiency by two,
[00:34:00.380 --> 00:34:03.540]   by actually using both sides of the,
[00:34:03.540 --> 00:34:05.900]   both hemispheres to sample.
[00:34:05.900 --> 00:34:08.780]   But still, it would,
[00:34:08.780 --> 00:34:11.980]   this would achieve our goal,
[00:34:11.980 --> 00:34:16.980]   but it would actually be inefficient.
[00:34:16.980 --> 00:34:19.300]   I mean, as you have more and more complex shapes,
[00:34:19.300 --> 00:34:22.220]   you might actually waste more and more samples
[00:34:22.220 --> 00:34:24.460]   and you can already see that it's quite flexible,
[00:34:24.460 --> 00:34:25.580]   as long as you have a shape,
[00:34:25.580 --> 00:34:27.700]   you can define inside/outside,
[00:34:27.700 --> 00:34:29.580]   you can do this sort of sampling,
[00:34:29.580 --> 00:34:32.500]   given some uniform random numbers.
[00:34:32.500 --> 00:34:37.540]   Yeah, but the inefficiency and also it's,
[00:34:37.540 --> 00:34:39.660]   at least sometimes it's difficult to combine
[00:34:39.660 --> 00:34:42.700]   with the stratification that we mentioned before
[00:34:42.700 --> 00:34:45.020]   because now if we stratify the domain,
[00:34:45.020 --> 00:34:49.300]   if we slice the square into some smaller squares,
[00:34:49.300 --> 00:34:52.380]   smaller places, some of them may just be outside,
[00:34:52.380 --> 00:34:56.780]   I think, outside of the thing that we want to sample.
[00:34:56.780 --> 00:34:59.580]   So maybe that breaks some nice properties.
[00:34:59.580 --> 00:35:05.220]   Right, so, let me see.
[00:35:05.220 --> 00:35:10.820]   So one, so after the rejection sampling,
[00:35:10.820 --> 00:35:14.100]   let's look at some actual application
[00:35:14.100 --> 00:35:16.060]   in the rendering setup.
[00:35:16.060 --> 00:35:19.420]   So we have diffuse objects,
[00:35:19.420 --> 00:35:22.020]   we learned last time what diffuse is,
[00:35:22.020 --> 00:35:24.980]   and we have illumination by ambient white skies,
[00:35:24.980 --> 00:35:27.460]   so what this means is that from all directions
[00:35:27.460 --> 00:35:29.300]   you get a constant illumination.
[00:35:29.300 --> 00:35:33.300]   And here is what we want to compute,
[00:35:33.300 --> 00:35:35.540]   we want to compute like the direct illumination
[00:35:35.540 --> 00:35:40.780]   from at each point that we see.
[00:35:40.780 --> 00:35:44.460]   Because of the simplified setup,
[00:35:44.460 --> 00:35:47.700]   we would be able to simplify this equation.
[00:35:47.700 --> 00:35:54.220]   I think to this,
[00:35:54.220 --> 00:35:58.540]   so there are two things to simplify.
[00:35:58.540 --> 00:36:01.500]   First, the illumination,
[00:36:01.500 --> 00:36:03.740]   which is the LI in this equation,
[00:36:03.740 --> 00:36:05.100]   which is LI in this equation,
[00:36:05.100 --> 00:36:10.100]   and that is just, I think, assumed to be one now.
[00:36:10.100 --> 00:36:14.100]   And then the BRDF term,
[00:36:14.100 --> 00:36:18.380]   there is diffuse, so we have some albedo rho over pi,
[00:36:18.380 --> 00:36:20.300]   and then we have the visibility term,
[00:36:20.300 --> 00:36:23.260]   which means whether we can actually see the sky
[00:36:23.260 --> 00:36:24.340]   in that direction.
[00:36:24.340 --> 00:36:28.900]   So to be able to do this rendering,
[00:36:28.900 --> 00:36:30.340]   to do this integration,
[00:36:30.340 --> 00:36:35.340]   we rely on Monte Carlo,
[00:36:35.340 --> 00:36:38.100]   and let's see how it's done.
[00:36:38.100 --> 00:36:44.740]   Let's say,
[00:36:44.740 --> 00:36:48.780]   so this is what the visibility term actually means.
[00:36:48.780 --> 00:36:52.980]   So V would be one in this blue range,
[00:36:52.980 --> 00:36:56.020]   and V zero in this red range.
[00:36:56.020 --> 00:37:01.380]   Okay, so first, we replace the integral
[00:37:01.380 --> 00:37:04.740]   by an estimator with Monte Carlo integration,
[00:37:04.740 --> 00:37:06.900]   so this would be like the general recipe,
[00:37:06.900 --> 00:37:10.140]   the first step to do Monte Carlo integration,
[00:37:10.140 --> 00:37:15.140]   you take the integral and replace the integral symbol
[00:37:15.140 --> 00:37:20.740]   by a sum of some samples,
[00:37:20.740 --> 00:37:22.300]   and divide by the PDF,
[00:37:22.300 --> 00:37:25.660]   and divide by the number of samples outside, yeah,
[00:37:25.660 --> 00:37:29.300]   and then we want to know the PDF.
[00:37:29.300 --> 00:37:34.140]   So there are some options that we can take.
[00:37:34.140 --> 00:37:36.580]   So first, we can just sample uniformly
[00:37:36.580 --> 00:37:37.820]   within the hemisphere,
[00:37:37.820 --> 00:37:42.180]   because the hemisphere has the area of two pi,
[00:37:42.180 --> 00:37:47.180]   and the PDF is just constant,
[00:37:47.180 --> 00:37:50.620]   and this is what we get after we plug in
[00:37:50.620 --> 00:37:51.660]   the PDF.
[00:37:51.660 --> 00:37:57.180]   So this is an illustration of how this would translate
[00:37:57.180 --> 00:37:59.420]   to this simple C.
[00:37:59.420 --> 00:38:02.500]   As you can see that all directions in the hemisphere
[00:38:02.500 --> 00:38:05.260]   has equal chance of being sampled.
[00:38:05.260 --> 00:38:09.460]   So the problem there is that those rays
[00:38:09.460 --> 00:38:14.180]   that are almost horizontal or parallel to the ground,
[00:38:14.180 --> 00:38:17.620]   they contribute very little to the actual integral
[00:38:17.620 --> 00:38:21.260]   because of this cosine four-shortening term.
[00:38:21.260 --> 00:38:26.340]   So they would actually be one source of variance,
[00:38:26.340 --> 00:38:28.060]   so whatever is not certain there
[00:38:28.060 --> 00:38:30.420]   can be a source of variance.
[00:38:30.420 --> 00:38:34.740]   So what we can improve with our PDF
[00:38:34.740 --> 00:38:38.380]   is by actually taking into account of this cosine term.
[00:38:38.380 --> 00:38:41.660]   So we are actually sampling according to the cosine,
[00:38:41.660 --> 00:38:44.940]   and the normalization becomes pi,
[00:38:45.860 --> 00:38:50.420]   and now we get a simpler equation,
[00:38:50.420 --> 00:38:53.540]   which just contains in the sum the visibility.
[00:38:53.540 --> 00:39:00.580]   So as you can see in the bottom right illustration,
[00:39:00.580 --> 00:39:03.420]   now the directions that are more towards up
[00:39:03.420 --> 00:39:04.780]   are sampled more frequently,
[00:39:04.780 --> 00:39:07.940]   and those that are towards parallel to the ground
[00:39:07.940 --> 00:39:12.460]   are sampled much less.
[00:39:15.700 --> 00:39:19.500]   So for this, to see the actual effect,
[00:39:19.500 --> 00:39:24.500]   we can compare these two sampling PDFs visually.
[00:39:24.500 --> 00:39:29.140]   So this is actually like just that scene in 3D.
[00:39:29.140 --> 00:39:30.380]   So if we just take one sample
[00:39:30.380 --> 00:39:32.020]   with the uniform hemisphere sampling,
[00:39:32.020 --> 00:39:34.220]   we see we get this image,
[00:39:34.220 --> 00:39:38.100]   and if we use the cosine weighted hemispherical sampling,
[00:39:38.100 --> 00:39:39.860]   we get actually this image.
[00:39:39.860 --> 00:39:42.540]   From my perspective, I think you can also see it.
[00:39:42.540 --> 00:39:46.220]   One major difference is that first,
[00:39:46.220 --> 00:39:49.020]   you get much less noise,
[00:39:49.020 --> 00:39:50.820]   you get much less noise on the bottom,
[00:39:50.820 --> 00:39:54.220]   but also you don't see this clear cut,
[00:39:54.220 --> 00:39:56.580]   clear cut of noise and clean
[00:39:56.580 --> 00:39:59.260]   that we see on the uniform hemispherical sampling.
[00:39:59.260 --> 00:40:02.020]   So why is that?
[00:40:02.020 --> 00:40:05.900]   So this is because there is a plane,
[00:40:05.900 --> 00:40:07.900]   and in the back there's just nothing,
[00:40:07.900 --> 00:40:11.420]   so you just shoot the camera towards the sky,
[00:40:11.420 --> 00:40:13.980]   and you get a constant value always,
[00:40:13.980 --> 00:40:17.140]   but then when you hit the plane,
[00:40:17.140 --> 00:40:18.940]   you have a cosine term,
[00:40:18.940 --> 00:40:20.820]   and that cosine term can cause variance
[00:40:20.820 --> 00:40:23.020]   basically everywhere on the plane,
[00:40:23.020 --> 00:40:24.700]   but here on the bottom,
[00:40:24.700 --> 00:40:26.420]   you don't have that cosine term anymore,
[00:40:26.420 --> 00:40:30.860]   so the only source of noise is from the visibility.
[00:40:30.860 --> 00:40:31.700]   So like,
[00:40:31.700 --> 00:40:36.340]   then you get actually,
[00:40:36.340 --> 00:40:38.940]   don't get, like when the visibility is perfect,
[00:40:38.940 --> 00:40:41.500]   you actually don't get any noise.
[00:40:41.500 --> 00:40:45.100]   And if we increase the sample count,
[00:40:45.100 --> 00:40:46.900]   we can see that, I mean,
[00:40:46.900 --> 00:40:48.140]   how many samples you use,
[00:40:48.140 --> 00:40:50.780]   the bottom would typically look cleaner.
[00:40:50.780 --> 00:40:54.740]   This is 16, this is 256.
[00:40:54.740 --> 00:40:57.420]   I think you can still see that the bottom,
[00:40:57.420 --> 00:40:59.580]   top one is noisier,
[00:40:59.580 --> 00:41:03.300]   and eventually at 1024 samples,
[00:41:03.300 --> 00:41:05.340]   the bottom one already seemed pretty good,
[00:41:05.340 --> 00:41:07.100]   and if you spot closely,
[00:41:07.100 --> 00:41:10.300]   you can still spot noise on the top part.
[00:41:10.300 --> 00:41:17.420]   All right, questions about the previous parts?
[00:41:17.420 --> 00:41:21.420]   All right.
[00:41:21.420 --> 00:41:28.540]   So what we were trying to do
[00:41:28.540 --> 00:41:35.380]   is actually an example of important sampling.
[00:41:35.380 --> 00:41:38.660]   So important sampling, by definition,
[00:41:38.660 --> 00:41:41.700]   means sampling important parts.
[00:41:41.700 --> 00:41:46.060]   So sampling important parts more frequently,
[00:41:46.060 --> 00:41:47.460]   that's what it means.
[00:41:47.460 --> 00:41:52.540]   So given this integral and this estimator,
[00:41:52.540 --> 00:41:55.260]   what we have control is over the p,
[00:41:55.260 --> 00:41:57.500]   over the PDF, so the p of x.
[00:41:57.500 --> 00:42:01.020]   So if we do the thought experiment,
[00:42:01.020 --> 00:42:03.460]   if the PDF is actually a constant,
[00:42:03.460 --> 00:42:06.780]   times the actual integral value,
[00:42:06.780 --> 00:42:10.700]   what would we get as the estimator?
[00:42:10.700 --> 00:42:14.300]   Do we still need multiple samples?
[00:42:14.300 --> 00:42:20.380]   So this would be actually the normalization factor,
[00:42:20.380 --> 00:42:25.660]   and we can see that,
[00:42:25.660 --> 00:42:29.340]   given any sample, just take one sample
[00:42:29.340 --> 00:42:31.380]   and we get actually the correct integral value,
[00:42:31.380 --> 00:42:34.940]   so we have no variance, which is good,
[00:42:34.940 --> 00:42:37.620]   which is, yeah, we achieved our goal,
[00:42:37.620 --> 00:42:41.220]   but note that we already know
[00:42:41.220 --> 00:42:43.820]   what the integral is when computing the normalization.
[00:42:43.820 --> 00:42:47.220]   So this is not achievable in practice,
[00:42:47.220 --> 00:42:54.860]   but we can always do better if we have a PDF
[00:42:54.860 --> 00:42:57.620]   that is similar to the function that we want to integrate.
[00:42:57.620 --> 00:43:00.260]   So before we have a cosine term
[00:43:00.260 --> 00:43:04.860]   in the function, and if we sample according to a cosine term,
[00:43:04.860 --> 00:43:08.100]   we see that we get less variance.
[00:43:08.100 --> 00:43:10.260]   So in 1D, this would be like
[00:43:10.260 --> 00:43:13.420]   if we have this sort of weekly FX,
[00:43:13.420 --> 00:43:16.420]   and if we do uniform sampling over the domain,
[00:43:16.420 --> 00:43:18.500]   it will give higher variance
[00:43:18.500 --> 00:43:22.220]   than if we do the important sampling with some p of x
[00:43:22.220 --> 00:43:25.580]   that is more similar to the shape of F.
[00:43:27.620 --> 00:43:31.380]   So in a lot of the techniques,
[00:43:31.380 --> 00:43:33.780]   we will introduce later,
[00:43:33.780 --> 00:43:35.980]   like for rendering, for sampling some,
[00:43:35.980 --> 00:43:38.740]   like for rendering, like sampling this thing,
[00:43:38.740 --> 00:43:42.340]   sampling that thing, what we are trying to do
[00:43:42.340 --> 00:43:46.220]   is try to sample as proportional to the integrand as possible,
[00:43:46.220 --> 00:43:49.420]   so because that will save us time for rendering
[00:43:49.420 --> 00:43:53.980]   and eventually just get cleaner images faster.
[00:43:55.020 --> 00:44:00.540]   So with this definition,
[00:44:00.540 --> 00:44:03.140]   we can look at this ambient occlusion estimator.
[00:44:03.140 --> 00:44:05.420]   When we do the uniform hemispherical sampling,
[00:44:05.420 --> 00:44:07.940]   we are not doing actually important sampling over anything
[00:44:07.940 --> 00:44:11.180]   over that's similar to the integrand,
[00:44:11.180 --> 00:44:16.820]   so we get higher noise or variance,
[00:44:16.820 --> 00:44:19.140]   but if we use a PDF according to the cosine,
[00:44:19.140 --> 00:44:21.780]   we get a simpler estimator
[00:44:21.780 --> 00:44:31.380]   and also just in general a lower variance in the image.
[00:44:31.380 --> 00:44:35.940]   So one may also want to important sample that visibility term,
[00:44:35.940 --> 00:44:38.820]   so if we actually know at each point of the scene
[00:44:38.820 --> 00:44:42.580]   where it can see the sky, then we actually get no noise at all,
[00:44:42.580 --> 00:44:44.860]   and that is perfectly correct,
[00:44:44.860 --> 00:44:49.580]   unless, like until we realize that it's impossible,
[00:44:49.580 --> 00:44:52.180]   I mean, it's often impossible to know beforehand
[00:44:52.180 --> 00:44:55.180]   what is actually visible and what is not
[00:44:55.180 --> 00:44:58.900]   until you're at the location and sample something.
[00:44:58.900 --> 00:45:00.100]   All right?
[00:45:00.100 --> 00:45:02.940]   I think that's a good timing for me,
[00:45:02.940 --> 00:45:06.220]   so we will continue after the break.
[00:45:06.220 --> 00:45:12.940]   So we'll come back.
[00:45:12.940 --> 00:45:16.940]   Yeah, there were some questions during the interval
[00:45:16.940 --> 00:45:20.700]   that may be worth clarifying a little bit,
[00:45:20.700 --> 00:45:25.060]   particularly about, like here,
[00:45:25.060 --> 00:45:29.620]   what is this cosine term that we get?
[00:45:29.620 --> 00:45:32.380]   So this would, I think maybe from a previous lecture,
[00:45:32.380 --> 00:45:35.540]   we would see that if you have a surface
[00:45:35.540 --> 00:45:37.900]   and you have a light source illuminating it,
[00:45:37.900 --> 00:45:39.940]   depending on the angle between the light source
[00:45:39.940 --> 00:45:42.860]   and the surface itself,
[00:45:42.860 --> 00:45:47.100]   the unit area on the surface gets, like, more or less
[00:45:47.100 --> 00:45:50.580]   amount of light and can reflect more or less,
[00:45:50.580 --> 00:45:54.180]   and that more or less is dependent on the cosine
[00:45:54.180 --> 00:45:57.740]   of the light source direction
[00:45:57.740 --> 00:46:00.140]   with respect to the surface normal,
[00:46:00.140 --> 00:46:02.220]   so the surface normal would be there.
[00:46:02.220 --> 00:46:04.900]   Yeah, be perpendicular to the surface.
[00:46:04.900 --> 00:46:11.260]   All right, after we see some images,
[00:46:12.260 --> 00:46:17.260]   we will move into the next part of this lecture,
[00:46:17.260 --> 00:46:21.260]   which is when we have P of x,
[00:46:21.260 --> 00:46:24.260]   how to actually generate samples from it.
[00:46:24.260 --> 00:46:29.260]   So how to actually sample it, sample a distribution,
[00:46:29.260 --> 00:46:33.260]   meaning how to turn xy into numbers
[00:46:33.260 --> 00:46:37.260]   that are distributed according to this distribution.
[00:46:38.260 --> 00:46:42.260]   So we have, first, the inversion method,
[00:46:42.260 --> 00:46:47.260]   which basically means I want to know what value of x is
[00:46:47.260 --> 00:46:54.260]   at, say, a random percentile of this distribution,
[00:46:54.260 --> 00:46:59.260]   so if I know that, then I can actually just take a sample
[00:46:59.260 --> 00:47:03.260]   at, say, at 10%, 20%, 50%, whatever,
[00:47:03.260 --> 00:47:06.260]   then those samples will be distributed
[00:47:06.260 --> 00:47:10.260]   according to my distribution, P of x.
[00:47:10.260 --> 00:47:13.260]   So to do that, we first compute the CDF,
[00:47:13.260 --> 00:47:16.260]   which would be a monotonic function,
[00:47:16.260 --> 00:47:18.260]   because P of x is non-negative,
[00:47:18.260 --> 00:47:20.260]   like the PDF is non-negative,
[00:47:20.260 --> 00:47:24.260]   and if we can compute its inverse, we do it,
[00:47:24.260 --> 00:47:27.260]   and we get a kasey,
[00:47:27.260 --> 00:47:30.260]   and we would do this,
[00:47:30.260 --> 00:47:32.260]   so the kasey is, you can think of it
[00:47:32.260 --> 00:47:35.260]   as this percentile that we want to actually find out,
[00:47:35.260 --> 00:47:40.260]   and we just find that out by taking the inverse of the CDF.
[00:47:40.260 --> 00:47:46.260]   So, for example, about 68% percent is at there,
[00:47:46.260 --> 00:47:49.260]   and about, like, 90% is at there,
[00:47:49.260 --> 00:47:51.260]   and if we take more and more samples,
[00:47:51.260 --> 00:47:54.260]   they will be distributed according to the PDF
[00:47:54.260 --> 00:47:57.260]   that we see on the left.
[00:47:57.260 --> 00:48:00.260]   So intuitively, you can see that it's very difficult
[00:48:00.260 --> 00:48:03.260]   to sample anything at zero, around zero,
[00:48:03.260 --> 00:48:08.260]   or around one, which, like, also matches intuitively.
[00:48:08.260 --> 00:48:14.260]   Let's take a simple example, 1D,
[00:48:14.260 --> 00:48:19.260]   with the PDF, just, P of y is 2y,
[00:48:19.260 --> 00:48:22.260]   so that's the near ramp,
[00:48:22.260 --> 00:48:27.260]   and the CDF is simple to compute,
[00:48:27.260 --> 00:48:32.260]   and also there's the inverse of that,
[00:48:32.260 --> 00:48:40.260]   and then we would be able to get a sample
[00:48:40.260 --> 00:48:44.260]   according to this PDF, yi,
[00:48:44.260 --> 00:48:47.260]   if we take the square root of xi,
[00:48:47.260 --> 00:48:50.260]   well, should be xi, but, yeah, it's the same,
[00:48:50.260 --> 00:48:55.260]   so if it's from a canonical uniform distribution.
[00:48:55.260 --> 00:49:01.260]   So, after that, we may want to know
[00:49:01.260 --> 00:49:04.260]   if this commutation is correct,
[00:49:04.260 --> 00:49:07.260]   so if we actually computed some samples
[00:49:07.260 --> 00:49:10.260]   that actually would follow the distribution we want,
[00:49:10.260 --> 00:49:13.260]   so, because we already defined a transformation
[00:49:13.260 --> 00:49:17.260]   between x and y,
[00:49:17.260 --> 00:49:20.260]   so we can actually use this method,
[00:49:20.260 --> 00:49:23.260]   so we call somewhat the Jacobian method
[00:49:23.260 --> 00:49:27.260]   to, say, compute the density,
[00:49:27.260 --> 00:49:31.260]   if we have, say, the density of x, Px of x,
[00:49:31.260 --> 00:49:34.260]   then we have the transform t,
[00:49:34.260 --> 00:49:38.260]   we can compute the density Py of y
[00:49:38.260 --> 00:49:41.260]   by dividing by the determinant,
[00:49:41.260 --> 00:49:45.260]   well, absolute value of the determinant of the Jacobian,
[00:49:45.260 --> 00:49:55.260]   which, so the Jacobian is, yeah, but y,
[00:49:55.260 --> 00:50:00.260]   so the Jacobian is, like, this is just intuitive,
[00:50:00.260 --> 00:50:06.260]   I think, the Jacobian is a linear approximation,
[00:50:06.260 --> 00:50:09.260]   a local approximation of the transformation,
[00:50:09.260 --> 00:50:12.260]   and the matrix determinant would describe
[00:50:12.260 --> 00:50:16.260]   the stretching or compressing of volume,
[00:50:16.260 --> 00:50:20.260]   and then the Jacobian determinant would describe
[00:50:20.260 --> 00:50:24.260]   the local stretching by applying the transformation,
[00:50:24.260 --> 00:50:30.260]   so if we think about it, if y equals, say, 3x,
[00:50:30.260 --> 00:50:34.260]   then the determinant would be just 3,
[00:50:34.260 --> 00:50:39.260]   and intuitively you would think that if P of x is 1,
