
[00:00:00.000 --> 00:00:02.240]   - Great, hello everyone.
[00:24:31.540 --> 00:24:33.420]   on how you can do this yourself
[00:24:33.420 --> 00:24:35.420]   should you wish to follow along later.
[00:24:36.260 --> 00:24:41.260]   We have an intro about Git and the file storage system,
[00:24:41.260 --> 00:24:47.140]   as well as cloning and compilation instructions.
[00:24:47.140 --> 00:24:51.100]   So, what I'm gonna follow is this part here
[00:24:51.100 --> 00:24:54.420]   where we do it on Windows Visual Studio.
[00:24:54.420 --> 00:25:02.380]   And what we want to do is we want to click on the project
[00:25:02.380 --> 00:25:04.700]   and CMake settings.
[00:25:05.700 --> 00:25:09.060]   And it gives us a configuration file
[00:25:09.060 --> 00:25:13.260]   of how to build the CMake project.
[00:25:13.260 --> 00:25:15.220]   There's a few things we might want to change.
[00:25:15.220 --> 00:25:18.300]   So, first of all, you can do a debug run,
[00:25:18.300 --> 00:25:20.060]   but that's very slow.
[00:25:20.060 --> 00:25:23.260]   So, if we click on
[00:25:23.260 --> 00:25:28.020]   Release, we get another build,
[00:25:28.020 --> 00:25:29.980]   relative to that info.
[00:25:29.980 --> 00:25:32.220]   It's a good middle ground.
[00:25:33.260 --> 00:25:37.460]   Then all this is fine, and, oh, errors already.
[00:25:37.460 --> 00:25:39.660]   Good start.
[00:25:39.660 --> 00:25:44.620]   Likely what you might need to do
[00:25:44.620 --> 00:25:45.940]   on the default branches,
[00:25:45.940 --> 00:25:49.140]   switch to one of these other generators.
[00:25:49.140 --> 00:25:55.500]   For example, this one, 64 bit, Visual Studio 17.
[00:25:55.500 --> 00:25:58.900]   And then you can save this
[00:26:01.260 --> 00:26:03.420]   and hope that everything works.
[00:26:03.420 --> 00:26:10.460]   Oh, no.
[00:26:10.460 --> 00:26:17.180]   (man speaking off mic)
[00:26:17.180 --> 00:26:19.220]   Oh, right.
[00:26:19.220 --> 00:26:25.060]   So, we generate our release build
[00:26:25.060 --> 00:26:26.420]   on this, we get rid of.
[00:26:26.420 --> 00:26:29.760]   (man speaking off mic)
[00:26:29.760 --> 00:26:46.020]   And it takes a while.
[00:26:46.020 --> 00:26:54.300]   But it does work.
[00:26:54.820 --> 00:26:58.380]   (man speaking off mic)
[00:26:58.380 --> 00:27:00.620]   Then you can select your startup item,
[00:27:00.620 --> 00:27:05.260]   which will be nori.exe, if it's built already,
[00:27:05.260 --> 00:27:07.940]   which it might not be bad.
[00:27:07.940 --> 00:27:09.260]   Okay.
[00:27:09.260 --> 00:27:10.100]   So,
[00:27:10.100 --> 00:27:13.100]   unless we can build our project.
[00:27:13.100 --> 00:27:16.440]   (man speaking off mic)
[00:27:42.820 --> 00:27:44.900]   And this takes a while for the first time you run it,
[00:27:44.900 --> 00:27:47.260]   because there's a lot of libraries
[00:27:47.260 --> 00:27:50.180]   that we need to compile in the background
[00:27:50.180 --> 00:27:52.940]   for doing the asynchronous computing.
[00:27:52.940 --> 00:27:55.820]   For the GUI, I think, a couple of others.
[00:27:55.820 --> 00:27:59.860]   While that's working, let me tell you about
[00:27:59.860 --> 00:28:03.540]   a nice image viewer that we have for you.
[00:28:03.540 --> 00:28:05.740]   Because you can view images,
[00:28:05.740 --> 00:28:08.140]   your EXR images inside of nori.
[00:28:08.140 --> 00:28:11.860]   And these are images with a much larger dynamic range
[00:28:11.860 --> 00:28:16.700]   than what you can represent in PNGs or JPEGs.
[00:28:16.700 --> 00:28:18.100]   And you need special viewers.
[00:28:18.100 --> 00:28:24.140]   For that, we have TV, which is somewhere mentioned.
[00:28:24.140 --> 00:28:35.740]   Well, not here.
[00:28:35.740 --> 00:28:36.580]   Do we do that?
[00:28:36.580 --> 00:28:38.300]   (man speaking off mic)
[00:28:38.300 --> 00:28:39.140]   Yeah.
[00:28:41.180 --> 00:28:44.940]   We invoke Google and type in TV.
[00:28:44.940 --> 00:28:47.300]   And we don't get the right result
[00:28:47.300 --> 00:28:49.460]   because that is a very generic acronym.
[00:28:49.460 --> 00:28:54.260]   Ah, that's the one.
[00:28:54.260 --> 00:28:57.060]   So you can get this.
[00:28:57.060 --> 00:29:00.660]   It's got some pre-compiled binaries already,
[00:29:00.660 --> 00:29:02.460]   if you're on Windows, which is nice.
[00:29:02.460 --> 00:29:05.500]   And it's this lovely interface,
[00:29:05.500 --> 00:29:10.180]   which allows you to look at EXR images,
[00:29:10.180 --> 00:29:12.020]   adjust how they're displayed,
[00:29:12.020 --> 00:29:14.700]   as well as compare them to one another.
[00:29:14.700 --> 00:29:18.300]   So in your assignments, when you have your image
[00:29:18.300 --> 00:29:20.620]   and the reference, and they don't look the same,
[00:29:20.620 --> 00:29:22.500]   but it's sometimes very hard to tell,
[00:29:22.500 --> 00:29:24.700]   it's very subtle where the errors are.
[00:29:24.700 --> 00:29:27.780]   This allows you to do that,
[00:29:27.780 --> 00:29:30.060]   which I have it downloaded already.
[00:29:30.060 --> 00:29:33.620]   It looks like so.
[00:29:35.380 --> 00:29:40.380]   And if we look at some nice EXR images,
[00:29:40.380 --> 00:29:51.740]   which are contained in here,
[00:29:51.740 --> 00:29:56.340]   you'll be able to see,
[00:29:56.340 --> 00:30:01.340]   reference.
[00:30:02.340 --> 00:30:06.340]   And then you'll have a different kind of sphere.
[00:30:06.340 --> 00:30:08.340]   Hmm, I wonder why that could be.
[00:30:08.340 --> 00:30:11.340]   And when you compare them,
[00:30:11.340 --> 00:30:13.340]   you'll see that there's a difference.
[00:30:13.340 --> 00:30:15.340]   And you'll see that there's a difference.
[00:30:15.340 --> 00:30:17.340]   And you'll see that there's a difference.
[00:30:17.340 --> 00:30:19.340]   And you'll see that there's a difference.
[00:30:19.340 --> 00:30:21.340]   And you'll see that there's a difference.
[00:30:21.340 --> 00:30:23.340]   And you'll see that there's a difference.
[00:30:23.340 --> 00:30:25.340]   And you'll see that there's a difference.
[00:30:25.340 --> 00:30:27.340]   And you'll see that there's a difference.
[00:30:27.340 --> 00:30:29.340]   And you'll see that there's a difference.
[00:30:29.340 --> 00:30:31.340]   And when you compare them,
[00:30:31.340 --> 00:30:34.340]   you can see the difference between the two images,
[00:30:34.340 --> 00:30:36.340]   which, as mentioned before,
[00:30:36.340 --> 00:30:40.340]   is very hard to see in one image alone.
[00:30:40.340 --> 00:30:43.340]   You have a number of different error metrics
[00:30:43.340 --> 00:30:44.340]   that you can use,
[00:30:44.340 --> 00:30:47.340]   which are described when you hover over the image.
[00:30:47.340 --> 00:30:53.340]   And they can help you figure out what is going on,
[00:30:53.340 --> 00:30:55.340]   why are these two different?
[00:30:55.340 --> 00:30:57.340]   We'll find out soon enough.
[00:30:58.340 --> 00:31:03.340]   But, last, going back to Nori.
[00:31:03.340 --> 00:31:06.340]   It's built, and then you can run it.
[00:31:06.340 --> 00:31:09.340]   Select start-up item,
[00:31:09.340 --> 00:31:12.340]   or run it from the command line,
[00:31:12.340 --> 00:31:14.340]   and we should have...
[00:31:14.340 --> 00:31:18.340]   Nori.
[00:31:18.340 --> 00:31:25.340]   Nori.
[00:31:26.340 --> 00:31:28.340]   Nori.
[00:31:28.340 --> 00:31:33.340]   Nori.
[00:31:33.340 --> 00:31:38.340]   Live demos.
[00:31:38.340 --> 00:31:43.340]   It is very...
[00:31:43.340 --> 00:31:47.340]   very insistent.
[00:31:53.340 --> 00:31:55.340]   Any ideas?
[00:31:55.340 --> 00:31:57.340]   Ah, yeah, yeah, yeah, yeah.
[00:31:57.340 --> 00:32:00.340]   Okay, let's try the command line.
[00:32:00.340 --> 00:32:11.340]   So, it'll be an out-build-release.
[00:32:11.340 --> 00:32:15.340]   Nori.
[00:32:22.340 --> 00:32:24.340]   Hmm.
[00:32:24.340 --> 00:32:29.340]   There it is.
[00:32:29.340 --> 00:32:38.340]   Just like that.
[00:32:38.340 --> 00:32:41.340]   Smooth.
[00:32:41.340 --> 00:32:45.340]   And, as I mentioned, we have this interface
[00:32:45.340 --> 00:32:47.340]   where you can render images.
[00:32:47.340 --> 00:32:49.340]   Of course, at the moment, nothing's implemented.
[00:32:49.340 --> 00:32:53.340]   So, if you try to launch anything, it'll give you errors.
[00:32:53.340 --> 00:32:57.340]   What you need to do is you need to follow our tutorial,
[00:32:57.340 --> 00:33:01.340]   and add the first integrator,
[00:33:01.340 --> 00:33:07.340]   which conveniently is already given to you.
[00:33:07.340 --> 00:33:12.340]   And this is a bit of a description about the XML format
[00:33:12.340 --> 00:33:14.340]   that we use for representing scenes.
[00:33:18.340 --> 00:33:23.340]   And then there's a section about making your first Nori class.
[00:33:23.340 --> 00:33:26.340]   So, to do that, we need to...
[00:33:26.340 --> 00:33:29.340]   get into this file
[00:33:29.340 --> 00:33:34.340]   and put this boilerplate in.
[00:33:34.340 --> 00:33:38.340]   And once we do that...
[00:33:46.340 --> 00:33:48.340]   So, that should be source.
[00:33:48.340 --> 00:33:50.340]   And...
[00:33:50.340 --> 00:33:54.340]   Let's see, normal CPP.
[00:33:54.340 --> 00:33:57.340]   There we have it, a blank template.
[00:33:57.340 --> 00:34:03.340]   We can paste this and then have a look at what's going on.
[00:34:03.340 --> 00:34:10.340]   So, you include the integrators,
[00:34:10.340 --> 00:34:14.340]   and each integrator will be an extension of the integrators.
[00:34:15.340 --> 00:34:18.340]   You're able to pass certain properties.
[00:34:18.340 --> 00:34:24.340]   And, as you recall, when we shoot a ray of light,
[00:34:24.340 --> 00:34:28.340]   or a ray from the camera into the scene, we call this Li method.
[00:34:28.340 --> 00:34:35.340]   And the Li method is supposed to return the color that lies along that ray.
[00:34:35.340 --> 00:34:38.340]   So, what do we return here?
[00:34:38.340 --> 00:34:42.340]   We just, for whatever input, return green.
[00:34:44.340 --> 00:34:50.340]   I can think about what the image that we generate from this is going to look like.
[00:34:50.340 --> 00:34:58.340]   And let's try building it and testing it out.
[00:34:58.340 --> 00:35:06.340]   And, as you can see, we've registered this class as a normal integrator.
[00:35:06.340 --> 00:35:11.340]   This allows you to pass it from the config file.
[00:35:11.340 --> 00:35:16.340]   So, we will specify in the XML the normal integrator,
[00:35:16.340 --> 00:35:18.340]   and use this in our scene.
[00:35:18.340 --> 00:35:23.340]   Okay, so you make generation finished.
[00:35:23.340 --> 00:35:25.340]   Let's build.
[00:35:25.340 --> 00:35:43.340]   [silence]
[00:35:43.340 --> 00:35:49.340]   And now, hopefully, with a bit of luck,
[00:35:49.340 --> 00:35:51.340]   Ajax normals should render.
[00:35:51.340 --> 00:35:56.340]   [silence]
[00:35:56.340 --> 00:35:59.340]   Hmm, my property is missing.
[00:35:59.340 --> 00:36:01.340]   Oh, no.
[00:36:01.340 --> 00:36:05.340]   [silence]
[00:36:05.340 --> 00:36:07.340]   What's that about?
[00:36:07.340 --> 00:36:09.340]   Maybe if we remove my property from the XML,
[00:36:09.340 --> 00:36:11.340]   although that's probably not the right approach.
[00:36:11.340 --> 00:36:14.340]   [audience member speaking]
[00:36:14.340 --> 00:36:17.340]   Oh, is it test scene?
[00:36:17.340 --> 00:36:20.340]   Hmm, right.
[00:36:21.340 --> 00:36:24.340]   That's the test scene.
[00:36:24.340 --> 00:36:27.340]   Okay, so you can see spoilers.
[00:36:27.340 --> 00:36:30.340]   When you return green, you get green.
[00:36:30.340 --> 00:36:37.340]   And the scene file for that is this one.
[00:36:37.340 --> 00:36:40.340]   I don't know if that's visible enough.
[00:36:40.340 --> 00:36:42.340]   Hopefully, maybe you can see one.
[00:36:42.340 --> 00:36:45.340]   With the property that we have,
[00:36:45.340 --> 00:36:47.340]   with the integrator that we have,
[00:36:47.340 --> 00:36:50.340]   and with the camera type that we have.
[00:36:50.340 --> 00:37:01.340]   And if we have a more interesting integrator,
[00:37:01.340 --> 00:37:05.340]   such as this one, with our normal scene,
[00:37:05.340 --> 00:37:08.340]   we can actually start rendering scenes.
[00:37:08.340 --> 00:37:10.340]   So what happens here?
[00:37:10.340 --> 00:37:15.340]   In this example, we render the normals
[00:37:15.340 --> 00:37:18.340]   of each surface that we intersect with.
[00:37:18.340 --> 00:37:20.340]   When we shoot a camera ray,
[00:37:20.340 --> 00:37:22.340]   we find the surface that we intersect,
[00:37:22.340 --> 00:37:24.340]   as you can see here.
[00:37:24.340 --> 00:37:27.340]   So, intersect the camera ray with the scene.
[00:37:27.340 --> 00:37:31.340]   If we hit nothing, darkness.
[00:37:31.340 --> 00:37:34.340]   And if we do hit something,
[00:37:34.340 --> 00:37:39.340]   we compute the normal from the shading frame
[00:37:39.340 --> 00:37:41.340]   at the intersection point.
[00:37:41.340 --> 00:37:45.340]   And return it as a color.
[00:37:45.340 --> 00:37:48.340]   So, that's Nori.
[00:37:48.340 --> 00:37:50.340]   That's your first assignment for the week.
[00:37:50.340 --> 00:37:52.340]   Hopefully, not too much.
[00:37:52.340 --> 00:37:56.340]   Hopefully, we'll see you back here in another week
[00:37:56.340 --> 00:37:58.340]   for something a bit more interesting.
[00:37:58.340 --> 00:38:00.340]   And then it gets very interesting.
[00:38:00.340 --> 00:38:04.340]   And then we start having a lot of headaches.
[00:38:04.340 --> 00:38:07.340]   But we'll get there when we get there.
[00:38:07.340 --> 00:38:09.340]   Thank you for your attention.
[00:38:09.340 --> 00:38:13.340]   We'll be available for questions, et cetera, et cetera.
[00:38:14.340 --> 00:38:19.340]   (applause)

